구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,197375901,84719832,112656069,0,142491934,107852477,34639457,54883967,5000,2000000,0,0,-22182899,1648386,12815856,0,0,0,5.71,6.74,168.37,111.32,흑전,1.94,78.55,259.62,0,13.35,1.40,31.70,37.44,7.97,9.42,6229,15516,1.71,0.69,0.10,1.18,10.55,12.30,8.32,206509167,178940712,27568455,15781699,11786756,13550543,13921711
2010,257375043,116538040,140837004,0,197973019,142009595,55963424,59402024,5000,2000000,0,0,-12753588,-20020962,31392144,0,0,0,1.79,-1.13,0,0,0,0.50,82.06,333.28,0,8.44,0,0,0,0,0,471,19901,15.40,0.36,0.06,2.24,0,43.00,18.66,236433465,216478097,19955368,15715638,4239730,-1389489,-2671555
2011,259336270,130935612,128400658,0,211893547,164779524,47114023,47442723,5000,2000000,0,0,21528690,-7221489,-15057980,0,0,0,-0.04,-7.94,-29.26,적전,적지,0,79.46,446.63,0,5.97,0.65,-0.13,-24.87,-0.03,-5.14,-2758,17814,0,0.32,0.07,9.63,-0.04,0,24.21,167249916,157262279,9987638,10057557,-69919,-11885799,-13287738
2012,220027962,149100392,70927570,0,180998983,151371183,29627800,39028979,5000,2000000,0,0,4001829,19216926,-21866219,0,0,0,1.22,-4.46,-15.94,흑전,적지,0.27,98.50,463.76,0,6.86,0.59,3.95,-14.52,0.71,-2.62,-419,16386,0,0.28,0.07,1.48,0.81,61.20,11.95,140597175,130950502,9646674,7937124,1709549,-6844146,-6275802
2013,125124563,57344538,67780025,0,87843136,61745742,26097394,37281427,5000,2000000,0,0,3949977,21100879,-25834737,0,0,0,1.85,0.06,-23.61,16.36,흑전,0.57,92.87,235.62,0,9.86,0.62,5.21,0.16,1.15,0.04,1821,17274,3.31,0.35,0.11,1.71,2.24,38.26,14.08,107403122,96808750,10594372,8605126,1989246,-7779021,60475
2014,115399598,51468516,63931082,0,84642894,76339958,8302936,30756704,5000,2000000,0,0,5508872,-1458335,-3838733,0,0,0,-0.77,-5.80,-9.78,적전,적전,0,67.42,275.20,0,7.63,0.81,-2.19,-16.53,-0.62,-4.68,-1808,14479,0,0.47,0.14,0,-1.02,0,27.89,96901970,89508650,7393320,8139873,-746553,-4555280,-5623507
2015,100913988,39475966,61438022,0,50693290,47105143,3588147,50220698,500,20588234,0,0,-10424168,-6812792,23234290,0,0,0,2.16,35.20,-57.22,흑전,흑전,0.72,83.80,100.94,0,14.54,0.38,2.21,36.04,0.83,13.49,723,2439,4.25,1.26,1.49,3.57,1.67,106.77,26.13,41456781,35429939,6026842,5132189,894653,-1451401,14592969
2016,101989432,41300967,60688465,0,46766433,44815329,1951104,55222999,100,115998080,0,0,-731624,-6766111,2573573,0,0,0,0.28,-0.78,-2.44,-87.49,적전,0.07,92.16,84.69,0,15.07,0.40,0.21,-0.60,0.11,-0.31,-3,476,0,1.18,1.59,85.34,0.41,845.97,80.27,40446022,34349763,6096259,5984355,111905,-197346,-316143
2017,106712308,46483660,60228648,0,48996764,47064189,1932576,57715544,100,116391006,0,0,-3286356,-224707,5757570,0,0,0,0.71,4.03,8.77,177.99,흑전,0.20,98.77,84.89,0,13.95,0.42,0.55,3.14,0.30,1.70,15,496,51.26,1.57,2.06,31.63,0.37,404.61,89.22,43992705,37857027,6135678,5824598,311080,2922345,1770960
2018,113718999,46699653,67019345,0,57989270,55623899,2365371,55729729,100,116391006,0,0,-5127833,-805405,4283869,0,0,0,0.75,-4.63,10.72,17.77,적전,0.20,83.96,104.05,0,11.19,0.44,0.65,-3.98,0.33,-2.05,-19,479,0,2.47,2.83,0,0.46,484.52,105.63,48707045,43256968,5450077,5083715,366362,-2866328,-2257233
