구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,145564580,69132367,76432213,0,50848511,41318149,9530362,94716069,500,11500000,0,0,27918099,-12741512,-13444506,280,3220000,0,8.40,-7.55,-20.68,3.85,16.06,167.32,53.69,5.18,14.16,1.03,16.21,14.18,9.87,8.63,1109,8236,4.88,0.66,0.41,3.07,11.64,5.11,3.37,151863763,130353033,21510730,6942782,14567948,14946820,12750202
2017,149757134,65677857,84079277,0,64680098,54698844,9981254,85077036,500,11500000,0,0,17192147,-13275933,-2702778,250,2875000,0,7.47,-1.86,-0.84,-13.98,21.40,120.07,76.03,3.56,16.34,1.13,22.71,15.18,12.59,8.42,1068,7398,6.58,0.95,0.49,3.91,14.05,6.03,4.14,164260096,137423755,26836340,8470221,18366119,14402735,12277116
2016,141949450,60845913,81103537,0,65300266,44530291,20769975,76649185,500,11500000,0,0,21581389,-16565855,-4719878,300,3450000,0,8.53,29.22,112.76,164.22,16.98,136.64,85.19,3.94,15.94,1.24,26.16,20.16,13.76,10.60,1241,6665,6.13,1.14,0.52,3.86,14.29,6.47,4.45,167374755,140690424,26684332,8163490,18520842,17775537,14273201
2015,127235494,54481301,72754193,0,62262470,43252329,19010140,64973025,500,11500000,0,0,10344715,-9477934,236911,200,2300000,0,4.17,12.16,44.92,50.89,8.52,125.96,95.83,3.35,12.79,1.07,13.77,8.55,7.17,4.45,470,5650,12.71,1.06,0.53,5.40,6.63,11.90,6.47,129529485,112958748,16570737,7865874,8704863,7298181,5402075
2014,115725365,46316052,69409313,0,54290273,36540383,17749890,61435093,500,11500000,0,0,6709862,-10571834,2103107,180,2070000,0,3.10,-10.36,-21.13,-14.34,5.43,126.75,88.37,4.64,11.35,1.00,9.97,5.94,5.20,3.10,311,5342,12.46,0.73,0.39,4.37,6.00,12.87,6.11,115491313,102383431,13107882,7101186,6006696,3996030,3580251
2013,115087030,51655933,63431097,0,56054544,39042595,17011949,59032486,500,11500000,0,0,13019600,-11302035,897667,125,1437500,0,3.24,0.29,17.02,3.25,6.93,132.31,94.96,2.91,11.46,1.17,13.20,7.25,6.94,3.81,363,5133,11.80,0.84,0.38,4.81,6.56,9.90,5.51,128845652,114085804,14759849,7143870,7615979,5837630,4179425
2012,104467698,46838109,57629589,0,48149434,34991164,13158270,56318264,500,11500000,0,0,11365607,-8505361,-2998692,120,1380000,0,3.15,13.09,207.19,154.18,4.88,133.86,85.50,2.75,10.50,1.22,11.78,7.33,6.16,3.83,352,4897,12.40,0.89,0.39,4.85,7.20,11.58,5.88,128469875,114974735,13495140,6986790,6508350,4446092,4047834
2011,106963254,48109450,58853804,0,52773414,42559124,10214290,54189840,500,11500000,0,0,270725,-7814757,9353672,115,1323000,0,1.40,21.90,-33.75,-49.42,1.79,113.04,97.39,2.40,5.90,1.13,3.91,2.94,2.10,1.58,138,4712,34.55,1.02,0.48,7.39,2.18,39.67,10.54,113600617,106899559,6701058,4582371,2118686,1957293,1592531
2010,94886607,36734492,58152115,0,40739811,32232113,8507699,54146796,500,11500000,0,0,3879497,-10449180,-1320305,75,862500,0,3.38,0,0,0,3.24,113.97,75.24,1.06,7.39,0,0,0,0,0,274,4708,25.90,1.51,0.87,9.58,0,32.09,11.99,93192619,86306087,6886532,3688422,3198110,3550181,3148513
2009,88539964,34721362,53818603,0,36462292,24846620,11615672,52077672,500,11500000,0,0,7795736,-3447671,3526700,105,1207500,0,5.06,3.65,흑전,11.79,4.47,139.74,70.02,0.93,9.56,0.96,9.58,8.67,5.34,4.84,380,4528,29.74,2.50,1.50,13.31,6.59,30.37,14.35,82663313,74761224,7902089,3280489,4621600,4754143,4182310
