구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,204794956,73518629,131276327,0,182271214,112589247,69681968,22523741,10000,3000000,0,0,95516552,91350096,4166456,3533925,632530,-4931223,-4931223,-44487831,-32078642,77776321,0,0,0,0.66,-5.16,0,흑전,적지,0.09,65.30,809.24,0,4.36,0.60,2.53,-19.73,0.40,-3.09,-1644,7508,0,0,0,0,0.48,230.71,22.21
2010,230599650,89535187,141064464,0,193868422,125517299,68351123,36731228,10000,3850000,0,0,212641578,201408394,11233184,4847592,6385592,-5626014,-5257638,-13144741,-12191870,24139011,0,0,0,3.00,-2.47,0,0,0,0.61,71.33,527.80,0,5.28,0,0,0,0,0,-1503,9541,0,0,0,0,0,25.47,11.02
2011,216888177,80565469,136322707,0,182325010,127716240,54608770,34563166,10000,3850000,0,0,227276272,213426671,13849601,5412058,8437543,-2674474,-2536371,34515429,-9456227,-24382675,0,0,0,3.71,-1.12,6.88,32.13,적지,0.82,63.08,527.51,0,6.09,1.02,23.67,-7.12,3.77,-1.13,-659,8977,0,0,0,0,4.51,15.82,7.56
2012,203716987,72924385,130792602,0,164180337,125481379,38698959,39536650,10000,3850000,0,0,243860126,223485197,20374929,6638767,13736162,7203725,6722610,11701777,733566,-13110245,0,0,0,5.63,2.76,7.30,62.80,흑전,1.45,58.12,415.26,0,8.36,1.16,37.07,18.14,6.53,3.20,1746,10529,0,0,0,0,8.00,9.08,5.33
2013,202715486,79325086,123390400,0,144931207,100828172,44103035,57784279,500,25666440,0,0,224271237,191560970,32710267,8610228,24100040,18796733,16947610,37068880,-8341375,-28727055,0,0,0,10.75,7.56,-8.03,75.45,152.10,3.40,78.67,250.81,0,14.59,1.10,49.53,34.83,11.86,8.34,660,2251,0,0,0,0,14.47,3.63,2.56
2014,253345301,127154329,126190971,0,148355546,127322910,21032636,104989754,500,32100000,0,0,257495274,221293566,36201708,10816013,25385695,20775902,18269744,-41204394,-10702273,51952888,0,0,0,9.86,7.10,14.81,5.33,7.80,4.82,99.87,141.30,0,14.06,1.13,31.19,22.45,11.13,8.01,637,3271,7.29,1.42,0.52,4.91,12.51,10.25,7.60
2015,222662316,85543964,137118352,0,121699950,120452933,1247018,100962366,500,32100000,0,0,213693418,197387170,16306247,10562904,5743344,2322394,1209267,37989047,-16253553,-19922412,0,0,0,2.69,0.57,-17.01,-77.38,-93.38,1.33,71.02,120.54,0,7.63,0.90,5.58,1.17,2.41,0.51,38,3293,59.46,0.68,0.34,7.12,1.45,29.70,11.66
2016,226509854,85430487,141079368,0,124830253,122858674,1971579,101679601,500,32100000,0,0,163148527,147194148,15954378,11790575,4163803,1161094,756909,11399411,-11301649,1202152,0,0,0,2.55,0.46,-23.65,-27.50,-37.41,1.13,69.54,122.77,0,9.78,0.73,4.11,0.75,1.85,0.34,24,3316,113.66,0.81,0.53,8.95,1.39,44.01,14.08
2017,215737385,82363936,133373450,0,116102627,113497874,2604754,99634758,500,31000000,0,0,127448023,115471615,11976408,7319435,4656974,1489967,1101225,14631064,-2680559,-13255548,0,0,0,3.65,0.86,-21.88,11.84,45.49,1.19,72.57,116.53,0,9.40,0.58,4.63,1.09,2.11,0.50,34,3360,60.12,0.62,0.52,6.79,1.85,32.54,11.39
2018,228133467,98242026,129891441,0,127377087,116055174,11321913,100756380,500,29550000,0,0,145091596,129971441,15120155,8845662,6274493,2641963,1971121,-12980632,-1880456,14870573,0,0,0,4.32,1.36,13.84,34.73,78.99,1.44,84.65,126.42,0,10.42,0.65,6.26,1.97,2.83,0.89,66,3410,40.35,0.78,0.55,7.56,2.53,29.19,12.36
