구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,413814644,153551999,260262645,0,252646824,182416069,70230756,161167820,500,22116357,0,0,335623438,310135338,25488100,41331068,-15842968,-41635302,-41282346,15787084,-5233235,-5328081,0,0,0,-4.72,-12.30,16.95,적지,적지,0,84.18,156.76,0,7.59,0.84,-9.47,-24.68,-3.95,-10.28,-942,3481,0,1.90,0.39,21.03,-8.59,0,37.21
2010,436091768,123090339,313001429,0,279607683,184847174,94760508,156484086,500,34300716,0,0,384114097,342136164,41977933,13405409,28572524,7842844,16166566,37292748,-132761380,104259873,0,0,0,7.44,4.21,0,0,0,2.61,66.59,178.68,0,10.93,0,0,0,0,0,511,4127,13.22,1.64,0.54,5.51,0,14.46,8.20
2011,599252733,171235028,428017705,0,378827409,224662699,154164710,220425324,500,43300716,0,0,463505699,417089456,46416244,21638317,24777926,12205270,10021836,3752547,-172903835,165804874,50,2129000,20.31,5.35,2.16,20.67,-13.28,-38.01,1.38,76.22,171.86,0.55,10.01,0.90,13.15,5.32,4.79,1.94,265,4733,34.56,1.93,0.78,7.62,6.07,27.06,10.84
2012,818608388,262077162,556531226,0,575033050,305839251,269193799,243575337,500,43313390,0,0,598419063,539785868,58633195,36846507,21786688,-755707,-1127638,64248468,-127510568,116380397,0,0,0,3.64,-0.19,29.11,-12.07,적전,0.88,85.69,236.08,0,9.80,0.84,9.39,-0.49,3.07,-0.16,49,4499,131.91,1.44,0.47,4.77,6.94,31.35,8.71
2013,757840376,206499580,551340796,0,588832537,377540808,211291729,169007839,500,43315221,0,0,540775785,511641348,29134437,42328452,-13194015,-71811785,-76944172,34786991,-77314351,20137278,0,0,0,-2.44,-14.23,-9.63,적전,적지,0,54.70,348.41,0,5.39,0.69,-6.40,-37.30,-1.67,-9.76,-1146,3318,0,1.04,0.28,8.39,-2.71,0,10.77
2014,813251267,205356752,607894515,0,609402277,406171056,203231221,203848990,500,62715284,0,0,519127826,442367490,76760336,24773948,51986388,-9475325,-29050092,87137800,-131521968,44690120,0,0,0,10.01,-5.60,-4.00,흑전,적지,2.01,50.56,298.95,0,14.79,0.66,27.89,-15.58,6.62,-3.70,-321,2757,0,1.12,0.34,4.68,12.97,12.36,5.98
2015,726706965,216376306,510330658,0,470784212,170374763,300409449,255922753,500,128688719,0,0,516477480,476893144,39584336,31753360,7830976,-142058496,-154173577,59901437,-65320807,80767106,0,0,0,1.52,-29.85,-0.51,-84.94,적지,0.29,127.00,183.96,0,7.66,0.67,3.41,-67.07,1.02,-20.02,-1713,1860,0,1.31,0.36,0,1.17,63.09,6.33
2016,676174765,224873731,451301034,0,404596207,139875134,264721073,271578558,500,139365674,0,0,429214599,399456050,29758549,14946040,14812509,9388836,7583047,44251234,-5203278,-56620242,0,0,0,3.45,1.77,-16.90,89.15,흑전,1.17,160.77,148.98,0,6.93,0.61,5.62,2.88,2.11,1.08,48,1818,53.05,1.39,0.82,5.45,2.36,37.84,7.69
2017,632921458,177249367,455672091,0,363304797,108020878,255283919,269616661,500,141076607,0,0,449558231,410672653,38885578,13423274,25462304,11130745,9865761,84404980,-88611223,-23889856,0,0,0,5.66,2.19,4.74,71.90,30.10,2.25,164.09,134.75,0,8.65,0.69,9.41,3.65,3.89,1.51,67,1795,35.09,1.31,0.74,5.09,4.77,19.94,6.25
2018,627366723,177161684,450205039,0,339642929,97182136,242460793,287723794,500,141121631,0,0,457853090,411087001,46766089,13077830,33688260,19276535,13275800,36328365,-39056746,-34623491,0,0,0,7.36,2.90,1.85,32.31,34.56,3.28,182.30,118.04,0,10.21,0.73,12.09,4.76,5.35,2.11,89,1912,15.27,0.71,0.42,3.39,5.01,10.97,4.75
