구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,92396974,30523251,61873723,0,40689111,21695208,18993903,51707863,100,31301281,0,0,38587676,32568008,6019668,5261900,757768,3173649,2982309,1597379,-5705489,2479398,0,0,0,7.73,-9.29,-77.67,39.51,0.87,140.69,78.69,0,15.60,0.43,1.51,5.93,0.84,3.31,95,1683,17.22,0.97,1.33,10.44,1.06,95.30,26.89
2017,87555780,32299976,55255804,0,38739544,22098979,16640565,48816237,100,31301281,0,0,42539088,33915101,8623987,5231140,3392847,2815862,2137708,5630850,-19677113,11653298,0,0,0,5.03,-10.78,-30.84,-45.90,5.97,146.16,79.36,0,20.27,0.55,7.48,4.71,4.37,2.75,76,1568,24.91,1.20,1.26,13.03,5.38,22.25,14.10
2016,67762288,35281499,32480788,0,25860610,19120478,6740133,41901677,100,28203367,0,0,47677369,38963771,8713598,3807534,4906064,4808754,3951523,5984375,-7902928,5435739,0,0,0,8.29,7.70,-8.24,-1.34,8.21,184.52,61.72,0,18.28,0.75,12.55,10.11,7.73,6.23,141,1494,19.03,1.79,1.58,13.02,10.86,15.80,11.51
2015,59130274,33838489,25291785,0,22826074,18029465,4796609,36304201,500,5338167,0,0,44267460,35171313,9096147,3749610,5346537,4942296,4005081,4877494,-2578247,1433851,120,623471,0,9.05,13.88,32.22,20.77,18.82,187.68,62.87,2.04,20.55,0.79,15.65,11.72,9.58,7.18,753,6905,7.81,0.85,0.71,5.44,12.98,5.99,4.51
2014,52486137,27318353,25167784,0,20444956,17820040,2624915,32041181,500,5338167,0,0,38872598,32096994,6775604,2731990,4043614,3902878,3316225,2619924,-3947917,-1011658,110,562715,0,8.53,9.31,-14.92,4.91,19.72,153.30,63.81,3.17,17.43,0.82,13.30,10.91,8.58,7.04,634,6167,5.47,0.56,0.47,3.56,12.60,5.48,3.81
2013,41770115,25655888,16114227,0,12995757,11748880,1246877,28774358,500,5209200,0,0,35560822,28164119,7396703,2643840,4752863,4849537,3160941,4805524,63646,-141609,110,548532,0,8.89,1.40,4.18,-14.23,40.85,218.37,45.16,2.91,20.80,0.88,17.27,11.49,11.74,7.81,606,5691,6.23,0.66,0.55,4.28,14.20,4.17,3.20
2012,39181978,22721278,16460700,0,12918540,11987875,930664,26263438,500,5209200,0,0,35070320,28423014,6647306,2085081,4562225,4583538,3685255,3011680,1105099,-3915234,110,548000,0,10.51,8.00,-11.13,-2.79,16.88,189.54,49.19,2.50,18.95,0.88,18.77,15.16,11.42,9.22,705,5207,6.25,0.85,0.65,4.37,17.06,5.06,3.76
2011,40733734,23671328,17062407,0,18384598,15266315,3118283,22349136,500,5209200,0,0,32471054,25009684,7461370,2328052,5133318,4498880,3791192,6119223,-4544590,-1094381,100,491000,0,11.68,32.69,61.61,52.67,13.99,155.06,82.26,3.57,22.98,0.85,24.12,17.81,13.46,9.94,727,4450,3.85,0.63,0.45,2.70,21.31,3.17,2.40
2010,35554949,19262703,16292246,0,15335969,10838548,4497421,20218980,500,5209200,0,0,24471556,19592283,4879273,1702945,3176328,3023196,2483296,3179756,-594735,-233043,100,520920,0,10.15,0,0,0,8.92,177.72,75.85,3.05,19.94,0,0,0,0,0,472,3854,6.94,0.85,0.70,4.32,0,6.39,4.35
2009,28659534,12900351,15759183,0,12473330,7591705,4881625,16186204,500,2894000,0,0,14390396,11689695,2700701,1007662,1693040,1662762,1909010,-131635,-4204545,3951730,75,217050,0,13.27,-13.02,4.12,19.60,7.00,169.93,77.06,1.58,18.77,0.56,11.65,13.13,6.64,7.49,665,5593,7.16,0.85,0.95,4.48,13.89,11.40,6.81
