구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,105477101,92458220,13018881,0,94564272,89753647,4810626,10912829,500,4493990,0,0,199877746,168855154,31022592,26416097,4606495,3044793,1246048,5659215,-2860113,-2738940,0,0,0,0.62,18.93,113.82,-28.71,4.02,103.01,866.54,0,15.52,2.35,34.90,9.44,5.42,1.47,277,2428,21.86,2.50,0.14,13.35,23.91,5.91,5.04
2017,64496923,55109135,9387788,0,49013227,44211348,4801879,15483696,500,4493990,0,0,168058357,0,168058357,165903987,2154370,2514946,1747971,4365616,-9219250,5100080,0,0,0,1.04,28.32,47.74,16.26,6.33,124.65,316.55,0,100.00,2.92,15.27,12.39,3.74,3.04,389,3445,9.26,1.04,0.10,6.68,12.78,4.95,3.77
2016,50577765,41291289,9286476,0,37844802,35142659,2702142,12732963,500,4493990,0,0,130971552,0,130971552,129513348,1458204,1657452,1503522,-487079,4413631,-4046034,0,0,0,1.15,9.49,흑전,흑전,4.15,117.50,297.22,0,100.00,2.64,12.06,12.43,2.94,3.03,335,2833,14.57,1.72,0.17,10.30,10.91,10.33,7.23
2015,48527473,38224308,10303165,0,37070983,29563532,7507452,11456489,500,4493990,0,0,119620605,0,119620605,120619684,-999079,-801270,-1072277,-517687,-8972157,9117754,0,0,0,-0.90,17.31,적지,적지,0,129.30,323.58,0,100.00,2.75,-19.08,-20.48,-2.29,-2.46,-259,2549,0,1.84,0.16,0,-14.30,0,0
2014,38540836,30338090,8202746,0,39524081,28329146,11194934,-983245,500,2993676,0,0,101972371,0,101972371,102812317,-839946,-1288241,-936282,-1370838,1403899,576983,0,0,0,-0.92,39.45,적전,적전,0,107.09,완전잠식,0,100.00,3.12,-51.84,-57.79,-2.57,-2.86,-313,-328,0,0,0,0,-6.53,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,63.85,202.33,흑전,1.73,178.00,537.24,0,100.00,3.82,47.34,35.90,5.37,4.07,1700,8465,0,0,0,0,15.38,7.48,5.24
2012,11328311,6040614,5287697,0,11217104,5742753,5474351,111207,0,0,0,0,44629608,0,44629608,44290231,339377,-78001,-133579,54326,-546602,486593,0,0,0,-0.30,0,0,0,1.08,105.19,10086.69,0,100.00,0,0,0,0,0,-334,278,0,0,0,0,0,15.24,7.79
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
