구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,183360286,66625181,116735105,0,60743796,35097572,25646223,122616491,500,15400000,0,0,29649711,-14468974,-11265000,150,2310000,14.71,9.67,8.49,-2.82,12.64,91.82,8.64,189.83,49.54,4.72,62.06,1.03,15.55,13.66,9.97,8.76,1020,7962,3.11,0.40,0.26,2.35,10.83,3.75,2.92,184997015,70183830,114813185,96932902,17880283,21437622,15705569
2010,196076568,78039347,118037221,0,45439215,37164002,8275213,150637353,500,15400000,0,0,23670496,-2634435,-24526790,200,3080000,10.89,12.61,13.48,0,0,0,23.25,209.99,30.16,3.60,63.39,0,0,0,0,0,1837,9782,3.03,0.57,0.41,2.56,0,3.23,2.71,209972061,76877490,133094571,106617714,26476857,36286022,28295347
2011,199711119,76097968,123613151,0,34791943,26219379,8572564,164919175,500,15400000,0,0,5758034,-2829012,-7200000,150,2310000,11.73,9.31,9.03,3.90,-23.32,-30.41,108.53,290.24,21.10,2.24,60.81,1.10,12.87,12.48,10.26,9.95,1279,10709,5.24,0.63,0.47,4.13,15.10,5.11,4.06,218167782,85501727,132666055,112364042,20302013,26172350,19691766
2012,212315399,81676172,130639227,0,41638524,32968153,8670371,170676876,500,15400000,0,0,8227821,-10880184,2570000,100,1540000,19.01,3.49,4.04,-7.98,-65.49,-58.86,232.37,247.74,24.40,1.69,56.83,0.97,4.18,4.83,3.40,3.93,526,11083,11.25,0.53,0.45,7.04,4.77,13.81,8.16,200762944,86668956,114093987,107087297,7006690,9947718,8101765
2013,277792560,116010262,161782299,0,100285042,62374138,37910904,177507518,500,15400000,0,0,-8109676,-32339175,40370000,100,1540000,18.39,3.23,3.77,10.77,2.61,3.36,183.79,185.99,56.50,1.42,59.30,0.91,4.13,4.81,2.93,3.42,544,11526,12.98,0.61,0.49,8.37,4.11,21.74,13.24,222378411,90517115,131861296,124671563,7189733,10248966,8374375
2014,322662218,155120689,167541529,0,133137186,68787979,64349206,189525033,500,15400000,0,0,-18592918,-453062,19190000,150,2310000,16.52,4.01,4.64,35.54,67.90,66.95,4.68,225.51,70.25,1.00,60.25,1.00,6.58,7.62,4.02,4.66,908,12307,16.52,1.22,0.77,11.25,5.31,24.78,16.07,301412850,119823195,181589656,169517989,12071667,17435607,13981013
2015,333443952,163899034,169544918,0,133805036,108628897,25176138,199638917,500,15400000,0,0,15662928,-4649622,-11150000,200,3080000,24.76,5.07,3.36,22.76,55.40,-11.02,7.33,150.88,67.02,1.13,57.40,1.13,9.64,6.39,5.72,3.79,808,12964,21.97,1.37,0.74,13.73,7.00,17.74,12.69,370012003,157616991,212395012,193635674,18759338,16752774,12440488
2016,305575468,163066711,142508757,0,78869952,64887272,13982680,226705516,500,15400000,0,0,55810339,16722878,-62640000,350,5390000,17.83,10.39,6.89,18.64,143.19,142.98,47.53,251.31,34.79,2.01,58.23,1.37,21.40,14.18,14.28,9.46,1963,14721,8.89,1.19,0.61,7.21,18.20,5.89,5.10,438979655,183380699,255598956,209977721,45621235,41052254,30227910
2017,400094845,254646957,145447888,0,104139438,103934249,205189,295955407,500,15400000,0,0,66641827,-38791528,-5390000,650,10010000,13.37,17.50,13.36,27.69,115.06,147.74,2758.82,245.01,35.19,1.55,65.70,1.59,37.54,28.66,27.81,21.22,4863,19218,8.63,2.18,1.15,7.81,38.81,6.58,6.10,560518177,192230562,368287615,270172827,98114788,99479191,74887836
2018,495832732,291131187,204701545,0,101042340,99760359,1281981,394790392,500,15400000,0,0,27308909,-33042879,-12028497,650,10010000,9.17,13.69,16.34,19.31,-6.72,45.95,1596.83,291.83,25.59,1.62,65.89,1.49,26.50,31.65,20.43,24.40,7089,25593,5.65,1.56,0.92,5.19,27.10,6.75,6.10,668726803,228071235,440655569,349137154,91518414,140956403,109298574
