구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,251460745,213337974,38122771,0,144505155,132892969,11612186,106955590,5000,1000000,0,0,536872510,484122532,52749978,22452764,30297213,33019590,27040784,42621182,-7309041,-4910308,0,0,0,5.64,5.04,8.79,32.23,24.73,94.02,160.53,135.11,0,9.83,2.29,32.28,28.81,12.90,11.51,27041,106956,0,0,0,0,58.47,0.00,0.00
2010,308295497,278089603,30205895,0,174822504,163309725,11512779,133472993,5000,2000000,0,0,606895761,534097264,72798497,33631529,39166969,43680916,32851976,30061135,-7995755,-7042201,0,0,0,6.45,5.41,0,0,0,86.64,170.28,130.98,0,12.00,0,0,0,0,0,16405,66657,0,0,0,0,0,0.00,0.00
2011,393965064,349511235,44453829,0,236208772,224282360,11926412,157756293,5000,2000000,0,0,732651791,657150042,75501749,32827403,42674346,48381591,37001589,47996576,-21243467,-9251165,0,0,0,5.82,5.05,20.72,8.95,12.63,135.26,155.84,149.73,0,10.31,2.09,29.31,25.41,12.15,10.54,18462,78753,0,0,0,0,63.18,0.01,0.01
2012,447487549,387853125,59634424,0,261507711,251758209,9749502,185979839,5000,2000000,0,0,922020996,835173826,86847170,36987354,49859816,54950438,42597213,49729823,-21701942,-11681305,0,0,0,5.41,4.62,25.85,16.84,15.12,141.12,154.06,140.61,0,9.42,2.19,29.01,24.78,11.85,10.12,21261,92869,0,0,0,0,62.77,0.00,0.00
2013,483306530,408869374,74437156,0,260730712,252864032,7866681,222575818,5000,2000000,0,0,1033867128,938514219,95352909,41308863,54044046,60434419,45635617,38712294,-17512062,-9638412,0,0,0,5.23,4.41,12.13,8.39,7.13,404.76,161.70,117.14,0,9.22,2.22,26.46,22.34,11.61,9.81,22752,111101,0,0,0,0,51.40,0.01,0.01
2014,624959735,538525491,86434244,0,347745197,340455218,7289980,277214537,5000,2065242,0,0,1121866138,1008158706,113707432,48532714,65174717,71470032,52660561,90927375,-12604979,-8784678,0,0,0,5.81,4.69,8.51,20.60,15.39,384.70,158.18,125.44,0,10.14,2.02,26.08,21.07,11.76,9.50,26087,133991,0,0,0,0,60.25,0.01,0.01
2015,687333595,602436941,84896654,0,369767340,368772555,994785,317566255,5000,2065242,0,0,1297964226,1170911889,127052337,58812619,68239718,75099426,53551362,11079983,-13467650,-9593777,0,0,0,5.26,4.13,15.70,4.70,1.69,713.14,163.36,116.44,0,9.79,1.98,22.95,18.01,10.40,8.16,25879,153588,0,0,0,0,51.99,0.01,0.00
2016,796061996,687568849,108493147,0,422421246,418493666,3927580,373640750,5000,2065242,0,0,1335965878,1192571509,143394369,62969896,80424473,87468078,64706933,68614490,-52180947,-14473432,0,0,0,6.02,4.84,2.93,17.86,20.83,1619.27,164.30,113.06,0,10.73,1.80,23.27,18.72,10.84,8.72,31200,179592,0,0,0,0,44.85,0.03,0.03
2017,803956394,681215984,122740410,0,388198643,380034474,8164169,415757751,5000,2065242,0,0,1473376003,1316199637,157176366,84262916,72913450,76689348,55179546,49953425,3097886,-14250170,0,0,0,4.95,3.75,10.29,-9.34,-14.72,0,179.25,93.37,0,10.67,1.84,18.47,13.98,9.11,6.90,25996,199270,0,0,0,0,32.79,0.06,0.05
2018,829071191,689503604,139567587,0,377482748,367984815,9497933,451588443,500,20652420,0,0,1424858710,1279323283,145535428,75357005,70178422,75088423,55228435,45593036,-26604467,-9255269,690,14250170,26.40,4.93,3.88,-3.29,-3.75,0.09,439.70,187.37,83.59,0,10.21,1.75,16.18,12.74,8.59,6.76,2614,21602,0,0,0,0,27.39,0.08,0.06
