구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,71435933,29534270,41901662,0,49876654,43479205,6397449,21559278,5000,1027304,0,0,4622900,-1421656,-3925439,150,151096,30.63,2.80,0.51,-7.97,51.20,흑전,1.10,67.93,231.35,2.14,9.28,1.35,12.74,2.31,3.77,0.69,480,21298,14.58,0.33,0.07,2.31,4.38,9.90,5.03,97001521,87996102,9005418,6290792,2714627,894736,493317
2010,96639836,36926913,59712924,0,61729392,51926719,9802673,34910444,5000,1027304,0,0,-900863,-2532633,3081809,150,151096,16.57,2.19,0.77,0,0,0,1.24,71.11,176.82,1.08,8.77,0,0,0,0,0,887,34224,15.61,0.40,0.12,4.44,0,14.21,7.56,118744324,108327142,10417182,7814505,2602677,1342841,914491
2011,98869465,41337436,57532029,0,64402912,54216640,10186272,34466553,5000,1027304,0,0,3249944,961955,-3806294,50,50000,0,0.57,-0.03,10.01,-71.53,적전,0.32,76.24,186.86,0.44,7.01,1.34,2.14,-0.11,0.76,-0.04,-41,33787,0,0.33,0.09,5.02,-0.28,40.61,9.71,130636214,121478547,9157666,8416789,740877,212627,-37903
2012,98494841,39130945,59363896,0,64701450,53242160,11459290,33793391,5000,1027304,0,0,-3613866,-1274126,5433114,50,50000,0,1.12,-0.71,-6.35,84.35,적지,0.64,73.50,191.46,0.41,7.82,1.24,4.00,-2.56,1.38,-0.89,-870,33114,0,0.37,0.10,9.68,-2.15,26.58,10.20,122343037,112775782,9567255,8201454,1365801,1203682,-874559
2013,98315386,37418409,60896976,0,68547122,55559279,12987843,29768264,5000,1027304,0,0,3105046,-3952281,224500,50,50365,0,0.76,-3.55,-11.45,-40.03,적지,0.40,67.35,230.27,0.45,8.71,1.10,2.58,-12.10,0.83,-3.91,-3746,29201,0,0.38,0.11,0,1.07,44.57,12.09,108340300,98906091,9434210,8615147,819063,-5857333,-3846673
2014,91005502,31669967,59335535,0,68385263,55303602,13081661,22620239,5000,1027304,0,0,-238084,604389,-314587,50,50365,0,-2.47,-7.18,-9.99,적전,적지,0,57.27,302.32,0.40,6.12,1.03,-9.20,-26.72,-2.55,-7.39,-6761,22295,0,0.57,0.13,0,-4.57,0,0,97520169,91556717,5963452,8372575,-2409123,-8183371,-6999514
2015,83085438,26759792,56325647,0,64675995,52453525,12222469,18409444,5000,1027304,0,0,-837022,3057463,-2424763,50,50365,0,-2.69,-4.41,-6.05,적지,적지,0,51.02,351.32,0.26,6.41,1.05,-12.00,-19.71,-2.83,-4.65,-3912,18221,0,1.07,0.22,0,-5.50,0,0,91618545,85746776,5871769,8334137,-2462368,-4520450,-4043773
2016,81308887,26046898,55261990,0,66033326,54893083,11140243,15275562,5000,1027304,0,0,507314,194932,-811656,0,0,0,0.23,-4.79,-4.68,흑전,적지,0.14,47.45,432.28,0,8.86,1.06,1.21,-24.86,0.25,-5.09,-4140,14861,0,1.41,0.25,0,0.48,213.34,32.71,87333326,79591802,7741524,7537419,204105,-4362471,-4187272
2017,73270170,18529522,54740649,0,55421608,45812874,9608733,17848563,5000,1682304,0,0,-3103505,-531778,4309295,0,0,0,-5.03,-3.69,-10.39,적전,적지,0,40.45,310.51,0,7.56,1.01,-23.75,-17.45,-5.09,-3.74,-1981,10597,0,0.89,0.17,0,-5.69,0,0,78255522,72337683,5917839,9851897,-3934058,-5205338,-2889794
2018,48188113,11759027,36429085,0,34775907,28126737,6649170,13412206,5000,1682304,0,0,-6078157,20673339,-15204967,0,0,0,-7.40,-5.59,-8.57,적지,적지,0,41.81,259.29,0,5.05,1.18,-33.87,-25.59,-8.72,-6.59,-2281,8056,0,1.41,0.27,0,-91.62,0,0,71549828,67935985,3613843,8907609,-5293766,-892196,-3999572
