구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,1348071573,706647183,641424391,0,314465979,274031028,40434952,1033605594,5000,3695276,0,0,900,2753230,4.93,6.94,4.56,104.09,49.61,-54.11,61.31,257.87,30.42,1.15,11.95,1.58,14.17,9.32,10.94,7.19,16640,134353,4.70,0.58,0.17,2.66,16.53,7.88,5.60,1517182920,1335842058,181340862,76116802,105224061,132627031,69218416,845606,-63065716,-5896180
2010,910859280,351652903,559206377,0,120266258,71942087,48324170,790593023,5000,3695276,0,0,900,2753230,10.14,3.48,5.34,0,0,0,50.68,488.80,15.21,1.67,10.00,0,0,0,0,0,7348,176742,7.32,0.30,0.32,4.89,0,15.87,9.73,613877044,552486198,61390846,40006794,21384052,38535845,32766447,43784418,27097988,-42773741
2011,779731867,311021212,468710655,0,96999005,74550730,22448275,682732863,5000,3695276,0,0,900,2753000,0,5.91,-3.96,8.33,83.69,적전,31.00,417.19,14.21,2.73,10.55,0.79,5.33,-3.57,4.65,-3.11,-8038,168607,0,0.20,0.18,0,15.92,4.70,3.54,665034221,594845267,70188954,30908187,39280767,-17662026,-26317444,35766809,-69474863,542361
2012,1398716024,738238591,660477434,0,279325467,233758689,45566778,1119390557,5000,3695276,0,0,900,2753000,9.07,2.23,2.94,136.47,-10.53,흑전,23.14,315.81,24.95,2.38,7.24,1.44,3.90,5.13,3.23,4.24,8215,176775,4.60,0.21,0.09,2.02,4.77,17.32,8.23,1572639475,1458838356,113801119,78657038,35144081,60976175,46226857,167802098,-85438565,-51997295
2013,1377429174,694055349,683373825,0,241825209,198879043,42946166,1135603965,5000,3695276,0,0,900,2753230,21.75,0.55,1.50,-15.58,-79.27,-56.78,14.97,348.98,21.29,2.28,5.77,0.96,0.65,1.77,0.52,1.44,3426,180160,11.54,0.22,0.11,2.91,0.62,84.95,13.80,1327639493,1251009686,76629807,69343183,7286624,28875825,19980320,84746140,-114660611,-34388423
2014,1379712311,659500086,720212226,0,250327751,195696350,54631402,1129384560,5000,3695276,0,0,900,2753230,54.07,0.59,1.28,-12.67,-6.31,-25.60,19.51,337.00,22.16,1.83,5.80,0.84,0.60,1.31,0.50,1.08,1378,178317,35.70,0.28,0.16,4.36,0.64,95.99,15.10,1159414128,1092195102,67219026,60392479,6826547,20246676,14865818,39215762,-47969751,-4472691
2015,1407103545,724881736,682221808,0,205063812,158948902,46114910,1202039733,5000,3695276,0,0,900,2753230,6.30,8.31,7.18,-6.21,1223.63,425.00,668.13,456.05,17.06,1.45,14.23,0.78,7.75,6.70,6.48,5.60,11825,191532,5.26,0.32,0.21,2.90,9.81,8.05,5.78,1087462735,932701477,154761257,64403098,90358160,98633753,78046193,201570327,-158220858,-23367786
2016,1493955210,870907458,623047752,0,219986880,169517931,50468948,1273968330,5000,3695276,0,0,900,2753230,6.00,8.23,7.36,-2.70,-3.65,-0.23,1832.26,513.76,17.27,1.47,14.35,0.73,7.03,6.29,6.00,5.37,12414,203609,4.93,0.30,0.21,2.80,9.85,8.62,6.16,1058058473,906230001,151828472,64772192,87056280,100598011,77864434,114980818,-98499965,-7226217
2017,1488800280,1053491943,435308337,0,230003665,210619813,19383852,1258796615,5000,3695276,0,0,1250,3823930,29.71,7.97,-0.59,15.42,11.83,적전,932.15,500.19,18.27,1.68,12.98,0.82,7.69,-0.57,6.53,-0.49,3483,206512,21.30,0.36,0.22,5.60,13.07,7.94,5.79,1221253735,1062766802,158486933,61131986,97354947,-8906289,-7241887,150630286,-93102892,-7946845
2018,1545159970,1117862982,427296988,0,266111097,241944078,24167019,1279048873,1000,18476380,0,0,280,4282802,16.89,4.74,2.76,7.66,-35.93,흑전,167.44,462.03,20.81,2.04,9.48,0.87,4.92,2.86,4.11,2.39,1372,42317,10.02,0.32,0.19,4.91,7.49,12.09,8.50,1314754935,1190076532,124678403,62302543,62375860,57985992,36319782,77436755,-55565131,-9262915
