구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,969157830,718352738,250805092,0,615539948,508070008,107469940,353617882,5000,21400000,0,0,-24968902,13360971,-18746802,130,2782000,0,2.27,-19.81,-33.51,7.39,12.15,141.39,174.07,1.84,8.91,1.11,13.81,6.98,5.00,2.53,1127,16529,6.27,0.43,0.14,5.89,16.58,3.17,3.07,1063627255,968876957,94750298,46978575,47771723,33371067,24144269
2017,942080848,682467412,259613436,0,603946082,435092482,168853600,338134767,5000,21400000,0,0,102549267,60271820,-50033250,130,2782000,0,1.70,18.35,104.19,35.04,18.16,156.86,178.61,1.60,9.60,1.44,22.17,6.94,7.79,2.44,1051,15806,7.74,0.51,0.13,7.14,25.76,2.42,2.36,1326422112,1199075216,127346896,55494248,71852648,29499386,22483323
2016,902760270,632481851,270278419,0,592742982,488150725,104592257,310017288,5000,21400000,0,0,5561169,9942345,-10977111,100,2140000,0,1.49,15.58,흑전,흑전,4.40,129.57,191.20,1.20,8.22,1.29,11.56,5.47,4.04,1.91,778,14493,10.69,0.57,0.16,9.42,11.54,6.43,6.04,1120735139,1028630144,92104995,56916538,35188457,21900416,16649076
2015,838081524,528110329,309971196,0,539220775,341711304,197509471,298860750,5000,21400000,0,0,29003814,56325800,-140428390,0,0,0,-8.79,-3.06,적전,적전,0,154.55,180.43,0,2.08,0.99,-27.33,-24.90,-9.51,-8.66,-3984,13972,0,0.52,0.16,0,-27.78,0,0,969647511,949437471,20210040,113775771,-93565731,-111197109,-85254746
2014,1129961182,749551839,380409343,0,744119573,612607155,131512418,385841609,5000,21400000,0,0,45291594,48856152,-48125144,250,1817993,0,0.10,-6.08,흑전,흑전,0.05,122.35,192.86,3.16,4.17,0.89,0.29,0.31,0.09,0.09,95,18041,82.93,0.44,0.11,15.95,-0.03,348.64,49.94,1000275816,958542569,41733247,40777504,955743,4668088,1047448
2013,1117763492,785194118,332569375,0,837738213,664870102,172868111,280025279,5000,5800000,0,0,-51227765,-87822417,149147829,0,0,0,-13.26,-16.46,적전,적전,0,118.10,299.17,0,-0.47,0.97,-14.83,-40.20,-4.74,-12.85,-24266,48262,0,0.45,0.12,0,-9.33,0,0,1065033371,1070077626,-5044255,47037820,-52082075,-178088314,-141199275
2012,1079961586,840233980,239727606,0,657490818,479543549,177947269,422470768,5000,5800000,0,0,-85252813,-3013139,-14042493,500,2900000,0,0.66,7.65,-73.58,-74.52,0.80,175.22,155.63,1.92,6.99,1.16,2.61,2.01,1.00,0.77,1416,72744,18.44,0.36,0.12,9.79,1.83,27.91,16.82,1274825778,1185682250,89143528,78150703,10992825,12313423,8469307
2011,1122535084,893574947,228960137,0,703029412,488084747,214944664,419505672,5000,5800000,0,0,12787425,-5247376,137320188,1000,5800000,0,2.81,-9.59,-53.95,-27.55,4.54,183.08,167.59,3.20,8.78,1.13,10.21,8.16,3.97,3.17,5700,72270,5.48,0.43,0.15,4.75,8.49,5.86,5.22,1184222551,1080261278,103961274,62360072,41601202,45545558,33245529
2010,971926968,767259008,204667959,0,576406977,540939121,35467856,395519991,5000,5800000,0,0,-73203565,7421722,-1324778,1000,5800000,0,3.50,0,0,0,16.05,141.84,145.73,2.39,10.20,0,0,0,0,0,7886,68168,5.31,0.61,0.19,4.97,0,3.30,3.19,1309818215,1176216589,133601627,43262711,90338916,62270514,45889843
2009,850709462,708411443,142298019,0,503983335,419159935,84823400,346726127,5000,5800000,0,0,28032631,-17998453,55183044,1000,5800000,0,3.67,68.41,63.08,98.54,13.49,169.01,145.35,2.51,6.97,2.04,20.22,17.46,8.67,7.48,9678,59780,4.11,0.67,0.15,3.97,19.71,3.55,3.44,1528947769,1422435830,106511938,41478713,65033226,75632856,56134793
