구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,94858897,74583815,20275082,0,23293021,22149100,1143920,71565876,500,18720000,0,0,194829640,181113281,13716358,3916576,9799783,9199497,6740292,11529446,6124529,-1772913,100,1691002,25.09,5.03,3.46,-28.02,-12.15,70.14,69.05,336.74,32.55,4.02,7.04,2.15,14.58,10.03,10.81,7.43,360,3955,6.90,0.63,0.24,6.40,18.58,4.75,4.50
2010,104301321,84429615,19871706,0,28928464,26929497,1998967,75372858,500,18720000,0,0,253263565,242091911,11171654,3634492,7537162,8448308,6277466,-5833932,-1482992,-1644638,100,1693002,26.97,2.98,2.48,0,0,0,53.29,313.52,38.38,4.26,4.41,0,0,0,0,0,335,4157,7.01,0.57,0.17,6.49,0,5.84,5.48
2011,125756658,99523108,26233550,0,42810957,38411302,4399654,82945701,500,18720000,0,0,289722760,274202554,15520206,4535418,10984787,11867860,8852117,7034980,-3026380,-380095,100,1735000,19.48,3.79,3.06,14.40,45.74,41.01,32.05,259.10,51.61,3.78,5.36,2.52,13.88,11.18,9.55,7.70,476,4532,5.56,0.58,0.17,5.11,15.93,4.51,4.21
2012,128350997,100113533,28237464,0,37652580,34756387,2896193,90698417,500,18720000,0,0,256428227,242564428,13863799,4732574,9131225,11030529,8455954,9752237,-8790143,-3317087,100,1759000,20.51,3.56,3.30,-11.49,-16.87,-4.48,27.15,288.04,41.51,4.23,5.41,2.02,10.52,9.74,7.19,6.66,458,4938,5.16,0.48,0.17,4.71,13.15,4.84,4.43
2013,130946263,105026918,25919345,0,34973048,31406478,3566569,95973215,500,18720000,0,0,246772112,234142262,12629851,5861373,6768478,10120515,7706526,12348039,-2586147,-2051564,100,1751281,22.58,2.74,3.12,-3.77,-25.88,-8.86,62.59,334.41,36.44,3.92,5.12,1.90,7.25,8.26,5.22,5.94,414,5233,6.15,0.49,0.19,5.54,10.38,7.03,6.23
2014,127849883,102357846,25492037,0,27937945,24816192,3121752,99911939,500,18720000,0,0,200571035,190076301,10494734,6051421,4443313,7733283,5862980,17008188,-10725479,-1789281,100,1751281,29.76,2.22,2.92,-18.72,-34.35,-23.92,73.07,412.46,27.96,3.57,5.23,1.55,4.54,5.99,3.43,4.53,314,5445,8.91,0.51,0.26,7.70,8.30,11.76,9.74
2015,131914340,102415333,29499007,0,27210113,24222419,2987694,104704227,500,18720000,0,0,159498224,148828083,10670141,6415278,4254863,9129403,6772942,5386660,-6825147,-1746496,100,1749781,25.52,2.67,4.25,-20.48,-4.24,15.52,84.77,422.81,25.99,2.33,6.69,1.23,4.16,6.62,3.28,5.21,366,5707,11.74,0.75,0.50,10.34,9.30,18.86,15.48
2016,134873993,105353918,29520075,0,25955244,23888340,2066904,108918749,500,18720000,0,0,162710392,152191332,10519059,6426010,4093049,7469355,5648383,8171671,-9897284,-1145814,100,1760068,30.79,2.52,3.47,2.01,-3.80,-16.60,92.33,441.03,23.83,1.87,6.46,1.22,3.83,5.29,3.07,4.23,305,5928,17.52,0.90,0.62,15.36,9.82,24.39,20.38
2017,129983802,98369831,31613971,0,22516096,20836138,1679958,107467707,500,18720000,0,0,197209289,186643403,10565885,6940550,3625335,3964979,2976051,-7321577,3566184,-3438756,100,1720051,56.80,1.84,1.51,21.20,-11.43,-47.31,55.30,472.11,20.95,2.72,5.36,1.49,3.35,2.75,2.74,2.25,162,5935,22.72,0.62,0.35,17.53,7.94,18.87,15.13
2018,133399433,92558251,40841182,0,24352520,22365946,1986574,109046913,500,18720000,0,0,195048267,185356252,9692015,8194092,1497924,6805649,5256295,15230573,-15891592,-3659994,100,1671130,31.67,0.77,2.69,-1.10,-58.68,76.62,11.43,413.84,22.33,2.62,4.97,1.48,1.38,4.86,1.14,3.99,282,6121,13.52,0.62,0.37,11.55,3.41,47.34,29.56
