구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,236617155,181655143,54962013,0,28292254,27987942,304312,208324901,0,56925000,0,0,197713108,98525025,99188083,38468467,60719616,60056210,43244926,36916446,-10066538,-5444964,0,2618550,0,21.87,23.13,39.88,29.66,146.94,649.05,13.58,0,50.17,0.89,31.35,22.32,27.40,19.51,760,3660,3.99,0.83,0.87,3.80,48.43,2.84,2.75
2016,206646399,157299467,49346933,0,27543689,27189426,354264,179102710,0,56925000,0,0,160577326,83125375,77451952,34043453,43408499,47595423,33352200,23234036,-4550859,59994102,0,3116000,0,20.77,18.23,13.77,-3.51,77.16,578.53,15.38,0,48.23,0.98,31.95,24.55,26.60,20.44,750,3146,6.51,1.55,1.35,6.17,37.61,6.40,6.14
2015,119753575,72364850,47388725,0,27161023,26953981,207042,92592552,0,42000000,0,0,135818531,70685040,65133491,26979561,38153930,48898935,34566452,6002637,-7488782,532569,0,0,0,25.45,29.70,38.31,84.53,79.69,268.48,29.33,0,47.96,1.26,51.06,46.26,35.34,32.02,823,2205,0,0,0,0,42.23,0.00,0.00
2014,96185052,55469063,40715989,0,39318288,39318288,0,56866765,0,42000000,0,0,104718886,55170447,49548439,21963143,27585297,27191312,18732193,10207856,-2280212,2228399,0,0,0,17.89,0,0,0,53.13,141.08,69.14,0,47.32,0,0,0,0,0,1312,1354,0,0,0,0,0,0.00,0.00
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
