구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,72382413,43159649,29222765,0,18097367,17906237,191131,54285046,500,12250000,0,0,83935627,69641274,14294352,7762773,6531579,8781995,7393602,125,1531250,20.71,7.78,8.81,40.46,97.62,흑전,12.46,241.03,33.34,4.63,17.03,1.09,12.84,14.54,8.50,9.62,604,4431,4.47,0.61,0.39,3.49,10.00,5.06,3.84,17054027,-283739,-12966905
2010,78758145,49543141,29215004,0,25036322,24457766,578556,53721824,500,12250000,0,0,70316770,59768638,10548132,8963174,1584958,705885,603849,50,592205,98.07,2.25,0.86,0,0,0,5.97,202.57,46.60,2.48,15.00,0,0,0,0,0,49,4466,40.88,0.45,0.35,11.47,0,18.02,9.12,-104704,-1753131,-2387950
2011,90869794,58356524,32513270,0,32060670,31412056,648614,58809124,500,12250000,0,0,81343086,68231992,13111094,8237182,4873911,4213001,3228018,50,586000,18.10,5.99,3.97,15.68,207.51,434.57,13.28,185.78,54.52,2.54,16.12,0.96,8.66,5.74,5.75,3.81,264,4690,7.46,0.42,0.30,5.19,6.28,7.25,5.62,-995313,-5587784,6829626
2012,89424962,55863868,33561094,0,26059074,25585024,474051,63365888,500,12250000,0,0,101800632,84343465,17457167,9175405,8281762,9081178,7098268,75,883000,12.44,8.14,6.97,25.15,69.92,119.90,17.63,218.35,41.12,2.64,17.15,1.13,13.56,11.62,9.19,7.87,579,5256,4.91,0.54,0.34,4.03,9.56,5.55,4.68,1924778,-5382319,1793741
2013,107762576,68202055,39560521,0,37030233,36674429,355804,70732343,5,12375000,0,0,108245160,86818159,21427001,12345391,9081610,10057914,7553390,100,1199074,15.87,8.39,6.98,6.33,9.66,6.41,16.08,185.97,52.35,3.10,19.79,1.10,13.54,11.27,9.21,7.66,615,5784,5.25,0.56,0.37,4.08,9.41,5.24,4.22,8582601,-12520396,8965989
2014,106205861,58851493,47354367,0,29335149,28504509,830639,76870712,500,12725000,0,0,111531987,91294680,20237308,11830359,8406949,8335925,6340531,100,1248500,19.69,7.54,5.68,3.04,-7.43,-16.06,26.31,206.46,38.16,2.36,18.14,1.04,11.39,8.59,7.86,5.93,504,6123,8.39,0.69,0.48,5.92,8.43,7.46,5.68,9617464,-10309772,-2961112
2015,128773589,83440970,45332619,0,44249395,43428593,820801,84524194,500,12790000,0,0,135394762,110352074,25042688,14665844,10376844,10894307,8435624,150,1882500,22.32,7.66,6.23,21.40,23.43,33.04,30.45,192.13,52.35,2.87,18.50,1.15,12.86,10.45,8.83,7.18,662,6683,7.90,0.78,0.49,5.75,10.62,6.46,4.95,17449129,-5086656,-1342434
2016,157087156,86446111,70641045,0,53077663,43696229,9381434,104009493,500,15370000,0,0,157137164,124425161,32712003,16878516,15833487,15405637,12311539,200,3026000,24.56,10.08,7.83,16.06,52.58,45.95,35.40,197.83,51.03,3.24,20.82,1.10,16.80,13.06,11.08,8.61,840,6835,7.36,0.90,0.58,5.73,15.36,6.20,5.08,12969223,-29424646,14376325
2017,225894571,144010240,81884331,0,105070418,91901960,13168458,120824154,500,15400000,0,0,223185014,172976753,50208261,29155211,21053050,24130128,18648663,250,3850000,20.64,9.43,8.36,42.03,32.97,51.47,32.36,156.70,86.96,3.81,22.50,1.17,18.73,16.59,10.99,9.74,1211,7846,5.42,0.84,0.45,4.46,14.51,6.23,5.23,-13774176,-9956768,21499488
2018,212416938,127701175,84715763,0,85711016,75259002,10452014,126705922,500,15400000,0,0,240804571,199919687,40884884,21452965,19431919,21178283,18160285,200,3053908,16.82,8.07,7.54,7.89,-7.70,-2.62,15.59,169.68,67.65,2.44,16.98,1.10,15.70,14.67,8.87,8.29,1179,8286,6.95,0.99,0.52,5.50,13.04,7.27,5.84,25298300,-11986162,-8874628
