구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,20464246,6380210,14084036,0,19886890,14628394,5258496,577357,500,10925879,0,0,46713704,47559174,-845470,2067229,-2912700,-3987379,-3987379,-4777842,-1382516,7312268,0,0,0,-8.54,-4.51,적지,적지,0,43.62,3444.47,0,-1.81,2.28,-113.29,-155.09,-14.20,-19.44,-64,9,0,59.98,0.74,0,-21.87,0,0
2017,20567011,7343859,13223152,0,16002274,10479213,5523061,4564736,500,10925879,0,0,48920796,47502190,1418606,2055526,-636920,-1454787,-1454787,-41721,-919070,1277652,0,0,0,-2.97,-8.89,적전,적지,0,70.08,350.56,0,2.90,2.52,-16.80,-38.36,-3.29,-7.50,-23,73,0,24.29,2.27,0,-5.22,0,0
2016,18205540,5349815,12855725,0,15185945,6016558,9169387,3019595,500,18852705,0,0,53696560,51014523,2682037,2158843,523194,-349034,-349034,498430,-1544369,363851,0,0,0,-0.65,75.28,흑전,적지,0.58,88.92,502.91,0,4.99,3.10,16.26,-10.84,3.02,-2.01,-6,48,0,16.38,0.92,297.12,4.53,46.63,23.49
2015,16489602,4577821,11911782,0,13072119,5849029,7223090,3417483,500,18852705,0,0,30634199,29657277,976922,1683669,-706746,-2295310,-2295310,-1425367,-1322159,3334259,0,0,0,-7.49,-24.71,적지,적지,0,78.27,382.51,0,3.19,1.89,완전잠식,완전잠식,-4.36,-14.17,-37,55,0,0,0,0,-8.24,0,0
2014,15898567,4645886,11252681,0,21884073,9992781,11891292,-5985506,500,7852705,0,0,40686774,40629353,57421,1988295,-1930874,-1908634,-1908634,-2812144,2602130,226749,0,0,0,-4.69,-12.57,적지,적지,0,46.49,완전잠식,0,0.14,2.43,완전잠식,완전잠식,-11.54,-11.41,-31,-96,0,0,0,0,-27.27,0,0
2013,17561200,3431049,14130151,0,22623244,10653281,11969962,-5062044,500,7227705,0,0,46534214,45962316,571899,1954460,-1382562,-3177998,-3177998,-697945,153241,611528,0,0,0,-6.83,45.50,적지,적전,0,32.21,완전잠식,0,1.23,2.50,완전잠식,완전잠식,-7.42,-17.05,-51,-81,0,0,0,0,-15.49,0,0
2012,19707326,4545609,15161717,0,22595100,9318693,13276407,-2887773,500,6227705,0,0,31982821,33023415,-1040594,2272291,-3312885,8499853,8499853,-7697547,2378013,5123599,0,0,0,26.58,112.30,적지,흑전,0,48.78,완전잠식,0,-3.25,1.54,완전잠식,완전잠식,-15.92,40.84,136,-46,0,0,0,0,-39.93,0,0
2011,21921138,5073260,16847878,0,33363791,31869664,1494126,-11442653,500,62283910,0,0,15065118,14853868,211250,12877793,-12666543,-29277266,-29277266,-13370020,-72502,12934931,0,0,0,-194.34,-62.95,적지,적지,0,15.92,완전잠식,0,1.40,0.48,완전잠식,완전잠식,-40.01,-92.49,-495,-184,0,0,0.03,0,-118.55,0,0
2010,41390611,13671439,27719173,0,31112967,26909852,4203114,10277644,500,37609910,0,0,40656735,36902579,3754157,10592949,-6838792,-17426314,-6097597,-7599870,2007883,2036656,0,0,0,-15.00,-26.79,적지,적지,0,50.80,302.72,0,9.23,0.50,-38.53,-34.36,-8.34,-7.43,-194,273,0,2.21,0.47,0,-14.64,0,0
2009,122659690,23727336,98932354,0,97440936,41321942,56118994,25218754,500,21313972,0,0,55536578,51585101,3951477,4804976,-853499,-4981651,-32718397,-8010985,-2339925,7041303,0,0,0,-58.91,0.94,적지,적지,0,57.42,386.38,0,7.12,0.43,-3.21,-123.00,-0.65,-25.09,-1722,1076,0,0.66,0.24,0,-1.95,0,14.57
