구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,18242117000,0,0,0,16869766000,0,0,1372351000,5000,0,0,0,369149000,0,369149000,0,0,0,0,-235514000,182870000,86175000,0,0,0,14.69,13.58,44.51,42.21,0,0,1229.26,0,59.43,0.04,10.94,8.79,0.78,0.63,0,0,0,0,0,0,0,0,0
2017,18059489000,0,0,0,16835784000,0,0,1223705000,5000,0,0,0,315459000,0,315459000,0,0,0,0,240713000,-123076000,-28521000,0,0,0,11.61,11.70,75.02,41.16,0,0,1375.80,0,59.93,0.04,8.01,6.53,0.57,0.47,0,0,0,0,0,0,0,0,0
2016,16292823000,0,0,0,15061194000,0,0,1231629000,5000,0,0,0,243406000,0,243406000,0,0,0,0,-378342000,104798000,233140000,0,0,0,9.30,-1.07,-11.78,10.56,0,0,1222.87,0,59.77,0.04,4.95,5.00,0.37,0.37,0,0,0,0,0,0,0,0,0
2015,14118308000,0,0,0,13079670000,0,0,1038638000,5000,0,0,0,241616000,0,241616000,0,0,0,0,170218000,-21760000,-71418000,0,0,0,8.28,-6.62,26.04,44.17,0,0,1259.31,0,55.66,0.05,6.52,5.26,0.46,0.37,0,0,0,0,0,0,0,0,0
2014,13411707000,0,0,0,12496435000,0,0,915272000,5000,0,0,0,227929000,0,227929000,0,0,0,0,-438232000,307962000,93899000,0,0,0,5.58,5.38,-19.79,385.00,0,0,1365.32,0,52.94,0.05,5.85,4.13,0.39,0.28,0,0,0,0,0,0,0,0,0
2013,12450148000,0,0,0,11639417000,0,0,810731000,5000,0,0,0,225438000,0,225438000,0,0,0,0,-732846000,-255981000,698088000,0,0,0,1.17,-27.74,-32.65,-89.10,0,0,1435.67,0,48.49,0.05,7.44,0.87,0.48,0.06,0,0,0,0,0,0,0,0,0
2012,13662326000,0,0,0,12779658000,0,0,882668000,5000,0,0,0,298309000,0,298309000,0,0,0,0,-885846000,14035000,914110000,100,6443000,0,7.45,23.18,-28.58,-37.31,0,0,1447.84,2.39,46.25,0.07,11.48,8.28,0.73,0.53,970,12461,4.32,0.34,0.31,3.28,0,0,0
2011,12006027000,0,0,0,11260181000,0,0,745846000,5000,0,0,0,300232000,0,300232000,0,0,0,0,75261000,-288596000,109764000,200,13102000,0,13.77,34.90,42.17,54.92,0,0,1509.72,4.13,44.17,0.07,20.29,16.66,1.24,1.02,1986,10487,2.44,0.46,0.35,2.12,0,0,0
2010,9085117000,0,0,0,8540752000,0,0,544365000,5000,0,0,0,220599000,0,220599000,0,0,0,0,-68156000,-347604000,393937000,250,13876969,0,12.98,0,0,0,0,0,1568.94,3.57,50.16,0,0,0,0,0,1250,9807,5.60,0.71,0.73,4.76,0,0,0
2009,7252136025,0,0,0,6806660423,0,0,445475602,5000,0,0,0,191822013,0,191822013,0,0,0,0,-223821797,-11207119,323624414,250,13339862,0,10.50,3.39,48.91,26.45,0,0,1527.95,3.42,47.66,0.07,19.90,13.13,1.14,0.75,1011,8349,7.24,0.88,0.76,6.09,0,0,0
