구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,231274872,78429508,152845364,0,26694979,22403333,4291646,204579892,500,146235748,0,0,40524688,-57100457,-14936493,104,14938212,0,-9.04,-13.68,-35.31,적전,181.07,350.08,13.05,5.59,100.00,0.45,4.59,-4.58,4.08,-4.07,-69,1438,0,1.29,2.49,9.26,12.63,27.58,5.54,109447251,0,109447251,99519181,9928069,-6412357,-9896707
2017,255079898,102616363,152463535,0,27355057,23544760,3810298,227724841,500,145153497,0,0,61792005,-50927711,993435,0,0,0,2.08,15.90,36.75,-37.55,127.55,435.84,12.01,0,100.00,0.50,6.83,1.17,6.00,1.03,17,1610,146.39,1.58,2.89,7.41,5.84,24.13,5.95,126795065,0,126795065,111447836,15347229,5508915,2637301
2016,256634714,95060307,161574407,0,35076218,30714585,4361633,221558496,500,143556056,0,0,42181533,-38252694,-2786487,0,0,0,3.86,3.04,52.35,10.52,45.38,309.50,15.83,0,100.00,0.43,5.14,1.93,4.38,1.65,30,1585,61.37,1.18,2.45,6.25,5.93,23.99,5.42,109404923,0,109404923,98181963,11222960,6242940,4223113
2015,255675961,79206326,176469636,0,40636104,35952298,4683805,215039858,500,143309751,0,0,34635245,-20783147,-9609616,0,0,0,3.60,40.28,-32.04,-25.03,24.04,220.31,18.90,0,100.00,0.59,5.12,2.66,4.10,2.13,42,1543,49.22,1.33,2.38,5.71,5.65,40.20,6.37,106178242,0,106178242,98811856,7366386,6507494,3821010
2014,103486906,75148118,28338789,0,30753290,27361355,3391935,72733616,500,98715945,0,0,41783313,-34636726,1212039,0,0,0,6.73,22.19,흑전,7698.32,50.63,274.65,42.28,0,100.00,0.82,18.64,8.76,11.73,5.52,154,1625,20.41,1.94,1.79,3.22,26.58,12.85,3.01,75690271,0,75690271,64850257,10840014,8234794,5097053
2013,81340956,33131754,48209202,0,37734881,27038592,10696288,43606075,500,40975218,0,0,50594,-24503601,22689433,0,0,0,0.11,37.92,적전,-98.50,0,122.54,86.54,0,11.08,0.97,-1.08,0.17,-0.67,0.10,3,942,718.46,2.26,1.41,21.85,-1.95,0,27.50,61942542,55081238,6861304,7287661,-426357,98329,65361
2012,45827243,24376227,21451015,0,10788764,8907378,1881386,35038478,500,40975218,0,0,3598242,4572025,-1258078,0,0,0,9.73,-8.66,80187.04,103.70,18.70,273.66,30.79,0,14.84,0.88,7.01,13.55,4.43,8.57,107,902,18.03,2.13,1.76,13.65,0,35.16,21.68,44910784,38245706,6665077,4407045,2258033,4555325,4368439
2011,56076290,40887575,15188715,0,26653171,25211439,1441733,29423118,500,40495218,0,0,9289671,2652866,-4800002,0,0,0,4.36,24.83,흑전,흑전,0.00,162.18,90.59,0,10.28,0.99,0.01,7.63,0.01,4.30,53,787,71.82,4.85,3.13,37.50,0,54930.40,78.59,49169803,44116572,5053231,5050418,2812,1685230,2144493
2010,43666536,7684396,35982140,0,16892362,15742412,1149950,26774175,500,40335218,0,0,-1753071,-1825186,1450000,0,0,0,-15.82,0,0,0,0,48.81,63.09,0,4.37,0,0,0,0,0,-154,724,0,2.49,1.84,0,0,0,0,39390631,37667596,1723035,4663738,-2940703,-6230954,-6230954
2009,46543551,17612626,28930925,0,15786039,14637955,1148084,30757512,500,40335218,0,0,162134,-119015,1900000,0,0,0,-11.16,-39.93,적지,적지,0,120.32,51.32,0,1.10,0.67,-7.31,-12.78,-4.28,-7.49,-119,823,0,1.28,0.99,0,-14.67,0,979.71,42953605,42481734,471870,3213482,-2741612,-4794269,-4794269
