구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,130722918,82239521,48483398,0,41243654,25307060,15936594,89479264,81,53743968,0,0,7930224,-5121148,-4594925,0,0,0,0.34,-1.17,-81.53,-47.61,1.66,324.97,46.09,0,25.43,0.78,0.78,0.39,0.53,0.26,-8,1566,0,0.49,0.40,7.00,0.19,71.43,7.18,103471394,77159064,26312329,25607611,704718,1879038,348594
2017,134638858,89686115,44952743,0,43054570,24713122,18341448,91584288,82,53743968,0,0,2702364,-758871,-3024784,0,0,0,0.64,-4.40,-42.48,-84.77,5.11,362.91,47.01,0,26.17,0.75,4.14,0.72,2.72,0.47,-6,1603,0,0.71,0.58,10.31,1.97,18.41,7.00,104699595,77304779,27394816,23579277,3815539,1920065,665344
2016,145926656,94845169,51081486,0,52986816,30960249,22026567,92939840,87,53407947,0,0,8100436,-13636721,2924182,0,0,0,3.99,30.80,312.20,흑전,5.61,306.34,57.01,0,27.07,0.76,7.54,4.97,4.60,3.03,70,1673,28.53,1.20,0.98,10.62,7.04,17.33,8.87,109514967,79865347,29649620,23016690,6632930,6013036,4369863
2015,142414000,85886334,56527666,0,59486722,36083373,23403349,82927278,90,42506065,0,0,4522931,-8363825,7703654,0,6198,0,-0.05,21.17,-62.03,적지,1.84,238.02,71.73,0,23.16,0.68,1.98,-0.05,1.30,-0.03,5,2067,650.15,1.51,1.58,24.90,-0.06,106.16,25.38,83729943,64336109,19393834,17784666,1609168,1817721,-42798
2014,105604612,68009871,37594741,0,25676747,20598676,5078071,79927866,88,37116994,0,0,3344317,-6926311,368344,0,0,0,-5.41,-14.40,11.75,적전,10.65,330.17,32.12,0,25.39,0.65,5.21,-4.60,4.01,-3.54,-108,2260,0,0.47,0.57,0,49.06,9.34,5.32,69100639,51559111,17541528,13304039,4237489,-663489,-3738855
2013,105895567,70812479,35083088,0,23169986,18609212,4560773,82725582,87,37116994,0,0,6158329,-5943146,806469,0,0,0,0.66,-2.53,-14.08,-77.64,10.08,380.52,28.01,0,24.12,0.77,4.61,0.64,3.62,0.50,14,2340,73.25,0.44,0.48,8.05,1.72,10.18,4.80,80729012,61257219,19471793,15679715,3792078,2206914,529517
2012,103837701,69970715,33866985,0,22148935,19428975,2719960,81688766,86,35406442,0,0,9671977,-2374653,-2334318,0,1711,0,2.86,-9.83,-8.63,흑전,8.24,360.14,27.11,0,23.73,0.77,5.31,2.85,4.09,2.20,65,2431,18.71,0.50,0.52,6.07,4.04,10.70,5.12,82825379,63174777,19650601,15237016,4413585,4448440,2367992
2011,111784801,70345290,41439511,0,27235564,23605827,3629738,84549237,91,33777352,0,0,7562854,-4976584,-1273540,0,1630,0,-0.29,-6.56,-49.89,적전,5.42,298.00,32.21,0,23.10,0.85,5.75,-0.31,4.49,-0.24,6,2658,234.29,0.54,0.53,9.13,-1.60,10.82,5.27,91855716,70636990,21218726,16388449,4830278,1323034,-263309
2010,103161724,67147904,36013820,0,19832476,17457554,2374922,83329247,86,33777352,0,0,11564191,-11165474,-6106398,0,3318495,0,6.47,7.76,-29.05,-49.70,39.33,384.64,23.80,0,26.84,0.95,11.69,7.71,9.34,6.17,188,2593,10.17,0.74,0.66,6.04,13.68,6.71,4.63,98301085,71913618,26387467,16748182,9639284,7888409,6359912
2009,103141288,65039037,38102251,0,21495205,20024567,1470639,81646082,86,33777352,0,0,1475095,-8683879,14688760,0,3715509,0,13.86,4.83,19.94,26.42,29.74,324.80,26.33,0,32.04,0.94,20.08,18.68,13.95,12.98,460,2543,7.18,1.30,0.99,5.42,23.12,7.70,5.91,91220600,61996747,29223853,15638544,13585309,14475783,12643028
