구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,14561034,7770467,6790567,0,12347338,7257465,5089873,2213696,5000,96666,0,0,13263718,10364798,2898919,3226326,-327407,-627630,-627630,-1969621,-1125485,1814075,0,0,0,-2.47,-4.73,45.25,적지,적지,0,107.07,557.77,0,21.86,0.95,-12.95,-24.83,-2.34,-4.48,-6493,22900,0,0,0,0,-3.39,0,10.21
2010,19332928,12074706,7258222,0,15885884,12411033,3474851,3447044,5000,96666,0,0,23720638,18280234,5440404,3948755,1491648,1233348,1233348,1669926,-1578884,338210,0,0,0,6.29,5.20,78.84,흑전,흑전,3.22,97.29,460.86,0,22.94,1.40,52.70,43.58,8.80,7.28,12759,35659,0,0,0,0,14.07,5.65,3.36
2011,32020281,18695291,13324990,0,24587682,18696773,5890908,7432599,5000,390000,0,0,41473755,29139028,12334727,6762340,5572387,5110152,3913621,3131293,-6022478,4119132,0,0,0,13.44,9.44,0,0,0,5.36,99.99,330.81,0,29.74,0,0,0,0,0,10892,19058,0,0,0,0,0,2.25,1.92
2012,44650778,26478358,18172420,0,30578530,21271425,9307104,14072248,500,3900000,0,0,63495729,43275050,20220679,8929562,11291117,8526314,6827674,2679398,-6202961,2269005,0,0,0,17.78,10.75,53.10,102.63,74.46,8.29,124.48,217.30,0,31.85,1.66,105.01,63.50,29.45,17.81,1751,3608,0,0,0,0,36.43,1.48,1.30
2013,85777169,66841003,18936166,0,23444245,19622809,3821436,62332923,500,5338258,0,0,100089278,67135051,32954227,10470628,22483599,20814784,17448958,9777020,-16225924,21277667,0,0,0,22.46,17.43,57.63,99.13,155.56,20.51,340.63,37.61,0,32.92,1.53,58.85,45.67,34.48,26.76,4160,11677,5.67,2.02,0.99,5.02,52.51,5.38,4.89
2014,78021387,49882649,28138738,0,11365475,11052975,312500,66655912,500,11026516,0,0,86199618,71957390,14242228,11250722,2991506,3235328,2753888,11851808,-6510787,-3664933,0,0,0,3.47,3.19,-13.88,-86.69,-84.22,17.56,451.31,17.05,0,16.52,1.05,4.64,4.27,3.65,3.36,250,6045,29.76,1.23,0.95,15.31,5.86,27.46,14.69
2015,89980201,57256598,32723603,0,13558379,12584775,973605,76421821,500,11026516,0,0,69881989,47760121,22121868,10950657,11171211,11770077,9384533,18587411,-13294072,-1437500,0,0,0,15.99,13.43,-18.93,273.43,240.77,182.05,454.97,17.74,0,31.66,0.83,15.62,13.12,13.30,11.17,851,6931,9.47,1.16,1.27,7.26,21.60,7.96,6.34
2016,165524302,95068351,70455951,0,91430838,64212623,27218214,74093464,500,11026516,0,0,140395878,119942871,20453007,20551164,-98157,-4946094,-3448009,14997935,-54586829,31024613,0,0,0,-0.07,-2.46,100.90,적전,적전,0,148.05,123.40,0,14.57,1.10,-0.13,-4.58,-0.08,-2.70,-313,6720,0,0.98,0.52,30.72,-0.13,0,12.73
2017,204394200,105389851,99004349,0,119794405,84156830,35637575,84599795,500,11026516,0,0,155927912,130981421,24946491,22118190,2828301,198032,8999,-1023566,-4016421,-829766,0,0,0,1.81,0.01,11.06,흑전,흑전,0.58,125.23,141.60,0,16.00,0.84,3.56,0.01,1.53,0.00,1,6538,6739.04,0.84,0.39,9.00,0.15,34.68,10.26
2018,212054431,115676538,96377893,0,140723561,123798560,16925001,71330869,500,12086586,0,0,227297064,195767815,31529249,25998113,5531137,-15557331,-16426485,3071204,-12017399,-1026266,0,0,0,2.43,-7.23,45.77,95.56,적전,1.30,93.44,197.28,0,13.87,1.09,7.09,-21.07,2.66,-7.89,-1133,5204,0,0.65,0.18,0,5.90,15.87,6.46
