구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,51203315,18207229,32996086,0,38309066,35715569,2593497,12894249,100,64891136,0,0,150687300,104378766,46308534,39685952,6622581,4923871,325465,-1333159,-26149367,5769130,10,606887,186.47,4.39,0.22,495.36,632.79,흑전,35.24,50.98,297.10,0.42,30.73,3.37,37.84,1.86,14.81,0.73,11,521,227.14,4.60,0.49,34.18,37.13,24.10,18.87
2010,73753746,40697788,33055958,0,55107079,32893295,22213784,18646667,100,64998136,0,0,151974342,102145673,49828669,41708756,8119914,7535075,5481736,13107666,-23201746,13763390,20,1215915,22.18,5.34,3.61,0,0,0,11.37,123.73,295.53,1.09,32.79,0,0,0,0,0,84,609,21.81,3.02,0.79,15.79,0,14.73,11.71
2011,86015265,36566006,49449259,0,64730099,61993268,2736831,21285166,100,64998136,0,0,159297346,100813366,58483980,51605100,6878880,5807754,3915081,14858995,-15673297,-174291,20,1215915,31.06,4.32,2.46,4.82,-15.28,-28.58,5.15,58.98,304.11,1.76,36.71,1.99,34.45,19.61,8.61,4.90,60,650,18.84,1.75,0.46,10.22,45.49,10.97,7.41
2012,72703751,23861558,48842193,0,50247775,46584377,3663397,22455976,100,64998136,0,0,177632560,107757376,69875184,60924460,8950724,5365050,2820819,18886733,11836307,-22870691,20,1216000,43.11,5.04,1.59,11.51,30.12,-27.95,11.37,51.22,223.76,1.23,39.34,2.24,40.93,12.90,11.28,3.55,43,668,37.56,2.44,0.60,14.65,51.38,11.84,7.93
2013,67294953,14822789,52472164,0,43619860,37961687,5658173,23675093,100,64998136,0,0,174593729,104826704,69767025,66605888,3161137,3927768,2925356,1534604,-5355766,-1028945,10,607957,18.07,1.81,1.68,-1.71,-64.68,3.71,39.43,39.05,184.24,0.64,39.96,2.49,13.71,12.68,4.52,4.18,52,686,30.24,2.28,0.58,13.12,44.97,32.18,13.47
2014,80515277,25606440,54908836,0,37730809,33068288,4662521,42784467,100,79227380,0,0,143975989,87407830,56568160,55133507,1434653,787265,438831,188075,-9529500,17369152,5,375125,85.48,1.00,0.30,-17.54,-54.62,-85.00,38.85,77.44,88.19,0.14,39.29,1.95,4.32,1.32,1.94,0.59,6,804,568.80,4.42,1.73,54.46,7.78,196.32,50.48
2015,105661942,26252076,79409866,0,62106511,48023772,14082739,43555431,100,80808407,0,0,122422450,65723376,56699074,61538119,-4839046,-3916306,-3349567,-4959699,-19040389,18796738,0,0,0,-3.95,-2.74,-14.97,적전,적전,0,54.66,142.59,0,46.31,1.32,-11.21,-7.76,-5.20,-3.60,-47,767,0,4.33,2.17,638.74,-14.78,0,0
2016,114751629,36527051,78224578,0,72166495,58587493,13579002,42585134,100,80808407,0,0,151260360,76335949,74924411,74419866,504545,-2888809,-2054148,-3133547,-10109969,15696121,0,0,0,0.33,-1.36,23.56,흑전,적지,0.45,62.35,169.46,0,49.53,1.37,1.17,-4.77,0.46,-1.86,-45,735,0,2.54,1.00,178.05,0.84,343.02,34.44
2017,99408582,50853367,48555215,0,60126247,50418648,9707599,39282335,100,80808407,0,0,145213359,73179526,72033833,73741173,-1707340,-10375832,-18222086,-6766913,23016343,-12778697,0,0,0,-1.18,-12.55,-4.00,적전,적지,0,100.86,153.06,0,49.61,1.36,-4.17,-44.52,-1.59,-17.02,-259,560,0,2.35,0.73,0,-9.85,0,38.91
2018,65604175,38990537,26613638,0,30928362,23794567,7133795,34675813,100,80808407,0,0,119809794,68885097,50924696,51301761,-377065,-16652454,-20985299,-6641457,7682864,-4733224,0,0,0,-0.31,-17.52,-17.49,적지,적지,0,163.86,89.19,0,42.50,1.45,-1.02,-56.75,-0.46,-25.43,-249,484,0,2.72,0.89,0,-4.43,0,57.72
