구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,281686136,150650852,131035284,0,60103619,54665862,5437757,221582517,5000,1600000,0,0,49729618,-48611792,-2000000,1250,2000000,5.48,22.57,19.04,0.88,10.08,17.45,0,275.58,27.12,0.98,62.45,0.73,21.19,17.87,16.55,13.96,22825,138489,5.56,0.92,1.06,4.55,38.02,4.69,3.95,191841842,72044828,119797015,76499544,43297471,48144811,36519339
2010,327433751,207062963,120370788,0,66974125,61650346,5323778,260459626,5000,1600000,0,0,58641255,-50687285,-2000000,1250,2000000,4.51,24.87,21.34,0,0,0,0,335.87,25.71,0.69,62.52,0,0,0,0,0,27717,162787,6.51,1.11,1.39,5.42,0,5.59,4.76,207799414,77887068,129912346,78241305,51671041,58461508,44346558
2011,380753715,260854658,119899057,0,70539083,66163614,4375469,310214632,5000,1600000,0,0,58007847,-54058672,-2000000,1250,2000000,3.83,26.61,23.81,5.69,13.10,17.89,0,394.26,22.74,0.73,63.25,0.62,20.48,18.32,16.50,14.77,32676,193884,5.23,0.88,1.25,4.55,67.31,4.68,4.12,219613514,80698060,138915454,80476110,58439343,68863865,52281979
2012,430662968,287723501,142939467,0,69047125,65950254,3096871,361615843,5000,1600000,0,0,56319963,-43652264,-2000000,1250,2000000,3.72,27.21,25.15,-2.65,-0.43,2.85,0,436.27,19.09,0.54,63.99,0.53,17.32,16.01,14.34,13.25,33606,226010,6.92,1.03,1.74,6.22,56.34,6.39,5.79,213803173,76996157,136807016,78621303,58185712,70131083,53769536
2013,656355808,25873334,630482474,0,247664982,145034010,102630971,408690826,5000,1600000,0,0,57337481,-274884013,178012700,1250,2000000,4.12,27.10,23.51,-3.37,-3.79,-9.67,13.07,17.84,60.60,0.50,64.66,0.38,14.53,12.61,10.30,8.94,30356,255432,8.32,0.99,1.96,7.44,12.63,10.36,9.40,206606675,73016518,133590157,77608434,55981723,63628156,48569715
2014,652758688,24561635,628197053,0,204133762,100591603,103542159,448624926,5000,1600000,0,0,50217757,-5467556,-46400000,1250,2000000,4.74,25.31,20.62,-0.86,-7.41,-13.04,10.46,24.42,45.50,0.41,65.11,0.31,12.09,9.85,7.92,6.45,26398,280391,11.63,1.09,2.40,10.17,6.82,12.05,10.79,204820461,71460629,133359832,81524193,51835640,55017508,42236355
2015,659495158,33510638,625984520,0,168114362,167220829,893532,491380796,5000,1600000,0,0,52123039,-5629270,-37800000,1250,2000000,4.36,26.68,22.35,0.25,5.67,8.68,15.34,20.04,34.21,0.44,66.91,0.31,11.65,9.77,8.35,7.00,28688,307113,9.86,0.92,2.21,8.70,7.26,9.89,8.89,205331892,67952823,137379070,82606671,54772399,59580728,45901413
2016,655502726,32426270,623076456,0,121212540,120554131,658409,534290186,5000,1600000,0,0,50122658,-9172921,-51100000,1250,2000000,4.39,26.64,21.65,2.48,2.33,-0.76,30.68,26.90,22.69,0.50,67.20,0.32,10.93,8.88,8.52,6.93,28471,333931,8.73,0.74,1.89,7.76,7.01,7.91,7.18,210423594,69014284,141409310,85361942,56047368,62784038,45554028
2017,655018971,33243825,621775146,0,75655139,74984335,670804,579363832,5000,1600000,0,0,51294766,-3587726,-47300000,1250,2000000,4.18,38.99,35.46,-35.88,-6.14,5.03,81.18,44.33,13.06,0.54,87.99,0.21,9.45,8.59,8.03,7.30,29904,362102,7.67,0.63,2.72,6.87,6.60,6.98,6.31,134915460,16202850,118712610,66107023,52605587,60784283,47846191
2018,696204982,77504431,618700551,0,75548265,74818605,729660,620656716,5000,1600000,0,0,53868560,-658704,-7600000,3000,4800000,10.64,37.03,33.35,0.22,-4.82,-5.75,715.98,103.59,12.17,1.67,86.89,0.20,8.34,7.52,7.41,6.67,28183,387910,6.39,0.46,2.13,5.64,6.38,5.75,5.14,135213362,17733154,117480208,67411400,50068808,59006067,45093180
