구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,19431015,14657892,4773123,0,17140731,16611319,529413,2290284,5000,281612,0,0,24963741,20471573,4492167,2969178,1522989,916925,916925,-4347426,-2050445,6307000,0,0,0,6.10,3.67,0,0,0,2.61,88.24,748.41,0,17.99,0,0,0,0,0,3256,8145,0,0,0,0,0,5.99,5.22
2011,11452605,9557166,1895439,0,8813346,8294763,518583,2639258,5000,281612,0,0,30226339,25097964,5128375,3969845,1158530,355920,355920,5327490,2516345,-7854145,0,0,0,3.83,1.18,21.08,-23.93,-61.18,1.55,115.22,333.93,0,16.97,1.96,47.00,14.44,7.50,2.30,1264,9409,0,0,0,0,15.46,1.30,1.04
2012,7010914,5525977,1484938,0,8821467,8172220,649247,-1810553,5000,281612,0,0,3785539,5561028,-1775489,2194973,-3970462,-4449811,-4449811,-1053240,151564,968876,0,0,0,-104.88,-117.55,-87.48,적전,적전,0,67.62,완전잠식,0,-46.90,0.41,-958.23,-1073.92,-43.01,-48.20,-15801,-6392,0,0,0,0,-187.36,0,0
2013,11873770,10490290,1383480,0,17426530,16443478,983052,-5552760,5000,153004,0,0,36645797,29991524,6654273,3398705,3255568,1396893,1039734,-1872952,214453,1900873,0,0,0,8.88,2.84,0,0,0,2.99,63.80,완전잠식,0,18.16,0,0,0,0,0,2805,-14523,0,0,0,0,0,3.27,3.02
2014,29278570,27694244,1584326,0,27293401,22338442,4954959,1985169,500,3816120,0,0,40483442,34208944,6274498,4614813,1659684,1721549,1934490,-8894449,-55873,9282847,0,0,0,4.10,4.78,10.47,-49.02,86.06,3.26,123.98,1374.87,0,15.50,1.97,완전잠식,완전잠식,8.07,9.40,507,523,7.05,6.84,0.34,6.29,17.29,14.75,12.92
2015,27191609,24667407,2524202,0,17394723,12249404,5145319,9796886,500,4621148,0,0,42616506,37131022,5485485,3815036,1670449,1533301,1526145,5451859,-613620,-4594894,0,0,0,3.92,3.58,5.27,0.65,-21.11,5.84,201.38,177.55,0,12.87,1.51,28.36,25.91,5.92,5.41,390,2120,11.29,2.08,0.40,9.52,10.92,14.28,12.20
2016,51608773,48579969,3028804,0,37836969,35701634,2135336,13771804,500,5315078,0,0,35384906,30387408,4997498,4352950,644548,801645,362667,-1238927,-5183855,9177018,0,0,0,1.82,1.02,-16.97,-61.41,-76.24,2.80,136.07,274.74,0,14.12,0.90,5.47,3.08,1.64,0.92,71,2591,147.43,4.05,1.51,67.97,1.88,93.01,56.10
2017,42703334,40587892,2115443,0,34924907,34444053,480855,7778427,100,51386205,0,0,37357618,38084180,-726562,9661928,-10388490,-21925778,-22499932,2349934,-24140840,21333663,0,0,0,-27.81,-60.23,5.58,적전,적전,0,117.84,449.00,0,-1.94,0.79,-96.41,-208.81,-22.03,-47.71,-452,151,0,7.50,1.51,0,-111.09,0,0
2018,107402923,54576699,52826224,0,68182568,63864841,4317726,39220355,500,14754135,0,0,32781295,23200733,9580562,10534654,-954092,-19064243,-14489733,-16880097,-45216761,61262578,0,0,0,-2.91,-44.20,-12.25,적지,적지,0,85.46,173.84,0,29.23,0.44,-4.06,-61.66,-1.27,-19.31,-942,2687,0,4.21,4.69,0,-6.04,0,0
