구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,238619493,72906719,165712775,0,22939575,11783237,11156338,215679919,500,17858304,0,0,-5633688,-3833228,-3070820,260,4583778,0,-4.84,-5.40,적지,적전,0,618.73,10.64,6.40,36.99,0.26,-1.37,-1.36,-1.24,-1.24,-152,11981,0,0.34,1.18,506.40,3.99,0,0,61496072,38750320,22745751,25740195,-2994444,2901112,-2977369
2017,242628913,87014026,155614887,0,21180276,12246205,8934071,221448638,500,17858304,0,0,-2377105,15318726,-216646,170,2997001,0,14.45,-6.74,적지,흑전,0,710.54,9.56,2.99,38.16,0.29,-2.20,4.52,-2.01,4.12,542,12264,10.48,0.46,1.56,7.90,-4.45,0,0,65002983,40198300,24804683,29377858,-4573175,12279775,9394895
2016,213004831,85261001,127743830,0,18986190,10786059,8200131,194018641,500,17858304,0,0,141542,-12698994,-1511584,50,881446,0,-3.96,-10.00,적지,적지,0,790.47,9.79,0.72,39.70,0.32,-3.31,-1.41,-3.02,-1.29,-148,10720,0,0.65,1.78,244.95,-6.68,0,0,69701266,42026522,27674744,34162515,-6487771,-3085462,-2760688
2015,216587928,97221146,119366781,0,18420650,10740663,7679988,198167277,500,17858304,0,0,-9008894,4802344,3766659,50,881398,0,-4.56,-15.70,적전,적전,0,905.17,9.30,0.78,35.41,0.36,-4.15,-1.79,-3.78,-1.63,-208,10928,0,0.59,1.48,0,-7.68,0,0,77443124,50017004,27426120,35623752,-8197632,-4169741,-3529405
2014,217479839,99291581,118188258,0,20669149,14219171,6449978,196810690,500,17858304,0,0,2930587,5409553,-4801400,50,856303,0,3.77,-7.37,-24.92,-39.69,9.17,698.29,10.50,0.85,39.38,0.42,0.55,1.77,0.50,1.59,185,11106,31.94,0.53,1.15,14.16,0.69,101.74,21.07,91863604,55688500,36175104,35092859,1082245,5693651,3463226
2013,218115221,100545624,117569597,0,23547445,13705357,9842089,194567775,500,17858304,0,0,4097835,-4096479,1730300,45,770618,0,5.79,-16.45,-74.85,-8.09,9.21,733.62,12.10,0.76,42.35,0.46,0.75,2.98,0.67,2.68,304,10974,19.52,0.54,1.07,10.47,1.03,76.97,18.08,99173525,57173733,41999792,40558345,1441447,7872581,5742772
2012,209729554,87400525,122329029,0,19090111,13830374,5259737,190639443,500,17858304,0,0,7480415,-10521522,7495940,90,1541000,0,5.26,-7.04,7.23,18.69,175.14,631.95,10.01,1.22,44.83,0.58,3.11,3.39,2.80,3.06,366,10771,20.20,0.69,1.11,10.72,4.26,23.83,11.87,118697826,65490982,53206843,47476022,5730822,8037867,6247982
2011,199135153,82405755,116729398,0,21020767,16472336,4548430,178114387,500,17858304,0,0,7678883,-9565683,-4350705,105,1689000,0,4.12,9.20,-63.19,-65.95,167.22,500.27,11.80,1.32,42.79,0.64,3.01,2.96,2.67,2.63,291,10564,27.43,0.75,1.11,12.38,3.86,27.50,12.61,127686247,73054530,54631717,49287226,5344491,7119330,5264054
2010,200862986,95013980,105849006,0,23794160,20407739,3386422,177068826,500,17858304,0,0,26049262,-23759232,-725738,265,4261254,0,13.22,0,0,0,261.67,465.58,13.44,2.39,50.63,0,0,0,0,0,855,10518,12.98,1.06,1.70,9.07,0,13.96,9.61,116933694,57728627,59205067,44687208,14517859,19278068,15460732
2009,156826525,83730220,73096305,0,12796360,11819952,976407,144030165,500,17858304,0,0,9610875,15463999,-1726715,120,1916779,0,10.59,0.81,62.84,114.60,0,708.38,8.88,1.26,45.80,0.48,3.13,5.63,2.85,5.13,443,8958,21.43,1.06,2.27,12.23,5.34,38.61,16.41,74781304,40529074,34252230,29853571,4398659,10218801,7916235
