구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,2821244997,1159504650,1661740347,0,1568531543,1073229601,495301942,1252713454,5000,4000000,0,0,2395017411,2140151084,254866326,217362032,37504294,9697979,-2721980,184926717,-261461949,77889664,500,1999550,17.41,1.57,-0.11,-21.52,-84.57,적전,0.56,108.04,125.21,0.84,10.64,0.86,2.98,-0.22,1.34,-0.10,2872,188605,20.83,0.32,0.10,1.28,-0.51,46.10,8.13
2010,3632594120,1428496250,2204097871,0,1743609837,1365368000,378241837,1888984283,5000,4000000,0,0,3326245718,2806761484,519484235,234532616,284951619,240428843,190740375,289627194,-252637550,14598413,1750,6998425,5.70,8.57,5.73,0,0,0,4.43,104.62,92.30,1.35,15.62,0,0,0,0,0,30683,308094,4.24,0.42,0.16,1.72,0,7.59,4.65
2011,3845130468,1663280029,2181850439,0,1692487930,1274905083,417582847,2152642538,5000,4000000,0,0,3958138945,3523269626,434869319,95576832,339292487,280812597,234301214,293435963,-202307297,-139960320,1750,6998000,5.42,8.57,5.92,19.00,19.07,22.84,5.81,130.46,78.62,1.41,10.99,1.06,16.79,11.59,9.07,6.27,32265,335714,3.86,0.37,0.13,1.59,10.45,6.33,4.10
2012,4008794418,1608361429,2400432988,0,1823125422,1039845229,783280193,2185668996,5000,4000000,0,0,3698766419,3375059334,323707085,95223095,228483990,186492590,126618021,184579711,-455679767,320303042,1750,6164000,8.37,6.18,3.42,-6.55,-32.66,-45.96,5.08,154.67,83.41,2.12,8.75,0.94,10.53,5.84,5.82,3.22,18407,347850,4.49,0.24,0.09,1.35,6.15,9.90,5.66
2013,3914700975,1712653287,2202047689,0,1732164681,1061378587,670786094,2182536295,5000,4000000,0,0,3662167369,3321579683,340587686,143546274,197041412,156305235,23163452,242731364,-232086331,-64651175,1750,4478700,0,5.38,0.63,-0.99,-13.76,-81.71,4.48,161.36,79.36,1.85,9.30,0.92,9.02,1.06,4.97,0.58,-120,348766,0,0.27,0.10,2.56,4.64,11.22,6.41
2014,4141073291,1952133273,2188940018,0,1824326210,1206757269,617568942,2316747081,5000,4000000,0,0,3896057293,3525080262,370977030,115330793,255646238,235517721,164521941,294600136,-105814639,65243758,1800,7198380,7.39,6.56,4.22,6.39,29.74,610.27,5.97,161.77,78.75,1.11,9.52,0.97,11.36,7.31,6.35,4.08,24345,371647,6.65,0.44,0.17,2.73,6.22,9.36,6.05
2015,5191468774,1879200366,3312268407,0,2403812278,1098398581,1305413696,2787656496,5000,4000000,0,0,4048202083,3622148856,426053227,138501691,287551537,264871682,207073751,500860652,-480705092,-163947449,1750,6998425,6.04,7.10,5.12,3.91,12.48,25.86,5.83,171.09,86.23,1.34,10.52,0.87,11.27,8.11,6.16,4.44,28983,381513,4.52,0.34,0.13,1.75,6.85,10.54,6.43
2016,5177866749,1870522270,3307344480,0,2253717541,1253543088,1000174453,2924149208,5000,4000000,0,0,4034333362,3661451201,372882161,138095897,234786263,203141317,161892655,382509111,-223583582,-221550503,1750,6998425,7.77,5.82,4.01,-0.34,-18.35,-21.82,5.37,149.22,77.07,1.36,9.24,0.78,8.22,5.67,4.53,3.12,22514,429638,5.73,0.30,0.13,1.77,4.96,12.81,6.90
2017,5254771565,2037277123,3217494442,0,2208791945,1211396500,997395445,3045979620,5000,4000000,0,0,4794418482,4362146621,432271861,157696195,274575666,249179316,211120899,264706454,-164089336,-147253233,2000,7998200,5.95,5.73,4.40,18.84,16.95,30.41,6.51,168.18,72.51,1.32,9.02,0.92,9.20,7.07,5.26,4.05,33604,466966,4.52,0.33,0.13,1.78,6.00,11.03,6.29
2018,5453865784,2220607476,3233258307,0,2446572762,1529757516,916815246,3007293022,5000,4000000,0,0,5176889457,4884337052,292552405,175040065,117512340,78304059,64509520,140737275,-130161444,65540266,2500,9997750,30.51,2.27,1.25,7.98,-57.20,-69.44,2.64,145.16,81.35,2.57,5.65,0.97,3.88,2.13,2.19,1.20,8191,484667,11.88,0.20,0.08,1.57,2.44,24.47,8.66
