구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2009,0,0,0,7.87,6.08,3.30,40.88,18.71,1.60,239.64,319.72,0,41.28,0.84,19.30,14.91,6.60,5.10,618,2617,0,0,0,0,20.01,2.18,1.26,402820560,236539181,166281379,134596208,31685171,24482430,24482430,92274041,30110551,-130856525,452421652,270006177,182415475,0,344629219,112672406,231956813,107792433,2500,39566614,0,0
2010,0,560000,1.65,10.40,7.82,0,0,0,2.32,140.29,466.83,0,100.00,0,0,0,0,0,860,2337,0,0,0,0,0,2.90,1.52,434114874,0,434114874,388962364,45152510,28239938,33926124,104432781,-97435809,6105499,533581899,271534688,262047212,0,439448079,193550469,245897610,94133821,2500,33966614,0,0
2011,0,0,0,7.81,5.65,8.56,-18.44,-21.45,3.48,104.41,83.88,0,100.00,0.88,19.06,13.80,6.88,4.98,578,6038,47.38,4.54,2.71,15.97,12.19,35.58,14.58,471296427,0,471296427,434469256,36827171,34091962,26648829,92888676,-116410430,-13346494,537329655,237341379,299988275,0,245117428,227324402,17793026,292212227,2500,47666614,0,0
2012,350,16723000,29.87,11.62,9.81,20.19,78.66,108.55,12.95,153.18,82.66,1.05,100.00,0.96,20.53,17.34,11.20,9.46,1174,7220,28.48,4.63,2.82,13.32,19.84,24.35,12.37,566456120,0,566456120,500659009,65797111,72109190,55575482,170815028,-76320224,-18642390,637337095,297097087,340240009,0,288422585,193952503,94470082,348914510,2500,47780896,0,0
2013,455,21667125,29.55,16.38,11.73,10.05,55.20,31.60,31.78,157.89,66.95,1.54,100.00,0.94,26.96,19.31,15.48,11.09,1533,8589,19.27,3.44,2.27,9.64,26.75,13.87,8.08,623394599,0,623394599,521277253,102117346,99561118,73135341,141281530,-218797450,-22690225,682193637,286841442,395352195,0,273562360,181675658,91886702,408631277,2500,47821966,0,0
2014,350,16647174,30.24,12.13,8.45,4.71,-22.46,-24.58,18.88,114.77,56.41,1.91,100.00,0.96,18.73,13.05,11.60,8.08,1151,9207,15.94,1.99,1.34,6.25,19.52,11.13,5.36,652787112,0,652787112,573610252,79176860,69008887,55162194,140057362,-20888675,-26411383,683008720,260390244,422618476,0,246326480,226878953,19447527,436682240,2500,47821966,0,0
2015,350,16647174,22.89,15.07,11.04,1.25,25.80,32.31,41.79,194.74,44.15,2.02,100.00,0.95,21.42,15.69,14.29,10.47,1521,10388,11.38,1.67,1.25,4.90,21.44,8.35,4.25,660956583,0,660956583,561354788,99601795,97097589,72986740,157762637,-92350292,-35984054,711294113,279480410,431813703,0,217850325,143511441,74338884,493443787,2500,47821966,0,0
2016,415,19738791,28.75,12.12,10.35,0.62,-19.04,-5.65,40.87,233.25,42.35,2.40,100.00,0.89,15.51,13.24,10.83,9.25,1436,11488,12.05,1.51,1.24,4.94,18.93,10.32,4.63,665053007,0,665053007,584415543,80637464,81288540,68863323,155398874,-210480212,-16647176,777948019,352980369,424967650,0,231452006,151328530,80123476,546496013,2500,47821966,0,0
2017,350,16647174,29.01,10.99,8.36,3.12,-6.53,-16.77,37.58,174.54,36.16,2.60,100.00,0.87,13.35,10.15,9.60,7.30,1200,12239,11.21,1.10,0.94,4.11,15.22,8.59,3.71,685821509,0,685821509,610448910,75372599,74927653,57314013,99269320,-81758222,-19738792,792893054,324631175,468261879,0,210550142,185994640,24555502,582342912,2500,47821966,0,0
2018,350,16647174,32.25,9.66,7.53,0.73,-11.46,-9.25,67.04,268.43,22.49,3.04,100.00,0.86,10.69,8.33,8.30,6.47,1079,13984,10.65,0.82,0.80,3.67,12.88,8.31,3.36,690820836,0,690820836,624085847,66734989,68046241,52010216,183474568,-139846271,-77647174,816001170,301738622,514262548,0,149840554,112410508,37430046,666160616,2500,47821966,0,0
