구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,583452286,33886482,549565804,0,84986376,33774176,51212200,498465910,5000,1328000,0,0,107660512,99679114,7981398,5762576,2218822,51695923,44246505,3688515,6168716,-9046741,750,842479,0,41.10,-2.87,-61.40,116.78,2.70,100.33,17.05,0.71,7.41,0.19,0.46,9.15,0.39,7.75,33318,383703,3.17,0.27,1.30,2.90,7.63,71.70,25.37
2017,558937149,31937822,526999327,0,90095297,40574234,49521063,468841852,5000,1328000,0,0,110839358,98123039,12716319,6967707,5748612,22724295,20411062,5519970,3491666,-9383757,825,926727,0,18.41,5.94,흑전,33.08,5.24,78.71,19.22,0.72,11.47,0.21,1.32,4.70,1.10,3.92,15370,361395,7.45,0.32,1.37,5.79,15.87,31.17,15.46
2016,483677417,27675779,456001638,0,83321757,53999362,29322395,400355660,5000,1328000,0,0,104629274,98901474,5727799,7713313,-1985514,17986151,15337504,15724476,3301447,-17788652,0,0,0,14.66,-22.70,적지,흑전,0,51.25,20.81,0,5.47,0.21,-0.49,3.77,-0.40,3.07,11549,309825,9.05,0.34,1.33,6.34,-3.87,0,38.06
2015,516448518,34985495,481463023,0,102736420,63758386,38978033,413712098,5000,1328000,0,0,135360924,134700792,660131,13503990,-12843859,-18137996,-15624199,-4987873,-149314,5274558,0,0,0,-11.54,-5.42,적지,적지,0,54.87,24.83,0,0.49,0.26,-3.11,-3.78,-2.47,-3.00,-11765,319882,0,0.31,0.98,0,-18.84,0,119.04
2014,523871826,45787481,478084344,0,110932033,74216345,36715689,412939792,5000,1328000,0,0,143115506,156076769,-12961263,11357998,-24319260,-14182064,-14619596,4756026,5434536,-10270598,0,0,0,-10.22,-33.87,적지,적전,0,61.69,26.86,0,-9.06,0.28,-6.00,-3.61,-4.73,-2.85,-11009,319301,0,0.23,0.68,0,-28.15,0,0
2013,503634565,57617246,446017319,0,105550912,82419836,23131076,398083652,5000,1328000,0,0,216414071,213073802,3340269,8892142,-5551873,6461415,5026262,-20743204,4067023,16766209,750,842479,0,2.32,-37.25,적지,10.55,0,69.91,26.51,1.23,1.54,0.44,-1.46,1.32,-1.13,1.02,3785,308114,16.12,0.20,0.37,4.19,-4.05,0,15.42
2012,477260397,65841893,411418504,0,115123903,68518722,46605181,362136494,5000,1328000,0,0,344891578,342342877,2548701,10373344,-7824643,6447465,4546605,19151297,3102360,-23145572,750,842000,0,1.32,47.07,적전,-62.75,0,96.09,31.79,1.19,0.74,0.73,-2.20,1.28,-1.66,0.96,3424,281045,18.37,0.22,0.24,4.48,-4.65,0,18.93
2011,467635475,63791379,403844096,0,118944887,62099748,56845139,348690588,5000,1328000,0,0,234501726,218166432,16335294,9044902,7290392,13313312,12204278,1777195,-46662195,44593574,750,842000,0,5.20,33.41,-58.42,-23.36,5.34,102.72,34.11,1.00,6.97,0.54,2.12,3.55,1.69,2.82,9190,270920,8.19,0.28,0.43,4.68,6.19,21.52,9.54
2010,397124978,39033352,358091626,0,57831310,47680028,10151282,339293669,5000,1328000,0,0,175768976,151679458,24089517,6556843,17532674,19560519,15924199,17862144,-3134552,-13495444,750,842479,0,9.06,0,0,0,14.31,81.87,17.04,0.85,13.71,0,0,0,0,0,11991,263844,7.38,0.34,0.67,5.31,0,7.43,5.48
2009,370027889,28286544,341741345,0,52426011,47465050,4960961,317601877,5000,1328000,0,0,144995461,125523033,19472428,5742514,13729914,13181732,11058082,19988746,-17922758,-12583015,750,842479,0,7.63,9.05,15.63,8.70,16.60,59.59,16.51,1.15,13.43,0.40,4.41,3.55,3.75,3.02,8327,247510,7.82,0.26,0.60,6.11,7.60,7.81,6.37
