구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,290208706,212851868,77356838,0,127297775,120956541,6341234,162910930,500,8000000,0,0,500,3840000,6.59,15.75,11.23,114.17,217.92,94.49,28.54,175.97,78.14,1.03,20.80,2.18,62.38,44.50,34.36,24.51,7286,21195,6.66,2.29,0.75,5.52,46.32,4.75,4.14,518879431,410952039,107927392,26217016,81710377,75874097,58289177,33834282,-32828411,-8049401
2010,313099034,187777592,125321442,0,126193228,118563376,7629852,186905806,500,16000000,0,0,250,3880000,29.78,6.94,3.71,0,0,0,11.19,158.38,67.52,1.14,12.66,0,0,0,0,0,814,12143,26.89,1.80,1.00,14.82,0,14.39,10.02,351076272,306618466,44457806,20103814,24353992,18016533,13030613,70558537,-84953209,14631021
2011,366215887,199810351,166405537,0,170607131,139364988,31242143,195608756,500,16000000,0,0,0,0,0,3.19,3.16,-10.01,-58.56,-23.34,4.26,143.37,87.22,0,11.69,0.93,5.28,5.22,2.97,2.94,624,12687,13.92,0.68,0.44,6.54,3.51,15.97,7.54,315935984,278993506,36942478,26850537,10091941,15768140,9989673,43930898,-60595138,30294594
2012,404287963,219846346,184441617,0,215937288,173005131,42932157,188350675,500,16000000,0,0,0,0,0,2.16,-0.90,12.65,-23.91,적전,1.77,127.08,114.65,0,9.88,0.92,4.00,-1.67,1.99,-0.83,-200,12233,0,1.18,0.65,25.30,-3.81,34.66,13.30,355916718,320741014,35175703,27496289,7679414,3042823,-3197749,19602277,5540176,17135900
2013,444121495,247886326,196235169,0,198790870,168259892,30530978,245330625,500,16000000,0,0,370,5742400,9.88,8.11,6.94,131.57,770.48,흑전,12.93,147.32,81.03,1.46,13.49,1.94,30.83,26.39,15.76,13.49,3633,15740,6.96,1.61,0.49,5.19,24.54,6.07,4.68,824185940,712966590,111219350,44371572,66847778,68418572,57223313,65503166,-98641491,4692813
2014,576287266,361927141,214360126,0,309893869,292238488,17655381,266393397,500,16000000,0,0,500,7760000,29.64,5.94,4.22,-28.41,-47.60,-56.44,9.99,123.85,116.33,1.19,12.78,1.16,13.69,9.74,6.87,4.89,1636,17135,25.64,2.45,1.14,14.09,10.91,19.15,11.87,590031014,514612753,75418260,40387645,35030615,35965120,24927919,94818971,-779534,-25706479
2015,455395701,197792908,257602793,0,173549584,167237827,6311757,281846117,500,20000000,0,0,300,5854540,28.06,4.22,2.70,25.07,-11.02,-19.99,10.13,118.27,61.58,1.78,9.26,1.43,11.37,7.28,6.04,3.87,1043,14534,16.20,1.16,0.46,7.18,8.14,11.02,5.99,737937555,669580077,68357478,37187170,31170308,31576812,19944589,25547466,-28824253,-25080792
2016,414589389,188983178,225606211,0,163744220,158876599,4867621,250845169,500,20000000,0,0,50,962500,0,-4.06,-4.89,-48.74,적전,적전,0,118.95,65.28,0.37,3.67,0.87,-5.76,-6.95,-3.53,-4.25,-899,13127,0,1.03,0.72,24.51,-6.12,0,19.76,378235181,364340324,13894857,29236823,-15341966,-18106396,-18503491,32672362,-53625196,-10745938
2017,320081206,141261048,178820158,0,111521944,94704583,16817362,208559262,500,20000000,0,0,0,0,0,-8.96,-10.74,-7.17,적지,적지,0,149.16,53.47,0,-1.95,0.96,-13.69,-16.41,-8.56,-10.26,-1877,11181,0,1.26,0.80,0,-15.66,0,0,351126827,357958507,-6831680,24622393,-31454072,-36885325,-37703594,-6697901,31849014,-20752724
2018,298635096,141621065,157014031,0,124237325,89142090,35095235,174397771,500,20350017,0,0,0,0,0,-9.00,-19.17,-41.91,적지,적지,0,158.87,71.24,0,3.34,0.66,-9.59,-20.42,-5.93,-12.64,-1915,9317,0,0.88,0.82,0,-10.38,0,0,203983923,197164031,6819892,25176883,-18356991,-39561099,-39098140,-12914979,-19135096,21260188
