구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,106320975,63975251,42345724,0,27233449,26034092,1199357,79087526,500,9003740,0,0,107311222,86646381,20664841,9330120,11334721,11487308,9151951,7443528,-12223336,18580986,200,1590222,0,8.53,32.72,14.52,15.08,0,245.74,34.43,1.26,19.26,1.20,17.25,13.93,12.73,10.28,1178,8766,13.45,1.81,1.19,11.33,27.02,12.60,10.90
2017,71798441,45605431,26193009,0,19460356,18659748,800609,52338084,500,7647940,0,0,80853618,63820228,17033390,7135790,9897600,9557236,7952555,10624708,-5287731,-909842,0,0,0,9.84,4.83,-3.66,-13.52,0,244.41,37.18,0,21.07,1.23,20.39,16.38,15.00,12.05,1061,6783,0,0,0,0,30.80,0.05,0.04
2016,60206630,40435523,19771107,0,15448738,14607004,841734,44757892,500,7634940,0,0,77125931,61472382,15653550,5380023,10273527,10904830,9196314,7377584,-3946902,-1225241,0,1145241,0,11.92,-6.79,-8.40,-4.90,17122.54,276.82,34.52,0,20.30,1.32,25.35,22.69,17.65,15.80,1205,5844,0,0,0,0,38.67,0.01,0.01
2015,56236772,38824276,17412495,0,19929035,18943612,985423,36307737,500,7634940,0,0,82743859,65313061,17430798,6215762,11215035,11516649,9670365,8717105,-2265692,1278171,0,1145241,0,11.69,23.25,89.62,90.85,145.29,204.95,54.89,0,21.07,1.72,36.79,31.72,23.34,20.13,1267,4755,0,0,0,0,51.82,0.00,0.00
2014,39846153,24106198,15739955,0,15181692,14011832,1169860,24664460,500,7451607,0,0,67134249,55788389,11345859,5431486,5914373,6170975,5066931,5310125,-1880164,-205583,0,745161,0,7.55,37.79,88.79,60.26,564.03,172.04,61.55,0,16.90,1.86,26.48,22.68,16.35,14.01,681,3310,0,0,0,0,30.35,0.00,0.00
2013,32479005,18032368,14446637,0,12471354,11609796,861558,20007651,500,7365400,0,0,48722141,40681584,8040557,4907733,3132824,3296543,3161789,2996337,-5012868,-1585638,0,545040,0,6.49,12.83,-6.64,-3.37,13.68,155.32,62.33,0,16.50,1.50,17.62,17.79,9.67,9.76,429,2716,0,0,0,0,23.47,0.00,0.00
2012,32331567,22330217,10001350,0,16788914,14237675,2551240,15542653,5000,454666,0,0,43180121,35839024,7341097,3985314,3355783,3371491,3272113,5229420,-294450,1499832,0,0,0,7.58,0,0,0,47.32,156.84,108.02,0,17.00,0,0,0,0,0,7169,31653,0,0,0,0,0,0.00,0.00
2011,25023730,14592160,10431571,0,12256747,11448262,808485,12766983,5000,454666,0,0,40322380,34957578,5364802,3372151,1992651,1886057,1886057,1179802,-931424,-1644083,0,0,0,4.68,191.75,흑전,흑전,10.93,127.46,96.00,0,13.30,1.65,16.85,15.95,8.17,7.74,4148,28080,0,0,0,0,16.96,0.00,0.00
2010,23734154,13302859,10431295,0,12853228,9890921,2962307,10880926,5000,454666,0,0,13820764,12812560,1008204,1281889,-273685,-202771,-35690,1071944,-48129,-71640,0,0,0,-0.26,9636.09,적지,적전,0,134.50,118.13,0,7.29,0.74,-2.80,-0.37,-1.46,-0.19,-79,23932,0,0,0,0,-0.90,0,0.69
2009,13756000,858490,12897510,0,5098259,298406,4799853,8657741,5000,382000,0,0,141954,139516,2438,174476,-172038,616584,460700,-356696,-11677637,12088939,0,0,0,324.54,0,0,0,0,287.69,58.89,0,1.72,0,0,0,0,0,1323,22664,0,0,0,0,0,0,0
