구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,217778275,121677792,96100483,0,131622574,73326869,58295705,86155702,500,57400184,0,0,163353950,133832711,29521240,6152327,23368913,14891599,10678325,59442872,-28100698,-1283690,0,0,0,14.31,6.54,-29.30,-48.83,-31.51,3.48,165.94,152.77,0,18.07,0.73,28.71,13.12,10.41,4.75,494,3989,0,0,0,0,9.79,3.43,2.80
2010,225085477,108038585,117046892,0,180757610,139379938,41377673,44327867,500,57400184,0,0,166074219,184339398,-18265179,10993723,-29258902,-37770441,-36455948,-22202815,-11534521,5737150,0,0,0,-17.62,-21.95,0,0,0,0,77.51,407.77,0,-11.00,0,0,0,0,0,-1688,2052,0,0,0,0,0,0,0
2011,419833854,160418318,259415537,0,345616555,223012018,122604537,74217299,500,103424752,0,0,265498779,276559983,-11061203,8151005,-19212209,-45619730,-42612246,-66659260,-144996287,210993393,0,0,0,-7.24,-16.05,59.87,적지,적지,0,71.93,465.68,0,-4.17,0.82,-32.41,-71.89,-5.96,-13.21,-1973,3436,0,0,0,0,-7.44,0,0
2012,533390408,206736398,326654010,0,458648471,296045338,162603133,74741937,500,103424752,0,0,324624889,304459483,20165407,17491262,2674145,1115833,732823,-16206359,-72977052,86081040,0,0,0,0.82,0.23,22.27,흑전,흑전,0.18,69.83,613.64,0,6.21,0.68,3.59,0.98,0.56,0.15,34,3460,0,0,0,0,0.47,126.74,41.80
2013,469738950,120057683,349681267,0,338660658,191694787,146965871,131078291,500,150091418,0,0,214479114,203466099,11013015,13947569,-2934554,-20609352,-18928566,27168575,-22086102,-4529609,0,0,0,-1.37,-8.83,-33.93,적전,적전,0,62.63,258.37,0,5.13,0.43,-2.85,-18.39,-0.59,-3.77,-876,6068,0,0,0,0,-0.66,0,49.26
2014,566814112,214565715,352248397,0,460444183,451034971,9409211,106369930,500,150091418,0,0,321132097,299779778,21352320,19345546,2006774,-11853455,-11881719,-23537544,-12312122,37721061,0,0,0,0.62,-3.70,49.73,흑전,적지,0.13,47.57,432.87,0,6.65,0.62,1.69,-10.01,0.39,-2.29,-550,4925,0,0.43,0.14,0,0.49,244.12,42.96
2015,597044712,252941894,344102818,0,537901141,535817169,2083973,59143571,500,150091518,0,0,478724949,461923791,16801157,45188342,-28387185,-47476860,-47476860,14018510,-9693417,-5787835,0,0,0,-5.93,-9.92,49.07,적전,적지,0,47.21,909.48,0,3.51,0.82,-34.30,-57.37,-4.88,-8.16,-2198,2738,0,0.62,0.08,0,-7.17,0,0
2016,467715343,133444214,334271129,0,302261191,300377930,1883262,165454152,500,250091418,0,0,314504249,292054464,22449785,7655647,14794138,2960213,2159815,49160642,-9175376,-38965068,0,0,0,4.70,0.69,-34.30,흑전,흑전,1.21,44.43,182.69,0,7.14,0.59,13.17,1.92,2.78,0.41,100,7660,13.00,0.17,0.09,2.27,3.08,27.12,16.03
2017,409928858,84080400,325848458,0,227830165,226227769,1602396,182098692,500,250091418,0,0,182576062,153424441,29151621,8764038,20387583,9518836,10881374,32388208,5602193,-27872000,0,0,0,11.17,5.96,-41.95,37.81,403.81,2.45,37.17,125.11,0,15.97,0.42,11.73,6.26,4.65,2.48,504,8431,1.79,0.11,0.11,0.93,7.42,14.41,9.65
2018,407330524,90196958,317133566,0,225639540,195605260,30034280,181690984,500,250091418,0,0,142668591,125051192,17617399,6460959,11156441,3314206,3514982,-12215502,-1163977,12893611,0,0,0,7.82,2.46,-21.86,-45.28,-67.70,1.54,46.11,124.19,0,12.35,0.35,6.13,1.93,2.73,0.86,163,8412,7.99,0.15,0.20,2.10,3.92,34.46,18.29
