구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
1994,255947702,151364380,104583322,0,242941513,148983072,93958441,13006189,5000,3600000,0,0,147048020,147315967,-267947,12483818,-12751765,-22764212,-25266134,-38591812,-3238209,45899388,0,0,0,-8.67,-17.18,43.41,적전,적지,0,101.60,1867.89,0,-0.18,0.64,-67.42,-133.58,-5.57,-11.04,-7132,3613,0,4.26,0.37,0,-9.23,0,0
1995,244137383,144420368,99717015,0,253176155,159613180,93562975,-9038772,5000,3600000,0,0,159465714,145405808,14059906,12460194,1599712,-21599489,-21694400,-24129329,1474591,17844479,0,0,0,1.00,-13.60,8.44,흑전,적지,0.07,90.48,완전잠식,0,8.82,0.64,80.64,-1093.63,0.64,-8.68,-6026,-2511,0,0,0.26,0,0.97,142.62,33.80
1996,239319962,144332917,94987045,0,260928814,174062656,86866158,-21608852,5000,3600000,0,0,161273630,134551409,26722221,12681417,14040804,-11643969,-11643969,-1756036,-2781731,5691856,0,0,0,8.71,-7.22,1.13,777.71,적지,0.60,82.92,완전잠식,0,16.57,0.67,완전잠식,완전잠식,5.81,-4.82,-3234,-6002,0,0,0.14,0,8.55,15.27,11.23
1997,275613856,195445191,80168665,0,274873344,215097172,59776172,740512,5000,6100000,0,0,194401224,160702239,33698985,15784871,17914114,1966707,1966707,-4943705,-3662271,18437313,0,0,0,9.22,1.01,20.54,27.59,흑전,0.70,90.86,37119.36,0,17.33,0.76,완전잠식,완전잠식,6.96,0.76,322,121,11.48,30.48,0.12,3.37,10.55,11.57,9.16
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
