구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,526619,170090,356529,0,254539,214539,40000,272080,10000,22000,0,0,86078,-225224,136856,0,0,0,4.94,1.88,0,0,0,1.81,79.28,93.55,0,86.29,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0.61,517743,70975,446768,421213,25555,11339,9733
2013,918591,220807,697784,0,562045,509235,52810,356545,10000,22000,0,0,148867,-426391,277365,0,0,0,18.46,13.61,19.90,348.51,767.82,5.97,43.36,157.64,0,82.45,0.86,36.47,26.87,15.86,11.69,0,0,0,0,0,0,21.13,2.41,1.75,620796,108957,511839,397222,114617,95562,84465
2014,2058637,190116,1868520,0,1565298,1507848,57450,493339,10000,28000,0,0,-8900,-1051036,1060119,0,0,0,20.85,11.92,3.81,17.26,-9.08,2.84,12.61,317.29,0,39.30,0.43,31.63,18.07,9.03,5.16,0,0,0,0,0,0,9.41,10.50,8.12,644473,391175,253298,118895,134403,86478,76793
2015,2408354,510526,1897827,0,1709150,1079837,629313,699204,100,4000000,0,0,168223,-281059,143730,0,0,0,7.03,5.41,174.45,-7.47,24.58,1.80,47.28,244.44,0,21.25,0.79,20.86,16.04,5.57,4.28,0,0,0,0,0,0,3.98,9.56,7.69,1768728,1392931,375798,251430,124368,181109,95665
2016,3485027,2097990,1387037,0,2309911,1891318,418593,1175117,100,8608940,0,0,-1590022,493874,1069598,0,0,0,13.12,1.98,-64.88,-34.49,-87.14,1.38,110.93,196.57,0,35.08,0.21,8.69,1.31,2.76,0.42,0,0,0,0,0,0,2.27,21.49,17.41,621125,403235,217890,136422,81468,21649,12304
2017,5956668,3498657,2458010,0,4632169,1093543,3538627,1324498,100,10039389,0,0,-1298454,-994193,2289986,0,0,0,14.51,11.08,50.84,66.91,743.47,1.44,319.94,349.73,0,34.31,0.20,10.88,8.30,2.88,2.20,0,0,0,0,0,0,3.70,25.60,21.90,936876,615388,321487,185509,135978,109396,103781
2018,6362231,3535633,2826598,0,5049474,318044,4731430,1312757,100,10039387,0,0,-138781,-401952,535042,0,0,0,18.91,2.81,-30.20,-9.04,-82.29,0.98,1111.68,384.65,0,48.20,0.11,9.38,1.39,2.01,0.30,0,0,0,0,0,0,3.10,18.10,15.12,653893,338733,315159,191476,123683,21626,18377
