구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,2866989372,1265648094,1601341278,0,1969299347,1360479192,608820155,897690025,5000,17131823,0,0,159879915,-232880012,218953262,350,5995228,8.48,3.20,2.65,0,0,0,2.71,93.03,219.37,0.35,11.84,0,0,0,0,0,4847,52861,20.44,1.87,0.59,6.99,0,30.09,11.02,2457656177,2166728114,290928063,212398459,78529604,10877495,65216903
2010,4133860414,1502881266,2630979148,0,2663877745,1222262809,1441614936,1469982669,5000,20126976,0,0,45950682,-1131693252,1025763712,350,7043532,3.60,3.73,4.77,66.97,95.04,200.28,2.53,122.96,181.22,0.26,12.56,1.17,12.94,16.54,4.38,5.59,10240,73048,13.09,1.83,0.62,5.34,8.07,26.49,9.29,4103476715,3588117648,515359067,362197948,153161119,108676627,195831340
2011,4409966704,1735938772,2674027932,0,3085126396,1473820290,1611306105,1324840308,5000,20159043,0,0,291213015,-679682068,578519792,0,0,0,-0.99,-3.19,10.95,적전,적전,0,117.78,232.87,0,8.63,1.07,-3.23,-10.40,-1.06,-3.40,-7211,65733,0,1.03,0.30,5.00,-1.27,0,8.42,4553009462,4160213717,392795745,437867222,-45071477,-174472581,-145374519
2012,4886285404,2073033168,2813252237,0,3617978658,2009224805,1608753853,1268306746,5000,20170754,0,0,380562772,-382582788,-78985102,0,0,0,1.45,-0.47,16.76,흑전,적지,0.71,103.18,285.26,0,10.57,1.14,5.96,-1.92,1.66,-0.54,-1237,62892,0,1.31,0.31,3.72,3.60,44.86,6.32,5315958099,4754207132,561750968,484425513,77325455,-17500563,-24942625
2013,4581270749,2006841235,2574429514,0,3264370902,1629363724,1635007179,1316899847,5000,20170939,0,0,435573633,-404953065,16384319,0,0,0,2.19,0.25,16.85,76.07,흑전,1.33,123.17,247.88,0,11.11,1.31,10.53,1.20,2.88,0.33,770,65303,108.63,1.28,0.27,3.10,3.15,25.31,5.18,6211515631,5521547017,689968614,553818541,136150073,22018304,15541927
2014,4428761037,2082013467,2346747569,0,2732270963,1646619320,1085651643,1696490074,5000,23667107,0,0,743026684,-308829545,-440155097,250,5916127,5.25,4.86,1.74,4.10,130.60,624.99,4.07,126.44,161.05,0.22,13.34,1.44,20.84,7.48,6.97,2.50,4761,71695,23.63,1.57,0.41,4.11,6.39,11.87,4.39,6466119296,5603253748,862865548,548906722,313958826,191574272,112676677
2015,3914337673,1788890417,2125447256,0,2149282679,1295457184,853825496,1765054994,5000,23667107,0,0,678363246,-306247067,-408463178,350,8282577,8.71,3.64,1.55,-5.07,-28.75,-15.61,4.84,138.09,121.77,0.36,12.59,1.47,12.92,5.49,5.36,2.28,4018,74592,24.52,1.32,0.38,4.04,6.76,13.56,4.29,6138128791,5365434744,772694047,549008985,223685062,122108512,95091926
2016,4323719058,2084430551,2239288507,0,2545243040,1733744759,811498282,1778476017,5000,23667107,0,0,331792630,-355896772,6472692,250,5916127,119.45,1.82,0.09,-6.25,-53.14,-94.79,2.94,120.23,143.11,0.28,11.34,1.40,5.92,0.28,2.54,0.12,209,75159,422.41,1.18,0.36,5.88,1.98,27.01,6.21,5754565529,5102189608,652375921,547549923,104825998,10676625,4952970
2017,5877488987,2734483836,3143005150,0,3926706309,2497247026,1429459283,1950782678,5000,23667107,0,0,445980001,-834401519,422489420,250,5916127,3.38,3.88,2.29,32.79,182.84,3428.76,8.91,109.50,201.29,0.17,11.58,1.50,15.90,9.37,5.81,3.43,7385,82439,19.50,1.75,0.45,6.43,7.87,15.32,6.97,7641360524,6756693029,884667495,588176178,296491317,238704057,174778426
2018,5756067241,2233328061,3522739180,0,3637832042,1584398430,2053433612,2118235199,5000,23667107,0,0,1062343412,-1414462263,603612384,300,7099352,4.35,3.30,2.04,4.46,-11.12,-6.68,4.85,140.96,171.74,0.35,10.82,1.37,12.95,8.02,4.53,2.80,6891,89515,12.54,0.97,0.26,3.00,7.18,13.47,4.54,7982103643,7118168181,863935462,600418052,263517410,184015107,163100029
