구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,65743049,35299510,30443539,0,10220513,7220513,3000000,55522536,500,11270000,0,0,7528269,-2419287,-7548165,180,1936836,0,14.65,24.92,121.45,123.21,64.98,488.88,18.41,2.31,35.60,0.94,21.66,16.99,17.63,13.82,788,5306,9.88,1.47,1.45,8.27,18.14,7.75,6.72,60587708,39018738,21568970,10248881,11320090,11068575,8875571
2017,62710014,31957772,30752242,0,13727113,13604663,122450,48982901,500,11270000,0,0,7692275,-2128485,43764,180,1936836,0,8.20,9.47,-37.86,-40.91,25.39,234.90,28.02,2.10,27.86,0.79,10.65,8.29,8.31,6.46,353,4716,24.35,1.82,2.00,16.61,8.27,19.09,14.01,48502603,34992153,13510451,8398708,5111742,4991230,3976336
2016,60366478,30259348,30107130,0,13391532,13249682,141850,46974946,500,11270000,0,0,1173827,-4097145,-553094,180,1936836,0,15.19,14.55,28.02,23.29,48.01,228.38,28.51,2.25,34.81,0.76,18.05,14.77,14.19,11.60,597,4537,13.40,1.76,2.03,10.28,14.44,11.45,9.17,44306664,28883017,15423646,7197564,8226083,8297313,6729408
2015,55610968,25184287,30426681,0,11443486,11130812,312674,44167483,500,11270000,0,0,9745610,-1075765,-4743842,130,1434654,0,14.11,-1.24,94.11,65.06,23.46,226.26,25.91,1.30,35.15,0.69,15.21,12.92,11.49,9.76,484,4067,20.63,2.46,2.91,14.06,11.61,17.52,12.54,38679755,25084271,13595484,7169737,6425747,6831602,5458343
2014,56195856,23936172,32259684,0,15856934,14716325,1140609,40338922,500,11130000,0,0,5686033,-1949351,-2765960,90,1018982,0,8.44,17.78,37.56,44.32,7.34,162.65,39.31,1.28,28.29,0.71,8.50,8.49,6.00,5.99,293,3612,24.03,1.95,2.03,12.31,6.35,25.86,13.26,39165387,28084851,11080537,7770091,3310446,3663687,3306976
2013,54223309,19580883,34642426,0,16629857,13305601,3324256,37593451,500,11270000,0,0,1864978,-278463,-1733696,75,840900,0,6.89,10.73,7.39,21.79,4.30,147.16,44.24,0.81,28.58,0.62,6.77,6.45,4.49,4.27,208,3350,44.37,2.75,3.06,19.08,4.91,46.97,20.76,33252081,23748341,9503741,7097174,2406567,2367422,2291430
2012,53005558,18159058,34846500,0,19546530,12831871,6714659,33459028,500,11000000,0,0,3456902,-3350770,-444400,50,517000,0,6.27,11.87,58.88,29.48,3.18,141.52,58.42,1.89,29.63,0.57,6.83,5.73,4.27,3.58,171,3210,15.49,0.83,0.97,6.33,5.03,19.59,8.84,30028762,21129804,8898958,6657925,2241033,1806868,1881512
2011,51991277,21209204,30782072,0,19816511,11010495,8806016,32174766,500,11000000,0,0,-1378011,-218622,1025679,50,517000,0,5.41,-6.69,-54.25,-44.61,1.86,192.63,61.59,2.17,29.11,0.53,4.39,4.52,2.78,2.86,132,3093,17.41,0.74,0.94,6.28,3.42,28.40,10.05,26841468,19027131,7814338,6403785,1410552,1390753,1453099
2010,49467366,19111220,30356146,0,17358648,7641538,9717110,32108718,500,11000000,0,0,3261657,-2838905,-1612260,50,530000,0,9.12,16.58,-12.89,-19.50,3.71,250.10,54.06,1.12,34.38,0.58,9.93,8.44,6.25,5.32,238,3009,18.66,1.48,1.70,10.10,8.19,18.87,10.96,28766034,18877387,9888647,6805197,3083450,2530112,2623192
2009,49208451,21701974,27506477,0,19192924,6236334,12956590,30015527,500,11000000,0,0,3037188,-1422097,864400,50,530000,0,13.21,0,0,0,4.27,347.99,63.94,1.25,42.70,0,0,0,0,0,296,2729,13.45,1.46,1.78,9.14,0,14.83,10.34,24674185,14139254,10534931,6995305,3539626,3416060,3258618
