구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,70083719,27150411,42933308,0,23453722,20146525,3307197,46629998,500,9054055,0,0,39516946,29758157,9758788,2566666,7192123,6250663,5421555,7751497,-5295166,-1124570,85,739667,0,13.72,3.56,33.92,-7.48,19.97,134.76,50.30,2.10,24.70,0.56,16.12,12.15,10.13,7.64,593,5165,6.83,0.78,0.93,5.18,19.95,5.25,4.24
2017,71859798,31734175,40125623,0,29273251,25222989,4050262,42586547,500,8800586,0,0,38160324,30327101,7833223,2462564,5370659,6889055,5859635,6642262,-5899496,-38306,65,549183,0,15.36,30.78,96.93,70.79,16.14,125.81,68.74,1.56,20.53,0.57,13.62,14.86,8.00,8.73,659,4857,6.31,0.86,0.96,4.82,14.77,7.08,5.31
2016,62342911,22428742,39914169,0,26064771,20861465,5203306,36278140,500,8360090,0,0,29179541,24066016,5113525,2386330,2727195,4016343,3430933,3315704,1693241,-528975,28,220248,0,11.76,4.92,104.64,11976.90,7.82,107.51,71.85,0.74,17.52,0.49,7.92,9.96,4.60,5.78,412,4368,9.21,0.87,1.09,5.72,7.20,12.34,6.97
2015,56320285,15923355,40396930,0,23710920,19346299,4364621,32609366,500,7978687,0,0,27812143,24404092,3408051,2075393,1332658,-218341,28409,2087216,-1867214,-1000645,25,190702,0,0.10,19.82,114.94,흑전,3.25,82.31,72.71,0.83,12.25,0.49,4.05,0.09,2.33,0.05,2,4115,1403.14,0.74,0.87,9.93,-0.51,22.03,7.83
2014,58091719,15563563,42528155,0,24872354,20742015,4130340,33219364,500,7615429,0,0,23211829,20668710,2543118,1923103,620015,-1699793,-1149653,1649285,-1431701,109494,25,181629,0,-4.95,-5.55,2.40,적전,0.92,75.03,74.87,1.38,10.96,0.39,1.83,-3.39,1.05,-1.94,-152,4391,0,0.41,0.59,11.69,1.22,30.09,6.31
2013,60260878,17688291,42572587,0,25635605,21245302,4390303,34625273,500,7269454,0,0,24575341,22154346,2420995,1815536,605459,1208794,672747,2724512,3654090,-4640226,50,345976,0,2.74,11.93,흑전,480.21,0.73,83.26,74.04,1.85,9.85,0.44,2.04,2.26,1.08,1.20,93,4794,29.18,0.56,0.80,6.50,1.07,39.56,8.12
2012,51937710,20444978,31492731,0,27071852,23693124,3378728,24865858,500,6939936,0,0,21955311,20202268,1753042,1899264,-146221,112042,115949,939345,-3314169,1555817,45,296000,0,0.53,3.14,적지,-96.80,0,86.29,108.87,2.47,7.98,0.43,-0.58,0.46,-0.29,0.23,18,3611,99.56,0.51,0.58,4.91,-0.50,0,9.56
2011,50186314,13553938,36632376,0,24888651,15532992,9355659,25297663,500,6747975,0,0,21286792,19693779,1593013,2344734,-751721,4376605,3626711,1495646,-1293884,-316784,90,575000,0,17.04,-8.97,적전,385.62,0,87.26,98.38,5.81,7.48,0.43,-3.16,15.24,-1.53,7.38,542,3776,2.86,0.41,0.49,1.69,-1.93,0,11.44
2010,48150252,9229752,38920500,0,25842287,16518548,9323739,22307965,500,6555478,0,0,23384507,20544095,2840412,2038127,802285,576147,746818,3385452,-7729581,5037675,65,417077,0,3.19,0,0,0,1.00,55.88,115.84,3.98,12.15,0,0,0,0,0,111,3378,14.71,0.48,0.46,3.65,0,33.07,8.81
2009,58559743,17977471,40582272,0,34449337,24540867,9908470,24110406,500,6245254,0,0,36855933,32597193,4258740,3311140,947600,730278,599751,22619,-3422584,2280671,25,155112,0,1.63,-1.33,-2.19,흑전,0.69,73.26,142.88,1.26,11.56,0.64,3.98,2.52,1.65,1.04,66,2998,29.94,0.66,0.34,2.86,1.93,40.99,7.98
