구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,35241519,20822947,14418572,0,2902802,2215671,687132,32338717,500,8270730,0,0,20822965,17611312,3211652,3119808,91844,522781,118521,3512627,1452896,-1513425,0,0,0,0.44,0.57,17.53,-97.47,-91.19,0,939.80,8.98,0,15.42,0.63,0.30,0.39,0.28,0.36,132,3931,20.27,0.68,1.04,5.96,0.11,273.88,9.44
2010,37926229,24497040,13429190,0,4722269,4356044,366225,33203960,500,8278230,0,0,25237174,17035041,8202133,2383156,5818977,6042183,4713970,-261081,-2423337,-257112,0,0,0,23.06,18.68,0,0,0,14055.50,562.37,14.22,0,32.50,0,0,0,0,0,570,4479,8.53,1.09,1.59,6.15,0,6.91,5.26
2011,41462650,25567059,15895591,0,4284186,3465329,818857,37178464,500,8278230,0,0,27156007,19158034,7997973,3485911,4512062,5166578,4363818,5423855,-3841456,-1538111,0,0,0,16.62,16.07,7.60,-22.46,-7.43,319.64,737.80,11.52,0,29.45,0.68,12.82,12.40,11.37,10.99,527,5046,8.71,0.91,1.40,7.30,18.76,8.42,7.10
2012,48920571,29031218,19889353,0,4394014,3318108,1075906,44526558,500,8278230,0,0,26704126,20837099,5867028,3264001,2603027,2411173,2023806,3691256,-6738084,5166888,0,0,0,9.75,7.58,-1.66,-42.31,-53.62,189.17,874.93,9.87,0,21.97,0.59,6.37,4.95,5.76,4.48,244,5379,24.54,1.12,1.86,15.57,9.13,19.08,13.18
2013,53599411,31560617,22038795,0,5346698,4466251,880447,48252713,500,8278230,0,0,25635539,17935440,7700099,3988381,3711718,4195942,3720560,6185364,-5330817,970100,50,413912,11.12,14.48,14.51,-4.00,42.59,83.84,321.68,706.65,11.08,0.85,30.04,0.50,8.00,8.02,7.24,7.26,449,5829,13.08,1.01,1.90,8.71,12.33,13.11,8.72
2014,56888043,34917018,21971025,0,5881036,5046955,834081,51007007,500,8278230,0,0,24217429,16090105,8127324,4647286,3480038,3778513,3185609,4343368,-4794565,492472,0,0,0,14.37,13.15,-5.53,-6.24,-14.38,307.44,691.84,11.53,0,33.56,0.44,7.01,6.42,6.30,5.77,385,6170,12.94,0.81,1.70,8.09,10.40,11.85,7.64
2015,55734972,32385505,23349467,0,3531627,3075821,455807,52203345,500,8278230,0,0,25495219,18979980,6515238,5112808,1402431,1594293,1385003,3623098,-4320746,827240,50,412449,29.78,5.50,5.43,5.28,-59.70,-56.52,165.31,1052.91,6.77,0.79,25.55,0.45,2.72,2.68,2.49,2.46,167,6324,37.95,1.00,2.06,14.29,4.24,37.48,14.22
2016,55524032,32256858,23267174,0,2751051,2403932,347119,52772980,500,8278230,0,0,22020600,16339505,5681095,4786907,894188,1601229,1418695,2471193,-122290,228951,0,0,0,4.06,6.44,-13.63,-36.24,2.43,398.73,1341.84,5.21,0,25.80,0.40,1.70,2.70,1.61,2.55,171,6407,51.82,1.39,3.34,18.55,2.76,82.21,21.38
2017,55024425,27753762,27270663,0,2459392,2046961,412431,52565033,500,8278230,0,0,22628424,16971165,5657260,4590255,1067005,685792,751450,3123895,-3090948,-104299,50,407880,54.28,4.72,3.32,2.76,19.33,-47.03,0,1355.85,4.68,0.80,25.00,0.41,2.03,1.43,1.93,1.36,91,6446,69.07,0.97,2.29,15.17,4.05,48.65,13.89
2018,54017004,22843625,31173379,0,2535979,2157377,378601,51481025,500,8278230,0,0,18823761,15285439,3538322,4591643,-1053320,-701657,-353385,3775907,-10080966,272073,20,152170,0,-5.60,-1.88,-16.81,적전,적전,0,1058.86,4.93,0.44,18.80,0.35,-2.02,-0.68,-1.93,-0.65,-43,6356,0,0.71,1.98,17.39,-1.91,0,25.84
