구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,11586618,9247062,2339555,0,3915627,3338187,577440,7670990,500,4069352,0,0,9136206,3001918,6134288,3411240,2723048,2654131,2999786,0,0,0,29.81,32.83,52.09,272.11,258.50,41.62,277.01,51.04,0,67.14,0.94,44.13,48.61,28.06,30.91,737,1885,0,0,0,0,78.69,0.00,0.00,2750530,-1194740,-250000
2010,15816432,12160524,3655908,0,5152948,3545200,1607748,10663484,500,5290158,0,0,13075657,6485205,6590452,3626428,2964024,3094893,3023940,0,0,0,22.67,23.13,0,0,0,64.85,343.01,48.32,0,50.40,0,0,0,0,0,572,2016,0,0,0,0,0,0.00,0.00,2140059,-2758436,432770
2011,25424497,20936456,4488041,0,7418477,6593190,825287,18006019,500,6200000,0,0,17652671,9485261,8167410,4795491,3371919,3508697,3112904,0,0,0,19.10,17.63,35.00,13.76,2.94,118.26,317.55,41.20,0,46.27,0.86,23.52,21.72,16.35,15.10,584,2904,6.96,1.40,1.23,6.25,38.55,7.47,6.77,2080588,-2847470,4259701
2012,30428110,23532188,6895922,0,10198308,7874678,2323630,20229802,500,6200000,0,0,20469883,10984324,9485558,6019591,3465967,3555001,3208907,60,360000,11.22,16.93,15.68,15.96,2.79,3.08,46.42,298.83,50.41,1.51,46.34,0.73,18.13,16.78,12.41,11.49,518,3422,7.67,1.16,1.20,6.81,31.60,7.10,6.36,3226008,-3997254,-425384
2013,30040480,22703880,7336600,0,9038647,8840017,198630,21001833,500,6200000,0,0,17468859,9258443,8210417,6857313,1353104,1575349,1643447,0,0,0,7.75,9.41,-14.66,-60.96,-48.78,17.54,256.83,43.04,0,47.00,0.58,6.56,7.97,4.48,5.44,265,3629,19.77,1.44,1.86,14.85,12.51,24.01,17.12,1749402,-2712078,-996416
2014,26765626,19868797,6896829,0,6316051,6316051,0,20449576,500,6200000,0,0,15924844,8818289,7106556,7519872,-413316,364831,459644,0,0,0,-2.60,2.89,-8.84,적전,-72.03,0,314.58,30.89,0,44.63,0.56,-1.99,2.22,-1.46,1.62,74,3703,53.75,1.08,1.55,19.87,-5.14,0,66.68,3480540,64001,-3136902
2015,27942827,22811775,5131052,0,7074941,7016941,58000,20867886,500,6200000,0,0,19649711,10958805,8690906,7619531,1071376,749075,768227,114,636423,82.84,5.45,3.91,23.39,흑전,67.14,917.27,325.10,33.90,2.26,44.23,0.72,5.19,3.72,3.92,2.81,124,3827,40.68,1.32,1.59,20.54,14.25,31.99,18.79,3150565,428412,-474916
2016,29578466,24966685,4611781,0,7569507,7456369,113139,22008959,500,6800000,0,0,21267896,11821784,9446112,7215531,2230580,1190272,1314128,50,310316,21.01,10.49,6.18,8.24,108.20,71.06,0,334.84,34.39,0.99,44.41,0.74,10.40,6.13,7.76,4.57,217,3649,23.30,1.39,1.62,15.62,40.76,15.45,11.66,3801127,-1220409,-388094
2017,33106158,28783675,4322483,0,8613803,8582355,31448,24492355,100,34000000,0,0,21776102,12742890,9033212,6265987,2767225,3338467,3080375,16,510316,16.55,12.71,14.15,2.39,24.06,134.40,0,335.38,35.17,0.92,41.48,0.69,11.90,13.25,8.83,9.83,91,804,19.19,2.16,2.72,16.47,53.74,22.64,19.12,4669066,904320,-566316
2018,32745586,27302157,5443429,0,5977610,5940890,36720,26767976,100,36000000,0,0,18424545,10859850,7564695,5251750,2312945,2664209,2578419,16,530290,20.57,12.55,13.99,-15.39,-16.42,-16.30,0,459.56,22.33,1.18,41.06,0.56,9.02,10.06,7.02,7.83,72,744,18.99,1.83,2.66,15.49,44.89,22.34,17.85,2726729,-1752520,-332839
