구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,572109826,272471681,299638145,0,157504318,105448148,52056171,414605508,500,13554044,0,0,526071013,416745454,109325559,33194431,76131128,285980579,210635040,59571187,-23559499,13879,220,2737647,0,40.04,-8.18,37.11,147.69,464.47,258.39,37.99,1.87,20.78,1.11,22.99,63.61,16.06,44.43,14365,27708,0.82,0.42,0.30,0.80,89.08,2.74,2.61
2017,376126457,223774263,152352194,0,128454407,108186603,20267803,247672050,500,13554044,0,0,572952989,488717667,84235322,28711622,55523700,75137509,85039292,56151730,-47024869,-11171950,180,2239893,0,14.84,120.02,155.61,66.26,442.39,206.84,51.86,0.73,14.70,1.35,18.89,28.94,13.08,20.03,2439,16473,10.13,1.50,1.30,8.75,33.04,6.66,5.51
2016,472905030,287320433,185584598,0,132804074,118515807,14288267,340100957,500,33393384,0,0,260411667,220372782,40038885,18316565,21722320,30328925,51149052,29646406,-19014969,-12913010,150,4707531,0,19.64,-40.20,-59.59,11.95,211.53,242.43,39.05,0.93,15.38,0.59,6.76,15.91,4.96,11.67,1436,9955,11.21,1.62,2.06,9.26,10.46,25.83,17.62
2015,403859116,262131145,141727971,0,101004226,89498363,11505864,302854889,500,33393384,0,0,435490074,330972462,104517612,50768095,53749517,61272721,45689088,49147547,-50641827,-3162727,150,4810212,0,10.49,22.00,72.19,78.25,802.40,292.89,33.35,1.32,24.00,1.15,19.01,16.16,14.21,12.08,1284,8675,8.84,1.31,0.87,7.33,31.65,7.42,6.37
2014,352438882,231028816,121410066,0,89714149,79619363,10094787,262724733,500,33393384,0,0,356966955,286389110,70577845,39363304,31214541,34195502,25631756,35941292,-50380749,-1166728,100,3211808,0,7.18,25.65,0.97,-2.14,1087.92,290.17,34.15,1.25,19.77,1.08,12.41,10.19,9.48,7.79,771,7486,10.41,1.07,0.75,7.89,19.41,9.19,7.27
2013,305909308,190982626,114926682,0,65541119,61114415,4426705,240368189,500,33393384,0,0,284097477,218831095,65266383,34350329,30916054,33542666,26191283,26516728,21865447,-3155032,70,2265045,0,9.22,65.55,248.76,133.01,1621.44,312.50,27.27,1.37,22.97,1.04,13.80,11.69,11.36,9.63,778,6778,6.58,0.76,0.60,5.10,21.47,6.14,4.94
2012,238289794,123773674,114516121,0,30497508,25469535,5027973,207792286,500,33393384,0,0,171604683,129537530,42067154,33202506,8864648,13926803,11240571,18958706,-20742418,-8211295,20,658000,0,6.55,-34.30,-31.99,-18.74,48.33,485.97,14.68,0.54,24.51,0.70,4.35,5.51,3.61,4.58,338,6024,10.95,0.61,0.72,6.64,6.73,14.91,8.16
2011,252532666,139207085,113325581,0,52426471,46970837,5455634,200106196,500,32420856,0,0,261185538,218212025,42973513,29939406,13034107,18569643,13832181,36700057,-28821521,1183458,30,973000,0,5.30,-12.91,-54.21,-50.95,268.25,296.37,26.20,0.57,16.45,1.03,6.72,7.13,5.16,5.48,473,5902,11.06,0.89,0.65,7.80,8.00,14.07,9.43
2010,252658586,148698453,103960133,0,64564875,59191332,5373543,188093711,500,31476560,0,0,299912134,243086470,56825664,28358562,28467102,35925915,28200091,-32853509,21052785,-2567689,60,1888594,0,9.40,0,0,0,49.30,251.22,34.33,0.94,18.95,0,0,0,0,0,853,5648,7.45,1.13,0.67,6.36,0,7.61,6.55
2009,203903921,106155957,97747964,0,51770015,44164381,7605634,152133906,500,30317441,0,0,123200852,96980232,26220620,18960426,7260194,10959438,9422481,51540864,-47658632,1222991,30,889120,0,7.65,-48.51,-70.03,-4.64,15.66,240.37,34.03,0.52,21.28,0.61,4.84,6.29,3.62,4.70,332,4734,17.46,1.22,1.42,12.30,6.64,26.45,16.73
