구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,428464236,241001160,187463076,0,49684502,46425595,3258908,378779734,500,12307873,0,0,294095045,233899471,60195575,42336650,17858925,20473279,21883396,12889337,-1676964,-3556133,100,1227777,0,7.44,-27.23,-70.22,-49.10,28.72,519.11,13.12,0.21,20.47,0.68,4.83,5.91,4.12,5.05,1775,30389,27.21,1.59,2.02,17.21,5.82,33.48,19.58
2017,438475339,256055517,182419822,0,77063778,76335422,728355,361411562,500,12280626,0,0,404151529,310523924,93627605,33648485,59979121,52442560,42991245,36744532,-32460193,-2355115,200,2455555,0,10.64,31.33,182.14,121.11,122.71,335.43,21.32,0.18,23.17,0.95,17.55,12.58,14.16,10.15,3487,29049,31.26,3.75,3.31,23.65,16.18,22.40,18.21
2016,408604557,250908399,157696158,0,86430212,85712699,717513,322174345,500,12280626,0,0,307727032,251839238,55887795,34629059,21258735,19256344,19443122,35095294,-9568892,-19718906,100,1227777,0,6.32,13.96,-25.53,-21.29,38.59,292.73,26.83,0.11,18.16,0.79,6.78,6.20,5.44,4.98,1558,25868,57.65,3.47,3.58,31.46,7.39,52.09,29.79
2015,372880994,209043295,163837699,0,67830829,65177458,2653371,305050165,500,12270626,0,0,270020677,204164508,65856169,37310730,28545439,30887273,24700891,9401057,-5543970,-13260474,100,1226798,0,9.15,-10.53,-49.62,-41.64,30.62,320.73,22.24,0.08,24.39,0.72,9.76,8.44,7.59,6.56,1977,24518,63.14,5.09,5.67,39.53,8.06,53.90,35.76
2014,379647330,207283367,172363963,0,99518940,96037001,3481939,280128389,500,12270626,0,0,301810544,205904207,95906337,39241848,56664489,53408953,42322875,78395879,-9142538,-34158592,200,2453595,0,14.02,30.00,31.47,22.65,33.81,215.84,35.53,0.16,31.78,0.83,21.90,16.36,15.49,11.57,3421,22552,36.63,5.56,5.08,26.02,15.89,27.27,20.96
2013,351916286,168277533,183638753,0,114574960,111995100,2579860,237341326,500,12240626,0,0,232154361,157599175,74555186,31455916,43099270,45404362,34507111,4989293,-33172202,21812690,100,1224000,0,14.86,21.83,25.58,24.84,19.04,150.25,48.27,0.24,32.11,0.70,19.51,15.62,12.95,10.37,2783,19152,14.84,2.16,2.18,10.14,12.41,13.40,9.80
2012,313735994,145976110,167759885,0,109235345,107518791,1716554,204500649,500,12240626,0,0,190563018,123094480,67468538,33147356,34321182,33397221,27640354,23483764,-40142490,23076402,100,1224000,0,14.50,24.00,119.54,56.01,23.49,135.77,53.42,0.32,35.40,0.67,17.90,14.42,12.00,9.66,2237,16505,13.81,1.87,1.98,9.58,14.04,12.41,9.17
2011,258380118,144972137,113407981,0,79420719,78283435,1137284,178959399,500,12240626,0,0,153683195,108372062,45311133,29678185,15632948,19101156,17717068,20053130,-37541750,14533714,100,1224000,0,11.53,-23.98,-65.53,-46.59,15.31,185.19,44.38,0.42,29.48,0.63,9.13,10.35,6.36,7.21,1414,14440,16.69,1.63,1.88,11.19,9.16,18.90,12.25
2010,232992091,140348104,92643987,0,69440235,56721888,12718347,163551856,500,12230626,0,0,202151555,130989808,71161747,25814532,45347216,41453276,33174095,33339854,-64071168,41290599,200,2446125,0,16.41,0,0,0,66.74,247.43,42.46,0.63,35.20,0,0,0,0,0,2753,13216,11.57,2.41,1.86,9.00,0,8.63,7.17
2009,136796065,88576165,48219900,0,40409842,38553039,1856803,96386223,500,10923031,0,0,90220833,70891660,19329173,15229932,4099241,2023849,2972289,3475238,-6069939,-1716988,100,1075759,0,3.29,-15.18,-54.77,-73.70,5.97,229.75,41.92,0.63,21.42,0.67,4.32,3.13,3.05,2.21,272,9007,58.80,1.78,1.94,14.85,6.27,44.97,14.29
