구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,160686362,72345641,88340722,0,121200509,79769756,41430754,39485853,500,46764840,0,0,131578010,144909535,-13331525,9088209,-22419734,-34539465,-35554591,20933348,-7001798,-7414263,0,0,0,-27.02,-18.76,적전,적전,0,90.69,306.95,0,-10.13,0.74,-37.30,-59.14,-12.53,-19.87,-760,847,0,3.27,0.98,0,-51.36,0,0
2017,197157482,91192280,105965203,0,116414693,90405204,26009489,80742790,500,46764840,0,0,161959020,149683177,12275843,11203749,1072093,1710081,3773446,14879282,-2774978,-12991236,0,0,0,2.33,7.03,132.23,흑전,0.69,100.87,144.18,0,7.58,0.81,1.38,4.86,0.54,1.89,77,1631,42.71,2.02,0.95,19.25,2.97,177.64,34.80
2016,202340678,99678822,102661856,0,127651976,98222863,29429114,74688702,500,46764840,0,0,151319205,141187730,10131475,9669816,461659,-796149,-368076,5443332,-4752175,3655057,0,0,0,-0.24,9.05,-75.26,적전,0.32,101.48,170.91,0,6.70,0.75,0.62,-0.50,0.23,-0.18,-11,1507,0,2.51,1.17,44.02,0.25,486.33,45.15
2015,203613976,104704163,98909813,0,130461889,104438330,26023559,73152087,500,46764840,0,0,138760454,127642161,11118293,9252167,1866126,2857132,2528202,-9378402,-7499140,14487245,0,0,0,1.82,20.02,-32.75,55.68,1.76,100.25,178.34,0,8.01,0.69,2.59,3.51,0.92,1.25,52,1440,100.21,3.64,1.77,41.80,2.07,157.71,55.71
2014,200022792,108842993,91179798,0,129283872,106599917,22683954,70738920,500,46764840,0,0,115615170,104106710,11508460,8733380,2775079,2050288,1623965,-1906169,-12892382,12091910,25,1164693,0,1.40,6.28,35.13,-5.61,3.14,102.10,182.76,1.29,9.95,0.67,4.03,2.36,1.60,0.93,30,1390,64.33,1.40,0.79,19.73,3.36,44.06,20.47
2013,147578857,67268291,80310566,0,80742644,62878450,17864194,66836213,500,46764840,0,0,108779044,98120450,10658594,8604967,2053627,2411828,1720489,-357675,-7797337,3016730,25,1164693,0,1.58,18.91,3.77,-33.56,3.58,106.98,120.81,1.31,9.80,0.78,3.03,2.54,1.47,1.23,37,1432,52.05,1.34,0.82,19.57,2.59,50.50,21.12
2012,132133694,55260457,76873238,0,63488567,39943199,23545368,68645128,500,46764840,0,0,91483076,81734577,9748499,7769403,1979096,2171738,2589407,12389642,-4002227,1284120,30,1398000,0,2.83,8.97,-38.23,-5.77,2.70,138.35,92.49,1.61,10.66,0.74,2.88,3.77,1.59,2.08,55,1471,33.68,1.27,0.95,17.01,4.19,46.56,20.40
2011,116424272,38256881,78167390,0,47813039,23309733,24503307,68611232,500,46764840,0,0,83953089,74380941,9572148,6367990,3204158,3435091,2748069,4661680,-10164857,5530740,0,0,0,3.27,6.51,14.49,-61.19,6.18,164.12,69.69,0,11.40,0.78,4.87,4.17,2.99,2.56,59,1470,32.84,1.31,1.08,17.75,4.64,32.01,18.52
2010,98029552,33565274,64464278,0,34952730,21311254,13641475,63076822,500,46764840,0,0,78823510,70436634,8386876,5588173,2798703,3089631,7079917,1708906,-2123625,890800,0,0,0,8.98,0,0,0,8.58,157.50,55.41,0,10.64,0,0,0,0,0,151,1352,16.38,1.83,1.47,12.61,0,43.49,24.75
2009,135829786,66468777,69361009,0,59460782,43851075,15609707,76369004,500,46764840,0,0,153233779,138849693,14384086,8407685,5976401,5801213,1126732,-10781280,-3740120,-2207500,0,0,0,0.74,-4.73,23.55,-49.50,8.56,151.58,77.86,0,9.39,1.20,9.53,1.80,4.69,0.88,2,1201,895.83,1.46,0.53,37.34,3.30,17.23,12.75
