구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,424847131,172375489,252471643,0,230658831,169766280,60892551,194188300,5000,10700000,0,0,200,2043387,24.08,4.73,2.25,-9.40,-49.66,30.51,2.08,101.54,118.78,1.99,14.32,0.88,9.15,4.35,4.14,1.97,793,17805,12.67,0.56,0.29,6.23,3.62,14.91,9.97,373784250,320263503,53520747,35825385,17695362,12493483,8408961,35145406,-35682135,6097327
2010,576827511,300574120,276253390,0,357211766,252275566,104936199,219615745,5000,10700000,0,0,250,2429254,51.00,4.77,1.45,0,0,0,1.81,119.15,162.65,2.51,12.85,0,0,0,0,0,445,17826,22.39,0.56,0.26,5.83,0,18.83,11.21,417324370,363699369,53625001,33717564,19907437,10956326,6060449,15404513,-127202767,109909279
2011,854039979,448147205,405892775,0,574164639,398379590,175785049,279875340,5000,10700000,0,0,250,2454021,53.83,6.31,2.19,34.50,77.88,103.21,2.20,112.49,205.15,3.28,19.61,0.78,14.18,4.93,4.95,1.72,426,17049,17.91,0.45,0.15,4.18,8.15,11.94,8.39,561281135,451223913,110057222,74644889,35412334,15629996,12315521,12311619,-155349723,133418867
2012,1011500974,644465512,367035463,0,674103942,596676397,77427545,337397032,5000,10700000,0,0,150,1517000,21.28,5.07,3.65,51.36,21.58,152.08,2.15,108.01,199.80,1.32,21.08,0.91,13.95,10.06,4.62,3.33,666,17761,17.11,0.64,0.14,4.96,7.37,11.81,8.41,849534897,670450435,179084462,136029073,43055389,44813813,31044723,35932551,919362,-27318412
2013,911141519,534449977,376691543,0,498871936,382189876,116682060,412269584,5000,10700000,0,0,1000,10116084,225.28,6.94,2.70,0.12,37.14,-25.93,3.94,139.84,121.01,5.90,22.75,0.88,15.75,6.13,6.14,2.39,420,19649,40.39,0.86,0.21,8.43,9.69,7.50,5.82,850561127,657069442,193491685,134444928,59046757,32401915,22995924,62462929,91340046,-100020354
2014,928917994,555358286,373559708,0,495751880,440388751,55363129,433166113,5000,10858393,0,0,350,3603893,27.57,8.09,4.63,3.18,20.20,76.82,8.11,126.11,114.45,2.11,24.12,0.95,16.79,9.62,7.71,4.42,1207,19244,13.75,0.86,0.20,5.82,11.25,6.99,5.59,877571864,665869096,211702768,140729112,70973656,57857746,40661444,-5547081,-78654297,-6492751
2015,1142452651,582532583,559920068,0,678433511,486285917,192147594,464019140,5000,11478870,0,0,350,3821060,22.68,4.47,4.13,15.60,-36.09,2.94,7.29,119.79,146.21,2.26,20.06,0.98,10.11,9.33,4.38,4.04,1488,18244,10.42,0.85,0.17,4.71,5.54,16.00,11.04,1014474707,810952424,203522283,158162543,45359740,57434111,41854916,-52099961,-43503199,68305235
2016,1263528834,649065902,614462932,0,753316753,540587723,212729030,510212081,5000,11576968,0,0,350,3855394,30.02,8.99,3.51,-20.31,60.18,-32.27,7.44,120.07,147.65,2.37,27.59,0.67,14.92,5.82,6.04,2.36,1117,18422,13.20,0.80,0.21,4.50,7.98,9.91,7.39,808473322,585384793,223088528,150432105,72656424,62870977,28347117,75892027,-76399675,61186416
2017,1480673142,692011617,788661525,0,902897458,783642561,119254897,577775684,5000,12373409,0,0,350,4255785,100.25,6.93,0.93,36.00,4.94,-63.99,7.78,88.31,156.27,1.43,29.29,0.80,14.02,1.88,5.56,0.74,362,19829,67.63,1.24,0.26,7.18,9.24,11.04,7.52,1099484825,777400067,322084758,245838433,76246324,57012477,10207707,189468541,-137804442,18890577
2018,1508599076,687484821,821114256,0,904440514,723149338,181291177,604158562,5000,12455526,0,0,350,4289116,127.92,5.65,2.16,16.67,-4.96,172.01,7.69,95.07,149.70,2.01,31.08,0.86,12.26,4.70,4.85,1.86,270,20001,64.56,0.87,0.17,5.12,6.14,10.87,7.07,1282776687,884059062,398717625,326252958,72464667,49871378,27765618,58934039,-45179609,-2064520
