구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,6210421,3599475,2610946,0,4329490,2035929,2293561,1880930,100,3000000,0,0,4118882,1051543,3067339,2353405,713934,600596,548026,-388823,-105342,1134473,0,0,0,13.31,27.71,48.08,49.26,6.84,176.80,230.18,0,74.47,0.78,44.43,34.10,13.44,10.32,183,627,22.83,6.65,3.04,19.08,18.20,20.96,18.22
2017,4412163,1979503,2432659,0,3079258,949941,2129317,1332905,500,600000,0,0,3225279,880632,2344647,1862505,482142,366863,367159,56013,-238692,-72193,0,0,0,11.38,53.37,78.69,40.06,5.48,208.38,231.02,0,72.70,0.79,41.95,31.95,11.84,9.02,612,2222,34.56,9.52,3.93,27.87,17.50,30.15,25.49
2016,3729496,1533730,2195766,0,2763750,692553,2071197,965746,500,600000,0,0,2102995,534162,1568833,1299006,269827,200693,262145,-361999,-1480116,2078029,0,0,0,12.47,18.04,흑전,흑전,4.88,221.46,286.18,0,74.60,0.85,40.79,39.63,10.87,10.57,821,1610,0,0,0,0,25.61,6.02,5.02
2015,1232947,907074,325874,0,875710,782743,92967,357238,500,200000,0,0,1781533,18552,1762982,1956552,-193570,-163561,-165521,26257,-218758,171971,0,0,0,-9.29,9.05,적전,적전,0,115.88,245.13,0,98.96,1.59,-43.99,-37.62,-17.22,-14.73,-828,1786,0,0,0,0,-71.80,0,0
2014,1014697,779801,234896,0,491938,488325,3613,522759,0,0,0,0,1633696,0,1633696,1485606,148090,157631,157631,192843,-172143,0,0,0,0,9.65,0,0,0,0,159.69,94.10,0,100.00,0,0,0,0,0,7882,26138,0,0,0,0,0,0.00,0.00
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
