구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,351174343,154181142,196993201,0,125768863,85456908,40311955,225405480,500,112451621,0,0,27969298,-9686362,-9606455,0,0,0,0.81,-3.94,-49.23,28.40,1.22,180.42,55.80,0,14.76,0.61,1.49,0.78,0.94,0.49,13,1953,79.44,0.53,0.54,8.90,1.25,48.55,10.84,217374591,185283948,32090644,28750523,3340120,1752673,1752673
2017,359839158,154337284,205501873,0,137201102,112492878,24708225,222638055,500,110855877,0,0,12428764,2762113,-21987204,12,1330271,0,0.60,-0.62,64.04,1719.48,1.67,137.20,61.63,0.93,15.60,0.61,3.10,0.64,1.77,0.37,8,1961,152.10,0.66,0.63,10.13,2.32,32.14,10.70,226288870,190996850,35292020,28713535,6578485,1377050,1365010
2016,383108805,163401252,219707553,0,180908585,130244612,50663973,202200220,500,89047384,0,0,30955967,-29052291,7106215,0,0,0,0.03,8.89,-17.35,-85.67,0.76,125.46,89.47,0,14.83,0.63,2.27,0.04,1.11,0.02,4,2215,268.07,0.45,0.34,5.20,0.99,46.96,10.18,227690903,193926317,33764586,29754187,4010399,109381,75022
2015,340459280,159358712,181100568,0,189474238,127859355,61614883,150985042,500,59047384,0,0,6706278,-9099530,887633,0,0,0,0.25,-4.93,55.95,-83.83,0.90,124.64,125.49,0,16.41,0.61,3.21,0.35,1.41,0.15,15,2485,74.91,0.45,0.32,3.47,1.84,41.03,8.65,209099505,174787210,34312296,29460288,4852007,507832,523479
2014,346623526,153537310,193086216,0,195253724,177686998,17566726,151369802,500,59047384,0,0,-4576098,23035526,-25012157,0,0,0,1.47,-15.34,흑전,흑전,0.42,86.41,128.99,0,15.56,0.61,2.03,2.11,0.86,0.90,89,2490,13.09,0.47,0.31,2.59,1.17,65.88,8.39,219931598,185719001,34212597,31101427,3111170,3116762,3237232
2013,376185399,163826254,212359146,0,220305018,163021981,57283037,155880381,500,59047384,0,0,8394192,-3852856,-10560871,0,0,0,-10.79,-0.94,적지,적지,0,100.49,141.33,0,12.26,0.66,-4.82,-18.06,-1.90,-7.14,-1036,2536,0,0.31,0.08,0,-2.47,0,9.63,259791513,227929910,31861603,39339329,-7477726,-28026063,-28033543
2012,409366183,156674706,252691476,0,254745797,199257498,55488299,154620386,500,190473849,0,0,13822892,3435763,-22579503,0,0,0,-20.08,-13.10,적지,적지,0,78.63,164.76,0,3.97,0.59,-14.26,-32.80,-5.15,-11.86,-370,781,0,0.64,0.28,0,-6.44,0,26.12,262269893,251858662,10411231,33301584,-22890353,-52552110,-52659479
2011,479025819,203686955,275338864,0,312531013,263677556,48853456,166494807,500,142116198,0,0,-12072653,-5461498,25243110,0,0,0,-13.34,-11.92,적지,적지,0,77.25,187.71,0,2.91,0.62,-16.41,-22.34,-6.05,-8.23,-266,1132,0,0.65,0.34,26.84,-7.54,0,29.81,301820861,293048923,8771938,38335156,-29563218,-40227602,-40258079
2010,498836652,197583788,301252865,0,304928351,200084320,104844031,193908302,500,131410980,0,0,13983428,-66607539,53012447,0,0,0,-17.93,0,0,0,0,98.75,157.25,0,8.63,0,0,0,0,0,-456,1404,0,0.81,0.44,0,0,0,13.40,342673783,313084832,29588951,35157348,-5568397,-61388967,-61453023
2009,408922091,171020693,237901398,0,216424121,135477414,80946707,192497970,500,131410980,0,0,-6572667,-26959730,34782903,0,0,0,-6.24,-0.87,흑전,적지,0.34,126.24,112.43,0,12.51,0.81,2.55,-11.03,1.17,-5.04,-238,1411,0,0.70,0.26,5.50,1.42,61.50,7.09,317136553,277447052,39689501,35114109,4575392,-19799662,-19799662
