구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,48571995,41416994,7155001,0,7924531,7257545,666985,40647465,5000,1240000,0,0,3734840,-6163550,-84803,250,310000,7.90,10.24,10.56,8.90,580.15,152.05,164.10,570.67,19.50,1.92,17.35,0.79,9.83,10.13,8.11,8.36,3166,32780,4.11,0.40,0.43,4.04,48.43,4.23,4.17,37181328,30730129,6451199,2642340,3808859,5201179,3925787
2010,49216268,42365139,6851129,0,6758465,6213143,545322,42457802,5000,1240000,0,0,1554495,-1340140,-340000,150,186000,8.93,4.02,5.20,0,0,0,0,681.86,15.92,0.89,10.69,0,0,0,0,0,1680,34240,10.03,0.49,0.52,9.45,0,12.96,12.00,40098562,35810887,4287675,2675313,1612361,2717194,2083276
2011,51735264,44735395,6999869,0,7474367,6772350,702017,44260897,5000,1240000,0,0,159976,-2113809,-186000,250,310000,15.58,3.69,5.14,-3.57,-11.59,-4.52,0,660.56,16.89,1.83,9.83,0.77,3.29,4.59,2.82,3.94,1604,35694,8.51,0.38,0.44,8.10,12.36,11.87,11.10,38666827,34864909,3801919,2376428,1425490,2619263,1989094
2012,54984067,48185169,6798898,0,7990943,7186970,803973,46993124,5000,1240000,0,0,2456388,-1836597,-280000,250,310000,10.19,4.82,5.75,36.87,79.11,52.95,0,670.45,17.00,1.62,10.88,0.99,5.60,6.67,4.78,5.70,2453,37898,6.30,0.41,0.36,6.08,19.05,7.50,7.20,52924028,47166529,5757499,3204311,2553189,3887756,3042227
2013,53082193,46458289,6623905,0,4981095,4294211,686884,48101098,5000,1240000,0,0,2956467,-5716891,-410000,150,186000,13.12,1.93,4.51,-40.60,-76.23,-53.39,0,1081.88,10.36,1.16,11.15,0.58,1.28,2.98,1.12,2.62,1144,38791,11.32,0.33,0.51,10.55,4.77,26.46,22.57,31434906,27929767,3505139,2898361,606778,1789719,1417974
2014,61726750,54786527,6940223,0,12213534,11546511,667023,49513215,500,12400000,0,0,22536282,-11743820,-1545400,25,310000,19.40,1.48,2.46,106.73,58.16,12.70,0,474.49,24.67,1.47,5.39,1.13,1.97,3.27,1.67,2.78,129,3993,13.19,0.43,0.32,12.30,7.02,21.97,19.61,64986897,61484155,3502742,2543087,959655,2038914,1598117
2015,62469631,55540026,6929605,0,10080871,9212572,868299,52388760,500,12400000,0,0,15459197,169241,-160000,25,310000,9.73,4.42,4.35,12.78,237.87,99.33,0,602.87,19.24,1.05,8.54,1.18,6.36,6.25,5.22,5.13,257,4225,9.30,0.57,0.40,8.98,35.36,9.14,8.83,73289937,67032539,6257398,3015052,3242345,4058765,3185545
2016,62473131,55820423,6652708,0,9702035,8963556,738479,52771095,500,12400000,0,0,238147,1050396,-310000,90,1116000,161.19,0.22,2.45,-61.46,-98.06,-78.27,0,622.75,18.39,2.00,11.12,0.45,0.12,1.32,0.10,1.11,56,4256,80.51,1.06,1.97,67.30,1.82,886.17,280.43,28242761,25101636,3141125,3078228,62897,859579,692336
2017,64106791,56320065,7786726,0,9800995,9041387,759608,54305796,500,12400000,0,0,-5640021,14459987,-1116000,90,1116000,42.10,4.60,4.70,99.71,4029.05,282.86,0,622.91,18.05,3.10,9.86,0.89,4.85,4.95,4.10,4.19,214,4380,13.57,0.66,0.64,12.90,27.58,13.85,13.16,56403800,50844089,5559711,2962643,2597068,3373959,2650701
2018,61777297,52881080,8896216,0,5004939,4240076,764863,56772358,500,12400000,0,0,-2215836,-12441374,-1116000,100,1240000,40.07,5.41,5.51,-0.39,17.13,16.74,0,1247.17,8.82,2.98,10.58,0.89,5.48,5.57,4.83,4.92,250,4578,13.44,0.73,0.74,12.91,16.72,13.68,13.12,56185007,50241522,5943485,2901461,3042024,3931527,3094333
