구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,1481470960,144592242,1336878718,0,767096639,179027383,588069256,714374320,5000,2080000,0,0,197278763,175283373,21995390,38284319,-16288929,5685019,-241834,0,0,0,-8.26,-0.12,23.64,적지,적지,0,80.77,107.38,0,11.15,0.17,-2.90,-0.04,-1.44,-0.02,-75,344356,0,0.37,1.35,21.38,0.09,0,0,17125042,-328484600,332997490
2010,1328917440,113238016,1215679424,0,696116954,174575883,521541071,632800486,5000,2080000,0,0,339355972,233166690,106189282,61656033,44533249,21892313,20060632,750,1546119,7.69,13.12,5.91,0,0,0,1.96,64.86,110.01,0.62,31.29,0,0,0,0,0,9666,305111,12.47,0.39,0.74,6.05,0,13.50,9.13,10475934,-7042457,-21571226
2011,1352324332,137246473,1215077858,0,722619941,406687562,315932379,629704391,5000,2080000,0,0,348136369,258814443,89321926,67262414,22059512,-1510965,-1131177,0,0,0,6.34,-0.32,2.59,-50.47,적전,1.15,33.75,114.76,0,25.66,0.26,3.49,-0.18,1.65,-0.08,-535,303211,0,0.31,0.56,9.29,15.31,26.90,13.43,-14647398,-26322473,35048132
2012,1335039930,123685731,1211354199,0,714335725,164949423,549386302,620704205,5000,2080000,0,0,333620804,260837041,72783763,65529821,7253943,-10281658,-7910168,0,0,0,2.17,-2.37,-4.17,-67.12,적지,0.36,74.98,115.08,0,21.82,0.25,1.16,-1.27,0.54,-0.59,-3800,298924,0,0.30,0.56,12.28,4.09,86.14,20.60,17789061,-27697875,8478478
2013,1296989142,103410904,1193578238,0,660550587,135215333,525335254,636438555,5000,2492298,0,0,347189559,251468225,95721334,59689595,36031739,19103059,14574395,250,623075,4.27,10.38,4.20,4.07,396.72,흑전,2.58,76.48,103.79,0.23,27.57,0.26,5.73,2.32,2.74,1.11,5855,255370,18.62,0.43,0.78,6.83,22.20,18.06,10.63,51153970,-3280250,-48062284
2014,1301841379,101229398,1200611981,0,654172565,409405729,244766836,647668814,5000,2741527,0,0,329036023,238357806,90678217,60060060,30618157,14189361,11488471,500,1370764,11.93,9.31,3.49,-5.23,-15.02,-21.17,2.47,24.73,101.00,0.27,27.56,0.25,4.77,1.79,2.36,0.88,4190,236250,43.43,0.77,1.52,13.35,21.25,28.17,15.27,23819336,-33885316,7248278
2015,1318643312,108093423,1210549889,0,655690395,185946014,469744380,662952918,5000,2741527,0,0,357628146,255868653,101759493,62797982,38961511,23310479,16692163,1250,3426909,20.53,10.89,4.67,8.69,27.25,45.29,3.90,58.13,98.90,0.65,28.45,0.27,5.95,2.55,2.97,1.27,6089,241825,31.61,0.80,1.48,11.69,20.37,22.91,13.24,39920580,-36713625,-4572002
2016,1301910960,106002223,1195908736,0,622067560,155435755,466631806,679843399,500,27415270,0,0,377445013,268352680,109092333,65655764,43436569,32415947,29474988,180,4934749,16.74,11.51,7.81,5.54,11.49,76.58,5.54,68.20,91.50,1.18,28.90,0.29,6.47,4.39,3.32,2.25,1075,24799,14.23,0.62,1.11,7.04,28.99,16.97,10.02,67981079,-13675594,-53643827
2017,1274042237,90254697,1183787540,0,574908164,319476563,255431601,699134073,500,27415270,0,0,360788750,253442168,107346582,65037350,42309232,35580520,25315361,180,4934749,19.49,11.73,7.02,-4.41,-2.60,-14.11,6.35,28.25,82.23,1.29,29.75,0.28,6.14,3.67,3.28,1.97,923,25502,15.05,0.55,1.06,6.94,25.68,15.50,9.12,57720565,-19621227,-36109907
2018,1301792841,120711492,1181081350,0,593023494,163151849,429871646,708769347,500,27415270,0,0,351438926,244043108,107395818,66416067,40979751,27151835,20189241,125,3371475,16.70,11.66,5.74,-2.59,-3.14,-20.25,5.13,73.99,83.67,1.16,30.56,0.27,5.82,2.87,3.18,1.57,737,26058,14.66,0.41,0.84,5.74,24.64,14.57,8.25,12093896,-25719906,10321447
