구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1510280050,0,0,0,1408395783,0,0,101884267,5000,0,0,0,18510052,0.0,18510052,0,6430386,0,0,-214408365,-20913488,220329005,300,1532460,0,3.09,70.18,-3.83,36.24,0,0,1382.35,3.23,11.18,0.12,7.75,6.16,0.48,0.38,942,14555,9.87,0.64,0.30,1.46,0,0,0
1996,1170593952,0,0,0,1106524475,0,0,64069477,5000,0,0,0,18468055,0.0,18468055,0,6686274,0,0,-317994279,-1149991,388358635,500,1950000,0,3.86,117179701.20,0,0,0,0,1727.07,1.96,18.99,0.12,10.58,5.94,0.84,0.47,961,16428,26.52,1.55,1.02,11.10,0,0,0
1995,430337979,0,0,0,368067418,0,0,62270561,5000,0,0,0,9182527,0.0,9182527,0,4698230,0,0,-61674165,1635013,42365022,300,900000,0,10.47,35488132.53,0,0,0,0,591.08,0.94,31.17,0.11,15.09,9.91,1.71,1.13,1028,20757,31.02,1.54,3.25,28.05,0,0,0
1994,117992366,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-100.00,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0
