구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2134514,1299945,834569,0,1660104,810104,850000,474411,5000,80000,0,0,2413214,759536,1653678,1550914,102764,32898,32898,-337719,49103,287560,0,0,0,4.26,1.36,0,0,0,1.23,160.47,349.93,0,68.53,0,0,0,0,0,0,0,0,0,0,0,0,7.31,7.31
2009,2016089,1688421,327668,0,1844817,1081073,763744,171271,5000,80000,0,0,1596079,610373,985707,968682,17025,-303139,-303139,-387596,-154176,534601,0,0,0,1.07,-18.99,-33.86,-83.43,적전,0.21,156.18,1077.13,0,61.76,0.77,5.27,-93.90,0.82,-14.61,0,0,0,0,0,0,1.52,55.57,10.62
2010,5147388,2398111,2749276,0,5823053,5578687,244367,-675666,500,2500000,0,0,3618666,996499,2622167,4288593,-1666426,-1696937,-1696937,-600508,-3609805,4217793,0,0,0,-46.05,-46.89,126.72,적전,적지,0,42.99,완전잠식,0,72.46,1.01,완전잠식,완전잠식,-46.53,-47.38,0,0,0,0,0,0,-91.21,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
