구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,3409742247,967155060,2442587187,0,1296323981,688185445,608138536,2113418266,5000,59741721,0,0,127946072,-132246825,-998533140,150,8628310,0,60.17,1.76,11.54,125.13,3.20,140.54,61.34,0.87,17.30,0.31,3.76,36.70,1.92,18.72,17009,33832,1.01,0.51,0.60,0.97,5.32,17.28,11.66,1547840799,1280033056,267807743,172380301,95427442,114146476,931303213
2017,6539447494,4186158929,2353288565,0,3576968293,2414785355,1162182938,2962479201,5000,75384180,0,0,453241973,-228969802,-97570980,1000,70084180,0,27.20,-67.98,-83.46,24.99,3.09,173.36,120.74,2.59,16.17,0.25,2.99,14.47,1.39,6.71,5169,40343,7.46,0.96,1.91,6.76,4.09,35.83,24.41,1521022846,1275037109,245985737,160431780,85553957,48365613,413666376
2016,5784577179,3645213672,2139363507,0,3029675316,2263964208,765711108,2754901863,5000,75384180,0,0,839771009,-88963171,-145815350,700,51508926,0,6.97,3.20,32.78,38.72,10.96,161.01,109.97,1.56,18.85,0.84,19.79,12.67,9.16,5.86,4069,35893,11.05,1.25,0.71,9.73,18.26,6.81,6.30,4749886366,3854731643,895154723,377945859,517208863,459523465,330961363
2015,5510084233,3409424275,2100659958,0,3039112156,2019510061,1019602095,2470972078,5000,75384180,0,0,1028394908,-64342152,-664510891,500,36792090,0,5.18,2.80,72.86,186.34,6.04,168.82,122.99,1.29,17.30,0.80,16.42,10.06,6.81,4.17,2876,32386,13.49,1.20,0.64,11.28,10.82,9.23,8.32,4602608742,3806265519,796343222,406809136,389534086,324326057,238581069
2014,5936510229,3981410898,1955099331,0,3663567731,2567941616,1095626115,2272942498,5000,75384180,0,0,527608441,-165234650,-403737696,300,22075254,0,1.86,6.18,흑전,흑전,2.70,155.04,161.18,0.78,11.25,0.72,10.07,3.72,3.65,1.35,913,30039,42.38,1.29,0.65,26.36,4.74,19.95,16.82,4477376534,3973562795,503813739,278464418,225349322,121705034,83320380
2013,6420822396,4461145879,1959676517,0,4218495020,2736961288,1481533732,2202327376,5000,75384180,0,0,251799066,-35237138,-269585659,50,3679000,0,-4.77,26.48,적전,적전,0,163.00,191.55,0.22,6.20,0.65,-6.39,-8.69,-2.27,-3.08,-2768,29257,0,0.79,0.41,0,-3.36,0,0,4216933755,3955539461,261394294,409325779,-147931485,-241889377,-201220785
2012,6638455523,4746428005,1892027518,0,4210641953,2550811764,1659830189,2427813570,5000,75384180,0,0,-46554592,-302262082,195246553,200,14716000,0,0.16,-18.84,-74.19,-97.64,1.04,186.08,173.43,0.92,10.31,0.50,4.21,0.22,1.55,0.08,-5,32316,0,0.67,0.49,40.94,0.35,37.19,26.77,3334053764,2990332485,343721279,240294817,103426462,41150074,5309763
2011,6736281104,5002486395,1733794709,0,4253463394,2614177549,1639285845,2482817710,5000,75384180,0,0,-129445354,122730627,49212238,700,51509000,0,5.47,14.44,67.23,130.96,2.95,191.36,171.32,4.17,19.03,0.63,16.70,9.36,6.19,3.47,2942,33070,5.71,0.51,0.31,4.89,8.70,7.87,7.20,4107921252,3326272389,781648863,380850598,400798265,294857700,224727589
2010,6204510117,4591358309,1613151808,0,3885970185,2721304825,1164665360,2318539931,5000,75384180,0,0,-170071320,-168636029,110834573,500,36792090,0,2.71,0,0,0,1.89,168.72,167.60,1.47,17.07,0,0,0,0,0,1290,30849,26.35,1.10,0.71,18.74,0,17.59,15.10,3589652956,2977020852,612632104,372965230,239666874,160090835,97300591
2009,5841670725,4250048559,1591622166,0,3579740582,1986950715,1592789867,2261930144,5000,75384180,0,0,-215057083,-120924217,704529207,400,29433672,0,0.86,-15.60,-42.63,-87.45,1.23,213.90,158.26,1.06,17.90,0.50,6.60,1.03,2.75,0.43,329,29725,114.87,1.27,1.05,40.55,1.50,28.57,21.94,2705396170,2221201875,484194295,334084548,150109747,78241115,23334012
