구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,155749871,51518760,104231112,0,88472439,68119254,20353185,67277432,500,12000000,0,0,178072592,152287359,25785232,11474099,14311133,11895857,8818643,16212282,-8560438,-6249189,125,1460703,16.56,8.04,4.95,19.53,27.93,15.85,8.44,75.63,131.50,1.60,14.48,1.26,22.28,13.73,10.12,6.23,735,5897,10.61,1.32,0.53,6.34,13.33,9.02,6.37
2010,277214095,94549277,182664818,0,172088473,115698083,56390389,105125622,500,12000000,0,0,314416591,283327916,31088675,18589779,12498896,12393745,7939891,8650006,-30335310,22533772,125,1446812,16.63,3.98,2.53,0,0,0,4.48,81.72,163.70,1.56,9.89,0,0,0,0,0,725,9010,11.03,0.89,0.31,6.02,0,14.16,8.96
2011,279778498,104710299,175068199,0,185435559,118672766,66762793,94342939,500,20000000,0,0,349865958,321181218,28684740,20773741,7910999,2607326,-4238463,1954525,-7765648,9374986,40,779000,0,2.26,-1.21,11.27,-36.71,적전,1.91,88.23,196.55,1.59,8.20,1.26,7.93,-4.25,2.84,-1.52,-175,4924,0,0.51,0.14,9.39,2.33,17.88,8.43
2012,256116546,94368269,161748277,0,161019142,107886842,53132300,95097404,500,20000000,0,0,323139219,288819288,34319931,23511700,10808231,8262671,3020778,13317518,-10868378,-4310100,50,955000,21.52,3.34,0.93,-7.64,36.62,흑전,2.29,87.47,169.32,1.54,10.62,1.21,11.41,3.19,4.03,1.13,222,4988,14.60,0.65,0.20,4.77,5.24,12.93,7.01
2013,281176828,107068198,174108630,0,180802222,106114862,74687361,100374606,500,20000000,0,0,315540782,283412152,32128630,24637950,7490680,8053798,6672848,5904946,-15179084,15906317,50,954828,14.73,2.37,2.11,-2.35,-30.69,120.90,1.75,100.90,180.13,2.13,10.18,1.17,7.66,6.83,2.79,2.48,324,5249,7.25,0.45,0.15,3.06,4.00,17.94,8.20
2014,284509068,101921694,182587373,0,185773215,134292951,51480265,98735853,500,20000000,0,0,296429999,269933624,26496375,23058899,3437477,2901805,2146239,4571994,-7397162,2821284,50,953761,49.28,1.16,0.72,-6.06,-54.11,-67.84,0.83,75.90,188.15,2.18,8.94,1.05,3.45,2.16,1.22,0.76,97,5285,23.66,0.43,0.15,4.11,1.54,40.03,10.88
2015,322133044,127398338,194734706,0,219685550,156519621,63165929,102447494,500,20346698,0,0,379284313,334485426,44798886,36738430,8060456,7421712,4397133,27285241,-13708194,-12693402,60,1173421,19.91,2.13,1.16,27.95,134.49,104.88,1.54,81.39,214.44,1.44,11.81,1.25,8.01,4.37,2.66,1.45,292,5386,14.31,0.78,0.22,5.00,2.66,24.13,10.21
2016,338806894,149460013,189346882,0,238205919,177962567,60243352,100600975,500,20555553,0,0,394613663,345176463,49437200,36878546,12558654,3020883,1001290,8932682,-7222726,5922322,50,986380,72.83,3.18,0.25,4.04,55.81,-77.23,2.69,83.98,236.78,1.60,12.53,1.19,12.37,0.99,3.80,0.30,66,5040,47.13,0.62,0.16,6.34,2.10,14.72,8.69
2017,334475766,149118182,185357583,0,216380070,163876919,52503151,118095695,500,22088547,0,0,464770982,408303984,56466998,38261602,18205396,16860187,12380226,24271921,-8558734,-17641184,70,1541580,12.58,3.92,2.66,17.78,44.96,1136.43,4.23,90.99,183.22,1.24,12.15,1.38,16.65,11.32,5.41,3.68,581,5300,9.74,1.07,0.26,5.15,6.70,11.70,7.32
2018,330426200,133932731,196493469,0,209577401,151618722,57958679,120848799,500,22088547,0,0,437052443,388139968,48912475,35904610,13007865,5601198,4030996,18290046,-20945362,-4795536,50,1078909,26.90,2.98,0.92,-5.96,-28.55,-67.44,2.76,88.34,173.42,1.47,11.19,1.31,10.89,3.37,3.91,1.21,182,5394,18.70,0.63,0.17,5.05,4.61,13.73,7.48
