구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,3153046911,2013471080,1139575831,0,2498600593,2011919755,486680838,654446318,5000,38760000,0,0,492397051,-82808875,-446845450,200,7731850,8.27,1.80,0.93,-8.32,-10.40,166.16,3.84,100.08,381.79,0.66,5.76,2.99,30.35,15.73,5.39,2.79,2411,17237,12.55,1.75,0.11,10.65,17.28,10.35,9.50,10325580887,9730836584,594744304,408846573,185897731,126410530,96340643
2010,4305503279,2801986337,1503516943,0,3274035428,2665862608,608172820,1031467852,5000,38760000,0,0,29992714,-83233821,69430973,350,13530737,4.24,1.66,2.25,0,0,0,6.17,105.11,317.42,0.91,4.65,0,0,0,0,0,8236,26686,4.69,1.45,0.10,4.13,0,11.61,9.82,14386135704,13717201915,668933789,430080634,238853155,413539793,324224008
2011,4941008405,3113824021,1827184384,0,3586128932,2801638264,784490668,1354879473,5000,38760000,0,0,216226362,-162826890,132693563,500,19330000,7.80,1.16,1.87,-2.78,-31.96,-19.26,3.40,111.14,264.68,1.06,4.50,3.03,13.62,21.94,3.52,5.66,6393,34580,7.38,1.36,0.13,5.73,8.30,18.81,13.07,13986834138,13357450399,629383739,466856436,162527303,372426501,261782349
2012,4957521910,2935562557,2021959353,0,3341908847,2423238519,918670328,1615613063,5000,38760000,0,0,456438040,-261891497,-45113217,500,19330000,8.72,1.61,1.79,-8.53,26.43,-12.42,3.96,121.14,206.85,1.03,4.81,2.58,13.84,15.44,4.15,4.63,5720,37919,8.45,1.28,0.15,6.84,10.66,13.60,10.85,12793756148,12178104861,615651287,410164243,205487044,299935874,229271751
2013,4877002582,2799016679,2077985903,0,3263505471,2245307687,1018197784,1613497110,5000,38760000,0,0,-173501606,-235248392,239289189,300,11597775,24.08,0.81,0.37,-5.64,-52.17,-80.77,2.11,124.66,202.26,1.04,4.06,2.46,6.09,2.73,2.00,0.90,1242,38101,23.14,0.75,0.09,6.70,3.56,23.91,10.86,12072685790,11582846878,489838913,391553714,98285199,74462769,44089940
2014,4896827844,2830186504,2066641340,0,3331596561,2352147332,979449229,1565231283,5000,38760000,0,0,348366137,-23042147,-237003574,300,11597775,0,1.51,-0.12,-5.80,74.97,적전,3.81,120.32,212.85,1.05,4.39,2.33,10.82,-0.87,3.52,-0.28,-340,36834,0,0.78,0.10,21.21,-11.17,12.91,9.34,11372192850,10873218364,498974486,327000349,171974137,12632937,-13774775
2015,5383467294,3074134953,2309332341,0,3840152672,2589073721,1251078950,1543314623,5000,38760000,0,0,297706829,-277642355,27629445,200,7731850,0,0.62,-1.64,16.29,-52.50,적지,1.69,118.73,248.83,0.59,3.88,2.57,5.26,-13.97,1.59,-4.22,-6074,30967,0,1.09,0.10,0,4.60,34.04,20.37,13224458801,12710715011,513743790,432051899,81691891,-215239779,-217094759
2016,5177266513,2671936984,2505329529,0,3531908415,2098319719,1433588696,1645358098,5000,38760000,0,0,230322361,-217987528,-237717858,250,9664812,16.62,1.45,0.71,-9.51,113.09,흑전,4.00,127.34,214.66,0.85,6.23,2.27,10.92,5.32,3.30,1.61,1500,32246,19.50,0.91,0.09,10.10,5.47,15.23,11.62,11966717412,11220847480,745869932,571796193,174073739,133179798,84750676
2017,4967601556,2554249852,2413351705,0,3382141121,2130330307,1251810813,1585460436,5000,38760000,0,0,180614330,-10204115,-66881154,250,9664812,16.05,1.65,0.69,7.19,21.93,4.05,4.00,119.90,213.32,0.92,5.85,2.53,13.14,5.46,4.18,1.74,1553,30840,17.48,0.88,0.08,7.53,5.30,11.43,8.31,12827237444,12076656118,750581325,538326980,212254345,177891494,88184961
2018,5038072461,2558402868,2479669593,0,3488534828,2167354737,1321180092,1549537633,5000,38760000,0,0,30788924,-69267902,-7318335,250,9664812,0,1.66,-0.36,-22.13,-21.95,적전,3.32,118.04,225.13,1.63,7.12,2.00,10.57,-2.30,3.31,-0.72,-1815,29140,0,0.53,0.06,365.43,-1.95,12.56,8.76,9988224866,9277167228,711057638,545398288,165659350,156595379,-35991404
