구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,2464900272,922129268,1542771004,0,2386662909,1963859008,422803902,78237363,5000,12500000,0,0,-226238971,-160977230,541497041,0,0,0,6.57,-14.09,2.18,-39.74,적지,2.24,46.95,3050.54,0,9.94,0.63,182.84,-391.73,4.16,-8.91,-40070,6259,0,0,0,0,0,2.15,1.66,1772597107,1596482062,176115046,59568580,116546465,-248869581,-249695256
2010,2205958671,1072973542,1132985129,0,1856596530,1487945572,368650957,349362141,1000,69500000,0,0,281966196,155181508,-295729400,0,0,0,13.94,10.96,0,0,0,7.01,72.11,531.42,0,17.19,0,0,0,0,0,3207,5027,0,0,0,0,0,0.00,0.00,1831761731,1516919528,314842203,59428936,255413267,272327307,200705700
2011,2049817947,993824779,1055993168,0,1476134215,1216980979,259153236,573683732,1000,69500000,0,0,147638091,-37154728,-128477871,0,0,0,14.91,11.20,9.59,17.21,11.99,20.47,81.66,257.31,0,18.24,0.94,64.86,48.70,14.07,10.56,3234,8254,3.63,1.42,0.41,3.24,0,2.73,2.50,2007408808,1641314824,366093984,66734507,299359477,296886657,224775863
2012,1786202789,641107650,1145095139,0,1038431336,717758283,320673053,747771453,1000,69500000,0,0,-188836016,-45171886,3570847,0,0,0,5.06,13.81,-31.32,-76.69,-15.30,7.04,89.32,138.87,0,11.25,0.72,10.56,28.81,3.64,9.93,2739,10759,3.14,0.80,0.43,2.74,55.64,8.57,6.15,1378777833,1223596496,155181337,85415010,69766327,208033724,190379558
2013,1662608607,489182921,1173425685,0,872571145,538142917,334428228,790037462,1000,69500000,0,0,-60044666,6839553,-41704,0,0,0,0.10,-0.70,-46.05,-98.97,적전,0.05,90.90,110.45,0,7.08,0.43,0.09,-0.68,0.04,-0.30,-75,11367,0,0.78,0.83,28.87,0.21,928.82,24.58,743878585,691241405,52637180,51915831,721350,-5298095,-5236332
2014,1540296588,437417145,1102879442,0,839594911,529674787,309920124,700701677,1000,69500000,0,0,-85536183,96415405,-7660359,0,0,0,-4.45,-4.75,19.49,적전,적지,0,82.58,119.82,0,0.19,0.56,-5.31,-5.67,-2.47,-2.64,-608,10082,0,0.63,0.50,0,-7.32,0,0,888825955,887155077,1670878,41267308,-39596430,-51626801,-42230894
2015,1406041511,444332008,961709503,0,831368789,530319316,301049472,574672722,1000,69500000,0,0,-44145127,14886352,29606369,0,0,0,-9.19,-18.08,-21.96,적지,적지,0,83.79,144.67,0,-0.17,0.47,-10.00,-19.67,-4.33,-8.52,-1805,8269,0,0.39,0.32,0,-11.14,0,0,693645086,694797317,-1152231,62601346,-63753577,-165703896,-125442489
2016,1356449525,429877936,926571589,0,822184664,672775012,149409651,534264862,1000,69500000,0,0,4541870,41425559,-18650766,0,0,0,0.53,-22.57,15.75,흑전,적지,0.29,63.90,153.89,0,5.19,0.58,0.76,-32.68,0.31,-13.12,-2608,7687,0,0.43,0.28,0,1.10,102.06,18.02,802916583,761285101,41631482,37394208,4237274,-187794074,-181226463
2017,1231347087,318257476,913089611,0,688177158,526315397,161861761,543169929,1000,69500000,0,0,-69384651,12650774,56612263,0,0,0,1.75,-1.35,-4.24,218.07,적지,0.81,60.47,126.70,0,7.15,0.59,2.50,-1.92,1.04,-0.80,-149,7815,0,0.47,0.33,34.96,7.25,38.80,16.79,768870297,713895000,54975297,41497874,13477423,-4892422,-10343240
2018,743406486,281842030,461564456,0,512377526,490257811,22119715,231028961,1000,32947142,0,0,18438513,-14754521,-16112716,0,0,0,-6.91,-3.65,-33.50,적전,적지,0,57.49,221.78,0,0.36,0.52,-9.13,-4.83,-3.58,-1.89,-385,7013,0,0.75,0.50,0,-5.61,0,0,511302114,509442436,1859678,37186677,-35327000,-29589715,-18680216
