구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,158378395,67219989,91158406,0,90147622,71637739,18509883,68230772,500,70146898,0,0,2906529,-16147768,16739723,0,0,0,0.36,-8.71,-86.44,흑전,1.19,93.83,132.12,0,20.78,1.07,5.49,0.97,2.18,0.38,10,1009,291.58,2.82,1.20,19.96,0.63,67.59,17.99,165400318,131023241,34377076,31004603,3372474,3619135,593956
2017,150611300,65514987,85096313,0,96029335,82026535,14002800,54581965,500,65517274,0,0,22461738,-31198384,9919490,0,0,0,-7.61,16.88,132.24,적지,13.68,79.87,175.94,0,24.81,1.25,40.54,-22.49,17.14,-9.51,-214,870,0,5.74,1.78,0,37.25,14.09,11.32,181187121,136228689,44958433,20095528,24862904,-11529248,-13790199
2016,139536283,68248629,71287654,0,71472035,64472510,6999525,68064247,500,64331971,0,0,11328682,-9852948,1755263,0,0,0,-2.73,-21.37,흑전,적지,5.02,105.86,105.01,0,23.29,1.12,16.48,-6.51,7.76,-3.06,-65,1096,0,1.54,0.70,56.35,16.17,11.43,7.27,155021724,118914897,36106827,25401035,10705791,-3766582,-4227122
2015,136460733,63596245,72864488,0,74574258,66967235,7607024,61886475,500,64331971,0,0,7121069,-15987383,11285952,0,0,0,-17.93,-50.97,적전,적지,0,94.97,120.50,0,3.06,1.13,-30.43,-47.62,-12.92,-20.23,-542,1231,0,1.02,0.40,0,-26.47,0,0,197144903,191104045,6040858,28620917,-22580059,-33340477,-35339276
2014,212951842,144547607,68404234,0,126431371,118725031,7706340,86520470,500,58198999,0,0,12043853,11503159,-20222859,0,0,0,-1.08,-4.37,-61.44,적전,1.06,121.75,146.13,0,8.85,1.79,3.52,-4.95,1.37,-1.93,-82,1813,0,0.90,0.24,20.47,3.86,37.79,9.36,402101768,366496510,35605258,32522923,3082335,-3557773,-4326271
2013,236351671,134938426,101413245,0,147951167,139173988,8777179,88400504,50,56487275,0,0,7659554,-8465939,-3942287,0,0,0,0.82,-22.43,170.64,흑전,2.08,96.96,167.36,0,7.51,1.75,9.47,4.09,3.32,1.44,85,1904,21.99,0.98,0.25,7.34,4.84,19.65,8.99,420459991,388900934,31559057,23566266,7992791,5369572,3455621
2012,244751333,144346008,100405325,0,164374217,155932570,8441647,80377116,500,55837831,0,0,3706209,-6880218,-11560695,0,0,0,-5.47,37.52,-69.71,적전,0.47,92.57,204.50,0,6.32,2.29,3.74,-37.56,1.25,-12.51,-595,1831,0,1.12,0.19,0,2.50,56.08,14.22,542011621,507771248,34240373,31287128,2953243,-32783663,-29634509
2011,229169053,152371128,76797925,0,151747014,141452892,10294122,77422039,500,37142129,0,0,24436738,-12322539,9711037,0,0,0,0.60,48.12,흑전,흑전,2.02,107.72,196.00,0,8.80,1.94,14.76,3.58,4.79,1.16,81,2127,26.82,1.02,0.19,9.79,8.86,11.08,7.34,394141996,359441771,34700225,24950238,9749987,2914703,2363491
2010,177772954,95961675,81811279,0,123077526,113235611,9841915,54695429,500,28874223,0,0,-8584300,-20247958,38793854,0,0,0,-8.95,0,0,0,0,84.75,225.02,0,6.34,0,0,0,0,0,-975,1935,0,2.24,0.39,0,0,0,79.64,266097690,249220804,16876886,21312733,-4435847,-23825974,-23814388
2009,233706131,99865889,133840241,0,179505986,122005349,57500637,54200145,500,19603958,0,0,-4231638,-30983618,34111215,0,0,0,0.52,85.52,적전,-54.94,0,81.85,331.19,0,8.00,1.32,-17.71,2.49,-4.84,0.68,64,2737,96.30,2.24,0.50,18.41,-9.18,0,0,210940927,194070900,16870028,24622492,-7752465,-13595471,1090290
