구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6831486,6824986,6500,0,6973742,6784812,188930,-142256,0,0,0,0,0,0,0,2793877,-2793877,-1944027,-1944027,-5116808,8381851,-3264258,0,0,0,0,0,0,0,0,100.59,완전잠식,0,0,0,0,0,0,0,-1197,152,0,0.39,0,0,0,0,0
2002,15482005,2299365,13182640,0,17523554,17375161,148393,-2041549,500,16240000,0,0,2996418,3157056,-160639,578291,-738930,-316280,-316280,-214418,917158,-666950,0,0,0,-10.56,-64.77,적지,적지,0,13.23,완전잠식,0,-5.36,0.17,완전잠식,완전잠식,-4.19,-1.80,-19,-102,0,0,12.68,0,-31.08,0,0
2002,19756544,10034050,9722494,0,19295045,19141918,153127,461499,500,16240000,0,0,8506223,8420596,85626,986692,-901066,-183321,-183321,-950695,780403,245810,0,0,0,-2.16,0,적지,적지,0,52.42,4180.95,0,1.01,0.44,-162.89,-33.14,-4.65,-0.95,-11,52,0,30.26,3.03,251.97,-37.96,0,0
2001,19022081,10353152,8668929,0,18377261,18310860,66402,644819,500,16240000,0,0,0,0,0,497012,-497012,-192215,-192215,-192215,21495914,-11604282,0,0,0,0,-100.00,적지,적지,0,56.54,2849.99,0,0,0.00,-53.19,-20.57,-1.70,-0.66,-12,64,0,39.27,0,207.32,0,0,0
