구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,130714616,18300585,112414030,0,27530442,18417507,9112935,103184174,1000,21900000,0,0,-984726,-2245307,-2256106,30,616624,0,-6.99,-16.90,적전,적전,0,99.37,26.68,0.94,-1.61,0.45,-4.93,-4.05,-3.82,-3.13,-196,4795,0,0.67,1.14,7.44,-3.51,0,9.90,61278284,62265419,-987135,4237231,-5224367,-5445195,-4286227
2017,142796539,17358087,125438451,0,34056032,17670896,16385136,108740507,1000,21900000,0,0,29415640,-5695784,-17078706,50,1027706,0,11.18,-12.17,17.34,60.18,20.70,98.23,31.32,1.14,19.40,0.49,9.01,7.84,6.32,5.50,376,5048,11.68,0.87,1.31,4.50,5.86,11.13,4.66,73738393,59432222,14306171,4837879,9468292,10560371,8242548
2016,156993480,25210537,131782942,0,55572675,31294801,24277874,101420805,1000,21900000,0,0,10071509,-8464452,-4359706,50,1027706,0,6.13,26.41,30.70,24.15,14.20,80.56,54.79,1.01,14.96,0.53,8.14,5.19,5.09,3.24,235,4714,20.98,1.05,1.29,6.11,4.67,17.56,6.88,83959506,71398915,12560591,4491731,8068860,6730989,5145918
2015,160313879,25044672,135269207,0,63518025,34273797,29244228,96795854,1000,21900000,0,0,16294984,-74682566,31645005,50,1027706,0,6.24,-13.35,-42.71,-54.04,151.60,73.07,65.62,0.91,16.05,0.49,6.42,4.31,4.54,3.05,189,4503,28.95,1.22,1.81,10.29,5.52,24.80,11.18,66418207,55758690,10659517,4486179,6173339,4786189,4144955
2014,111876658,43480905,68395753,0,16455081,10981668,5473413,95421578,1000,21900000,0,0,16790911,-5171266,-4726493,120,2466495,0,11.76,-7.24,31.74,46.73,5310.39,395.94,17.24,2.34,20.50,0.67,11.73,9.82,9.47,7.92,412,4440,12.46,1.16,1.47,7.18,12.50,10.43,6.45,76652943,60937875,15715068,4940283,10774785,11830179,9017881
2013,115781500,46639693,69141807,0,27448621,21332071,6116550,88332879,1000,21900000,0,0,32792053,-614486,-12442085,117,2404833,0,7.44,19.94,-17.49,-22.71,66.69,218.64,31.07,2.81,15.76,0.73,9.45,7.10,7.25,5.45,281,4117,14.84,1.01,1.10,7.07,7.40,11.15,6.11,82640020,69616598,13023422,4844611,8178811,8472906,6146031
2012,109787421,34652451,75134970,0,25036949,19542010,5494939,84750472,5000,4380000,0,0,4882085,-6836369,-12086789,500,2055000,0,11.54,-38.18,-4.92,18.68,23.28,177.32,29.54,3.79,20.31,0.58,12.10,9.71,8.37,6.71,1816,19765,7.27,0.67,0.84,4.06,9.25,6.72,4.11,68900018,54905426,13994592,4081538,9913053,9812179,7951921
2011,127062884,56697800,70365084,0,48004272,35219631,12784641,79058613,5000,4380000,0,0,13790685,-17603400,3842974,500,2055000,0,6.01,56.64,39.59,-18.11,12.92,160.98,60.72,3.79,12.76,0.96,13.74,8.83,8.95,5.75,1530,18465,8.63,0.71,0.52,5.07,10.58,5.70,3.93,111453207,97226514,14226692,3800354,10426338,9496615,6700080
2010,106037501,52654780,53382721,0,33366713,20987681,12379031,72670788,5000,4380000,0,0,5975940,-7673457,-12206103,250,292706,0,11.50,0,0,0,14.76,250.88,45.91,1.22,14.42,0,0,0,0,0,1868,17007,11.00,1.21,1.26,7.91,0,12.05,8.44,71153582,60891330,10262252,2793064,7469188,9223220,8182033
2009,101700366,54852556,46847810,0,35687909,15304607,20383301,66012457,5000,4380000,0,0,29185132,5246792,-9075706,500,1320413,0,14.55,-25.89,-22.55,1019.68,5.41,358.41,54.06,3.29,17.48,0.57,11.57,13.98,6.88,8.31,1946,15487,7.81,0.98,1.14,4.14,12.11,9.44,4.56,58577917,48337166,10240751,3185880,7054871,8991326,8525627
