구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,45989025,27975716,18013309,0,7383515,7170847,212669,38605510,500,59269423,0,0,33209392,26341388,6868004,4399536,2468468,-5711418,-5711418,4911247,-20885439,23386394,0,0,0,7.43,-17.20,0.54,424.37,적지,5.63,390.13,19.13,0,20.68,0.86,9.41,-21.77,6.37,-14.74,-173,651,0,1.09,0.71,0,39.46,17.05,15.37
2010,56447883,38909165,17538717,0,14498032,13985997,512035,41949851,500,60288036,0,0,50648832,38964426,11684406,7332975,4351431,3673387,3492823,3245073,-7166940,405530,0,0,0,8.59,6.90,0,0,0,42.16,278.20,34.56,0,23.07,0,0,0,0,0,56,684,9.59,0.78,0.63,8.18,0,7.57,6.68
2011,64585941,49628145,14957796,0,17446734,16346363,1100371,47139206,500,60288036,0,0,56869524,43250864,13618660,8544174,5074486,7606363,7579784,8815829,7481387,-3430560,0,0,0,8.92,13.33,12.28,16.62,117.01,861.84,303.60,37.01,0,23.95,0.94,11.39,17.02,8.39,12.53,124,796,4.43,0.69,0.58,4.12,38.13,6.52,5.87
2012,404172271,215068005,189104266,0,338453129,297217507,41235621,65719142,500,92888101,0,0,84221148,71070425,13150723,10903294,2247429,2875205,2585765,28439799,15832168,-14241529,0,0,0,2.67,3.07,48.10,-55.71,-65.89,21.72,72.36,515.00,0,15.61,0.36,3.98,4.58,0.96,1.10,42,721,13.46,0.78,0.44,10.64,0,23.27,17.54
2013,421979627,233265550,188714077,0,344201387,307727731,36473655,77778241,500,92888101,0,0,97953874,78695429,19258444,12424732,6833712,9759840,10308723,-33553655,-9177348,12509442,0,0,0,6.98,10.52,16.31,204.07,298.67,109.89,75.80,442.54,0,19.66,0.24,9.52,14.37,1.65,2.50,112,838,7.89,1.06,0.84,7.15,0,12.05,10.41
2014,467464220,340166320,127297900,0,369677840,307364790,62313050,97786380,500,92888101,0,0,203079435,162650941,40428494,16661615,23766879,22624164,20680303,21033146,9683838,-11344464,0,0,0,11.70,10.18,107.32,247.79,100.61,128.12,110.67,378.05,0,19.91,0.46,27.07,23.56,5.34,4.65,223,1054,9.99,2.12,1.02,9.25,190.99,8.71,8.15
2015,763416472,526857785,236558687,0,610860373,524986835,85873537,152556099,500,93583753,0,0,171435340,125857935,45577405,18445150,27132254,34088770,31607294,-173257765,-2130627,184169583,0,0,0,15.83,18.44,-15.58,14.16,52.84,55.87,100.36,400.42,0,26.59,0.28,21.68,25.25,4.41,5.14,339,1401,4.75,1.15,0.88,4.35,47.47,6.34,5.72
2016,1435888879,866702881,569185998,0,1241378664,1090248240,151130424,194510215,1000,46791876,0,0,283866008,187306244,96559765,26334287,70225478,80311093,67290611,-317019308,116282195,267830672,0,0,0,24.74,23.71,65.58,158.83,112.90,108.32,79.50,638.21,0,34.02,0.26,40.47,38.78,6.39,6.12,1452,4256,4.55,1.55,1.09,4.30,0,4.40,4.16
2017,2043693616,1476179618,567513998,0,1749446017,1595011278,154434739,294247599,1000,47748397,0,0,397628354,248743981,148884373,26994055,121890318,118883314,100182154,-524389188,-18038867,494861214,0,0,0,30.65,25.19,40.08,73.57,48.88,806.33,92.55,594.55,0,37.44,0.23,49.88,40.99,7.01,5.76,2098,6349,5.84,1.93,1.47,5.69,0,4.80,4.70
2018,2842816258,2088914182,753902077,0,2411139081,2131231409,279907673,431677177,1000,47748397,0,0,484381840,274399147,209982693,34180051,175802642,180984428,136605171,-433268402,-110460337,602731420,0,0,0,36.29,28.20,21.82,44.23,36.36,143.14,98.01,558.55,0,43.35,0.20,48.44,37.64,7.20,5.59,2861,9188,6.24,1.94,1.76,6.16,99.35,4.88,4.83
