구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,15195794,8241203,6954591,0,6458011,2078373,4379638,8737783,500,3680381,0,0,13383195,1163914,12219281,12436545,-217264,-532686,-532686,767601,-343799,137095,0,0,0,-3.98,45.33,적전,적지,0,396.52,73.91,0,91.30,0.84,-2.47,-6.06,-1.37,-3.36,-146,2374,0,4.36,2.82,0,-3.19,0,2882.26
2017,16549471,10299740,6249731,0,7697256,3434678,4262578,8852215,500,3609398,0,0,9208851,0,9208851,8805004,403846,-3179090,-3179090,808371,-2908407,2800000,0,0,0,-34.52,9.35,-3.49,적전,6.39,299.87,86.95,0,100.00,0.59,3.87,-30.43,2.60,-20.46,-881,2453,0,3.83,3.68,0,6.55,67.50,43.58
2016,14528343,8655385,5872958,0,2485559,1372719,1112839,12042784,500,3609398,0,0,8421640,0,8421640,8003208,418432,180109,159825,2109207,-6907046,5389085,0,0,0,1.90,0.57,30.84,-49.87,11.64,630.53,20.64,0,100.00,0.76,4.74,1.81,3.77,1.44,55,3337,0,0,0,0,7.12,0.00,0.00
2015,7681023,1820140,5860883,0,2057994,1111215,946779,5623030,500,2900000,0,0,8373715,0,8373715,8053917,319798,318836,318836,2822326,-2807940,-200000,0,0,0,3.81,16.78,16.63,12.90,7.90,163.80,36.60,0,100.00,1.13,5.85,5.84,4.30,4.29,110,1939,0,0,0,0,6.05,1.82,0.48
2014,7191885,3519417,3672468,0,1887692,1274134,613558,5304193,0,0,0,0,7170745,0,7170745,6896539,274206,282405,282405,776381,712945,-1200000,0,0,0,3.94,0,0,0,3.76,276.22,35.59,0,100.00,0,0,0,0,0,97,1829,0,0,0,0,0,1.17,0.30
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
