구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,126234896,54559369,71675527,0,57536743,48199752,9336992,68698153,1000,18057107,0,0,13248711,-6432264,-5682532,50,858534,0,2.03,-12.67,28.19,110.16,3.65,113.19,83.75,1.17,45.33,0.84,4.82,3.20,2.55,1.69,121,3938,35.17,1.08,0.72,15.63,2.90,30.52,16.64,107681163,58871967,48809196,45522179,3287018,2830235,2182873
2017,131646346,59537269,72109078,0,63868042,50577481,13290561,67778304,1000,17396596,0,0,786104,-5541624,892793,50,825639,0,0.84,2.18,-35.40,30.00,2.89,117.71,94.23,0.95,41.74,0.94,3.79,1.54,1.96,0.80,63,4033,83.94,1.31,0.74,24.55,1.46,49.22,24.24,123310224,71838725,51471500,48907323,2564176,2052692,1038655
2016,129455413,60437696,69017717,0,61936189,49931516,12004674,67519224,1000,16607318,0,0,16098589,-4944565,-5294417,60,947134,0,0.66,2.59,89.20,흑전,3.34,121.04,91.73,1.30,44.56,0.91,5.84,1.18,2.98,0.60,47,4191,98.93,1.10,0.63,20.90,1.91,26.84,15.54,120684006,66903453,53780552,49811287,3969266,1770440,798939
2015,136643778,66557405,70086373,0,68184899,32036508,36148391,68458879,1000,16607318,0,0,-5080184,-1745716,6707179,0,0,0,-5.00,-3.91,흑전,적지,1.53,207.75,99.60,0,44.86,0.93,3.52,-9.86,1.65,-4.63,-358,4175,0,0.91,0.54,0,8.19,48.52,18.66,117636992,64860724,52776268,50678376,2097892,-1681886,-5884459
2014,117508309,71913309,45595000,0,66655246,55559601,11095644,50853063,1000,15868708,0,0,-61110,-633786,400821,60,886332,0,-5.65,1.63,적전,적전,0,129.43,131.07,2.56,38.53,1.04,-2.61,-12.67,-1.21,-5.89,-437,3303,0,0.71,0.30,0,-2.13,0,31.26,122426377,75259686,47166691,48589645,-1422954,-5676129,-6917252
2013,117430860,70312423,47118436,0,59101938,31086590,28015348,58328922,1000,15438450,0,0,-4595893,-3420610,24704,40,573678,0,1.39,-4.98,흑전,흑전,0.75,226.18,101.33,2.12,39.66,1.04,1.84,2.94,0.90,1.44,138,3881,13.73,0.49,0.24,4.70,4.22,59.54,12.17,120461297,72687893,47773404,46726446,1046958,522341,1671940
2012,114924400,66706488,48217911,0,59572012,54077401,5494611,55352388,1000,15438450,0,0,1579979,-2249176,-1493499,0,0,0,-14.94,20.90,적전,적전,0,123.35,107.62,0,35.03,0.99,-22.60,-29.11,-11.47,-14.77,-1227,3666,0,0.75,0.34,0,-20.88,0,0,126768061,82361182,44406878,59114772,-14707894,-15835866,-18940026
2011,141614775,91179750,50435025,0,66822188,30039771,36782416,74792587,1000,15021000,0,0,17385055,-872327,-7022953,50,696000,0,0.92,-20.59,-68.54,-77.34,1.86,303.53,89.34,2.15,42.72,0.74,3.49,1.30,1.82,0.68,62,5064,37.64,0.46,0.33,8.68,1.32,23.57,10.75,104857016,60064242,44792774,42197268,2595507,1878019,969526
2011,142910369,90450987,52459382,0,69038140,53732180,15305960,73872229,1000,14366900,0,0,-1729211,-2209604,5154916,80,1046000,0,3.24,0,0,0,4.38,168.34,93.46,3.40,44.31,0,0,0,0,0,295,5259,7.96,0.45,0.26,4.07,0,9.33,6.26,132045610,73540856,58504754,50254644,8250110,7729694,4279060
2010,133690700,78481764,55208936,0,61754635,25033496,36721139,71936065,1000,13626722,0,0,5977556,-11294882,5136469,90,1110000,0,5.60,0.76,-36.95,3.86,4.77,313.51,85.85,2.58,49.06,0.95,12.75,10.00,6.76,5.30,503,5425,6.92,0.64,0.39,3.81,6.54,9.96,6.08,122564775,62438044,60126731,51379932,8746798,8936668,6859001
