구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,56122698,34410478,21712221,0,16678693,16139355,539338,39444005,500,11952500,0,0,46502491,41573645,4928846,4198616,730230,969167,2065243,4214381,-892771,-640405,100,1195205,0,4.44,53.92,흑전,흑전,0,213.21,42.28,3.37,10.60,0.86,1.77,5.01,1.35,3.82,173,3300,17.16,0.90,0.76,8.78,15.99,48.53,13.11
2017,51895512,27032339,24863173,0,8812773,8399226,413547,43082739,500,11952500,0,0,30211608,30524643,-313035,4433472,-4746507,-4861254,-3637422,-2932294,-13087818,-2090409,100,786405,0,-12.04,-45.28,적전,적전,0,321.84,20.46,1.66,-1.04,0.53,-10.30,-7.89,-8.29,-6.35,-304,3605,0,1.67,2.39,0,-40.38,0,0
2016,62590715,48509623,14081091,0,13480144,12257921,1222223,49110570,500,11952500,0,0,55214248,42825657,12388592,4233423,8155169,8538759,7932233,18792962,-5487995,-1912327,200,2390409,0,14.37,5.26,30.85,25.20,0,395.74,27.45,2.89,22.44,0.89,17.69,17.21,13.10,12.74,664,4109,10.44,1.69,1.50,8.51,58.12,10.16,8.32
2015,61895924,52052482,9843442,0,18805260,17056714,1748546,43090664,500,12352500,0,0,52454026,42255327,10198699,3966020,6232679,6663639,6335468,-749277,4199298,-1434246,160,1912327,0,12.08,30.54,104.83,66.01,0,305.17,43.64,2.94,19.44,0.93,15.34,15.59,10.99,11.18,530,3605,10.28,1.51,1.24,8.54,45.11,10.45,8.66
2014,51485260,42385493,9099767,0,13295817,10935438,2360379,38189442,500,11952500,0,0,40183859,33253059,6930801,3887925,3042876,3639122,3816289,11659941,-2850020,-1792807,120,1434246,0,9.50,-5.08,-52.87,-38.51,0,387.60,34.82,2.93,17.25,0.82,8.18,10.26,6.19,7.76,319,3195,12.83,1.28,1.22,9.34,27.75,16.09,10.95
2013,46845597,39222682,7622915,0,10679637,10564044,115593,36165960,500,11952500,0,0,42332466,32121244,10211222,3754230,6456992,6599547,6206511,5006284,-5314894,2244813,150,1792807,0,14.66,19.42,13.79,12.98,0,371.28,29.53,5.51,24.12,1.01,20.08,19.30,15.41,14.81,519,3026,5.24,0.90,0.77,4.43,46.09,5.04,4.28
2012,36974500,29307448,7667052,0,8833574,8177086,656488,28140925,500,8537500,0,0,35449455,25894874,9554581,3879894,5674687,6042176,5493420,4818768,132919,-1193047,180,1393000,0,15.50,26.13,385.25,162.83,241.55,358.41,31.39,5.34,26.95,1.04,21.80,21.11,16.68,16.14,643,3519,5.24,0.96,0.81,4.38,47.50,5.07,4.26
2011,31083818,22869515,8214303,0,7172940,6801522,371418,23910878,500,8537500,0,0,28105315,23434925,4670390,3500942,1169448,1712315,2090084,-1606066,3831873,-2528789,150,1161000,0,7.44,-1.73,-63.53,-47.49,0,336.24,30.00,4.95,16.62,0.89,4.87,8.71,3.68,6.58,238,3023,12.76,1.00,0.95,9.44,20.55,22.12,13.60
2010,32420047,26241086,6178961,0,8331101,7634135,696967,24088946,500,8937500,0,0,28600476,21810699,6789777,3583573,3206204,3766750,3980698,10131405,-6661846,-2895272,180,1465439,0,13.92,0,0,0,0,343.73,34.58,6.20,23.74,0,0,0,0,0,445,2908,6.52,1.00,0.91,5.47,0,8.10,6.54
2009,30330572,25616875,4713697,0,6872452,6830963,41489,23458120,500,8937500,0,0,30782938,20335358,10447580,3240381,7207200,7604110,7045167,4149138,-2089835,-829566,250,2093075,0,22.89,9.69,162.75,192.26,2277.88,375.01,29.30,6.57,33.94,1.18,35.41,34.61,27.74,27.12,788,2736,4.83,1.39,1.10,4.22,92.20,4.72,4.14
