구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2018,100,508740,0,6.83,9.32,-97.05,흑전,0.03,76.35,128.59,2.00,10.68,0.68,0.13,11.31,0.05,4.62,832,11186,5.99,0.45,0.34,3.59,0.07,1053.24,22.07,95096698,84941124,10155574,10078768,76806,6723710,6498480,-478482,5537195,-6301636,138722936,50844074,87878861,0,78035379,66589361,11446018,60687557,500,6453734,0,0
2017,80,216199,0,-9.95,1.97,-74.31,적전,1.47,74.45,162.95,1.52,13.86,0.64,4.39,-14.61,1.90,-6.33,-1024,10368,0,0.51,0.39,0,2.41,33.11,15.11,86988215,74928264,12059950,9460501,2599450,-9119795,-8653997,-4042405,-13358154,18358097,142665803,57519423,85146381,0,88410654,77255841,11154813,54255150,500,6453734,0,0
2016,80,508740,0,7.33,7.74,27.32,흑전,6.57,76.98,103.47,0.98,21.33,0.65,17.06,10.53,7.72,4.77,1086,11595,7.50,0.70,0.60,5.52,9.48,8.70,6.99,85305534,67109808,18195725,8075408,10120318,7041410,6251306,-2926987,3719794,-3704735,130677534,46861186,83816348,0,66453470,60875599,5577871,64224064,500,6453734,0,0
2015,0,0,0,-5.97,-9.84,44.90,적지,3.70,72.67,141.69,0,20.48,0.59,14.14,-8.41,5.97,-3.55,-366,11051,0,0.71,0.58,127.20,6.29,10.81,8.24,79179678,62967091,16212587,8263693,7948894,-6008772,-4724745,14175500,297432,-9438607,131611038,47164951,84446087,0,77156559,64902183,12254376,54454479,500,5831681,0,0
2014,0,0,0,-1.46,-12.30,-11.08,적지,2.03,58.79,132.66,0,17.25,0.64,9.40,-2.20,3.97,-0.93,42,11548,139.72,0.50,0.37,11.78,4.79,16.44,11.25,87819220,72667630,15151590,9665691,5485899,-1336125,-1281744,194786,-212381,-2151798,134833889,34220859,100613030,0,76881262,58210411,18670851,57952627,500,5657997,0,0
2013,200,1061102,0,-0.06,-61.41,58.27,적지,1.79,61.07,141.25,2.85,16.37,0.59,10.85,-0.11,3.62,-0.04,204,11969,34.41,0.59,0.38,10.28,-0.25,15.58,10.98,100141173,83751331,16389842,10220213,6169629,1366321,-63157,16745217,11073186,-37958654,141759008,38615073,103143934,0,82997746,63228487,19769260,58761261,500,5400000,0,0
2012,200,386302,0,-5.97,24.36,흑전,적지,0.45,70.55,261.79,2.67,6.83,1.35,6.26,-24.88,2.02,-8.03,-1948,11467,0,0.65,0.16,0,4.40,28.77,12.83,259492832,241771181,17721651,13823449,3898201,-11028342,-15489431,9524795,-18478688,16620812,199041588,95681769,103359819,0,144025977,135623975,8402002,55015611,500,5400000,0,0
2011,200,1061000,0,-3.75,159.29,적전,적전,0,73.69,168.74,3.35,3.34,1.30,-5.09,-10.60,-2.34,-4.88,-728,13278,0,0.45,0.15,153.51,-4.81,0,272.22,208655295,201681794,6973501,10729113,-3755612,-5421100,-7826140,-32186195,-11876308,45202089,186778914,76400192,110378722,0,117278005,103675634,13602372,69500909,500,5400000,0,0
2010,200,386302,0,8.79,0,0,0,13.61,89.32,71.57,2.33,22.32,0,0,0,0,0,1349,14138,6.36,0.61,0.57,4.98,0,7.98,6.63,80472072,62507124,17964948,8126375,9838573,9019759,7076068,13841567,-52861104,41240453,134132531,33027812,101104718,0,55952864,36976445,18976420,78179666,500,5400000,0,0
2009,0,0,0,10.62,8.69,155.03,91.24,12.51,176.33,59.29,0,26.90,1.21,39.56,24.35,20.88,12.85,2009,9256,0,0,0,0,19.00,0.76,0.57,75671765,55319763,20352002,7293630,13058372,11245148,8036969,16042099,3550219,-22248090,58975209,19648166,39327044,0,21950675,11143024,10807650,37024534,500,4000000,0,0
