구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,40851079,10738685,30112394,0,17236459,12136909,5099550,23614620,500,35264447,0,0,0,0,0,-7.51,-68.83,-15.60,적지,적지,0,88.48,72.99,0,22.36,0.41,-6.26,-57.40,-3.11,-28.53,-414,670,0,0.53,0.59,0,-14.70,0,0,13346205,10362270,2983935,3986510,-1002575,-9186106,-9186106,-3987611,-18821576,22986387
2010,91293751,47563684,43730067,0,54396121,39572906,14823215,36897630,100,39800000,0,0,0,0,0,1.29,-8.51,0,0,0,0.37,120.19,147.42,0,13.69,0,0,0,0,0,-149,708,0,0.29,0.12,0,0,38.10,13.14,61751391,53296646,8454744,7656852,797893,-5183161,-5254486,1049950,-13872966,15765136
2011,76044743,35570477,40474266,0,52352194,40877998,11474196,23692549,100,53736915,0,0,0,0,0,3.80,-98.65,-75.39,-27.59,적지,0.52,87.02,220.96,0,24.17,0.18,1.91,-49.49,0.69,-17.92,-172,415,0,0.25,0.33,0,4.70,22.43,7.08,15197462,11524581,3672881,3095100,577781,1051780,-14992301,688411,-1319435,2946733
2012,23718000,14965686,8752314,0,14159634,13642323,517311,9558366,100,88095042,0,0,0,0,0,5.42,-158.90,-17.45,17.68,적지,1.60,109.70,148.14,0,20.02,0.25,4.09,-119.90,1.36,-39.96,-211,134,0,0.97,0.76,0,19.46,14.16,6.26,12545430,10034240,2511189,1831248,679942,-600915,-19934634,-1699574,-6038810,1210460
2013,23227897,13687677,9540220,0,16531011,15913207,617804,6696887,100,35768667,0,0,0,0,0,-8.12,-31.09,78.91,적전,적지,0,86.01,246.85,0,5.22,0.96,-22.42,-85.85,-7.76,-29.73,-208,187,0,0.96,0.25,0,-37.63,0,0,22445094,21274416,1170678,2993223,-1822545,-2654224,-6977539,-615617,-2076621,2956306
2014,26825055,17640879,9184177,0,12939312,12282439,656872,13885743,100,135767667,0,0,0,0,0,-20.56,-24.71,0.57,적지,적지,0,143.63,93.18,0,-2.19,0.90,-45.09,-54.20,-18.54,-22.29,-62,103,0,1.23,0.50,0,-38.36,0,0,22572073,23066511,-494438,4145948,-4640386,-5577755,-5577755,-18768850,-1558729,20214159
2015,38509704,27442308,11067396,0,21453691,20649608,804084,17056013,100,152486194,0,0,0,0,0,4.80,2.05,32.95,흑전,흑전,1.60,132.90,125.78,0,17.84,0.92,9.30,3.97,4.41,1.88,4,112,52.94,1.95,1.08,27.17,7.79,24.79,17.68,30009587,24656571,5353016,3913617,1439399,614557,614557,3294453,-3584007,1783618
2016,59541799,45678071,13863727,0,20284261,14557006,5727255,39257537,100,252486194,0,0,0,0,0,5.06,0.89,23.47,30.28,-46.59,2.75,313.79,51.67,0,17.50,0.76,6.66,1.17,3.83,0.67,2,156,104.51,1.18,0.92,44.54,6.15,27.21,22.06,37052880,30567529,6485350,4610113,1875237,328218,328218,-20875665,-2893624,25503699
2017,98824540,69358966,29465574,0,58046567,47697879,10348688,40777973,100,355691714,0,0,0,0,0,-45.90,-74.59,-39.54,적전,적전,0,145.41,142.35,0,8.33,0.28,-25.69,-41.76,-12.99,-21.10,-57,111,0,1.54,2.20,0,-22.32,0,0,22401619,20535230,1866390,12148574,-10282184,-16710270,-16710270,-12078180,-26772737,35348203
2018,168541518,100162317,68379201,0,124241075,87216798,37024277,44300442,100,387734262,0,0,0,0,0,-17.44,10.18,87.87,적지,흑전,0,114.84,280.45,0,21.91,0.31,-17.25,10.07,-5.49,3.21,13,112,8.41,0.97,0.98,6.28,-16.39,0,0,42085005,32863139,9221866,16560523,-7338658,3893078,4285140,-3125014,-356843,9539260
