구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,33681677,15567061,18114616,0,16128069,12615600,3512470,17553607,500,10410000,0,0,24262412,22584320,1678092,6251334,-4573242,-5111442,-5322690,-9426147,-875854,-797320,0,0,0,-18.85,-21.94,-15.10,적지,적지,0,123.40,91.88,0,6.92,0.66,-22.76,-26.49,-12.39,-14.42,-511,1838,0,0.76,0.60,0,-31.55,0,0
2010,41709158,19010947,22698210,0,16669089,9449329,7219760,25040069,500,14780211,0,0,24469724,18391265,6078458,5545818,532640,152301,151843,-906970,-6530340,7328690,0,0,0,2.18,0.62,0,0,0,1.38,201.19,66.57,0,24.84,0,0,0,0,0,23,1768,61.06,0.79,0.72,17.44,0,43.69,18.56
2011,37123292,17688372,19434920,0,17465228,9855865,7609363,19658064,500,16045169,0,0,16514071,12469402,4044669,7699473,-3654805,-7149580,-7149580,-2473622,-1416413,3714502,0,0,0,-22.13,-43.29,-32.51,적전,적전,0,179.47,88.85,0,24.49,0.42,-16.35,-31.99,-9.27,-18.14,-445,1307,0,1.29,1.59,0,-17.53,0,0
2012,35593339,15599290,19994048,0,12165770,4827550,7338220,23427569,500,20833863,0,0,13825461,9396039,4429422,6498127,-2068705,-1067641,-991194,-760289,1249597,1519067,0,0,0,-14.96,-7.17,-16.28,적지,적지,0,323.13,51.93,0,32.04,0.38,-9.60,-4.60,-5.69,-2.73,-51,1184,0,2.11,3.13,0,-10.66,0,0
2013,41371872,22365999,19005874,0,11620009,8780831,2839178,29751863,500,23870395,0,0,19201448,11673492,7527956,6877823,650133,37772,263547,-804883,-1215545,4030355,0,0,0,3.39,1.37,38.88,흑전,흑전,1.59,254.71,39.06,0,39.21,0.50,2.45,0.99,1.69,0.68,17,1301,121.39,1.60,2.40,51.97,27.29,76.79,43.11
2014,37270443,20228415,17042028,0,13471338,5310495,8160843,23799105,500,25123581,0,0,9686174,6663728,3022447,7245997,-4223551,-7882868,-7944028,-6859544,-1998280,4442998,0,0,0,-43.60,-82.01,-49.55,적전,적전,0,380.91,56.60,0,31.20,0.25,-15.77,-29.67,-10.74,-20.20,-317,994,0,3.80,9.60,0,-24.34,0,0
2015,32740695,16154990,16585705,0,17074984,9433820,7641165,15665711,500,25385703,0,0,8789334,6695196,2094138,6643137,-4548999,-8072987,-9095210,-366499,-1829835,1497687,0,0,0,-51.76,-103.48,-9.26,적지,적지,0,171.25,109.00,0,23.83,0.25,-23.05,-46.09,-13.00,-25.98,-354,677,0,3.37,6.58,0,-30.08,0,0
2016,108089190,54192399,53896792,0,67185826,63749088,3436739,40903364,500,32760277,0,0,31060989,21336759,9724230,9604678,119551,-1623990,-8060460,-9000211,-12239450,24227577,0,0,0,0.38,-25.95,253.39,흑전,적지,0.03,85.01,164.26,0,31.31,0.44,0.42,-28.50,0.17,-11.45,-89,645,0,5.16,3.07,0,-0.05,1176.91,110.89
2017,41577329,34550901,7026429,0,21117972,20603793,514179,20459358,500,54241337,0,0,3953756,3365514,588242,6919536,-6331294,-53818464,-56159528,-3677894,-23935664,17082058,0,0,0,-160.13,-1420.41,-87.27,적전,적지,0,167.69,103.22,0,14.88,0.05,-20.64,-183.04,-8.46,-75.05,-1239,377,0,4.73,19.91,0,-27.04,0,0
2018,54124652,35559217,18565435,0,26450016,19836354,6613663,27674636,500,88908850,0,0,8888955,7498079,1390877,6392676,-5001799,-4121515,-6901342,-9686932,-10169948,20304308,0,0,0,-56.27,-77.64,124.82,적지,적지,0,179.26,95.57,0,15.65,0.19,-20.78,-28.68,-10.45,-14.42,-100,286,0,1.53,2.98,0,-39.99,0,0
