구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,35818677,16875307,18943371,0,3870441,2431958,1438484,31948236,500,8312766,0,0,-1798581,748118,-19145,0,0,0,-17.51,-4.90,적지,적지,0,693.90,12.11,0,3.41,0.67,-10.26,-13.06,-9.17,-11.67,-529,3841,0,0.62,0.78,0,-14.96,0,0,25683997,24807372,876626,4411699,-3535073,-4939807,-4497585
2017,41284657,22622967,18661690,0,4353547,3059995,1293552,36931110,500,8312766,0,0,1662599,-1614215,-241615,0,0,0,-14.28,-0.80,적지,적지,0,739.31,11.79,0,8.21,0.63,-4.58,-9.89,-4.15,-8.96,-430,4414,0,1.07,1.45,0,-6.93,0,0,27006640,24788248,2218392,4004010,-1785617,-4166149,-3856013
2016,44740847,23599897,21140950,0,3729830,2463584,1266246,41011017,500,8312766,0,0,-222760,161403,-966963,20,166255,0,-0.92,-23.94,적전,적전,0,957.95,9.09,0.29,11.49,0.59,-1.56,-0.60,-1.39,-0.54,-20,4885,0,1.41,2.11,55.27,-1.25,0,102.97,27223309,24095573,3127737,3774899,-647163,-523577,-249973
2015,48093349,25746560,22346788,0,5981137,5022071,959066,42112212,500,8312766,0,0,3357396,-5060315,-9731,80,665021,0,9.27,-21.73,-61.13,-60.01,166.99,512.67,14.20,1.17,22.43,0.74,9.92,8.11,8.39,6.86,421,4984,16.22,1.37,1.58,12.29,14.94,14.13,11.08,35793920,27764325,8029595,3969419,4060177,3945338,3319138
2014,48654440,24988492,23665948,0,8926238,7185002,1741235,39728202,500,8312766,0,0,7493048,-5356528,130424,160,1330043,0,18.15,46.55,75.72,52.93,259.53,347.79,22.47,1.32,33.01,1.05,29.08,23.11,24.09,19.14,1008,4735,12.06,2.57,2.21,10.82,43.54,9.70,8.89,45732510,30634014,15098496,4653389,10445107,9939870,8300078
2013,38071841,18412194,19659647,0,5958360,4388749,1569611,32113481,500,8312766,0,0,5862656,-3373993,-440795,100,831277,0,17.39,10.95,3.31,1.35,301.28,419.53,18.55,1.92,30.25,0.90,20.03,18.29,17.13,15.64,653,3840,7.96,1.35,1.39,7.10,32.37,7.30,6.57,31206298,21766674,9439624,3495584,5944040,6250586,5427369
2012,31342853,14916200,16426653,0,4110797,3698796,412000,27232057,500,8312766,0,0,6137683,-3579011,-911063,85,707000,0,19.04,3.97,0.78,8.08,536.17,403.27,15.10,2.59,32.82,0.97,23.15,21.55,19.94,18.56,644,3276,5.09,1.00,0.97,4.63,38.13,4.74,4.34,28127306,18895244,9232062,3478410,5753652,6141569,5355107
2011,26367843,12097569,14270274,0,3892731,3356044,536687,22475112,500,8312766,0,0,6237687,-6299991,-308579,77,640000,0,18.31,54.33,132.00,110.79,363.23,360.47,17.32,2.44,34.30,1.14,28.38,24.63,23.98,20.81,596,2704,5.30,1.17,0.97,4.64,36.95,4.60,4.09,27052583,17772878,9279705,3570862,5708843,5858434,4954537
2010,21243657,10061784,11181873,0,3480747,2440008,1040739,17762910,500,4375140,0,0,678879,-477798,-249643,70,306260,0,13.41,0,0,0,113.47,412.37,19.60,2.20,33.71,0,0,0,0,0,537,4060,5.93,0.78,0.79,4.55,0,5.66,4.39,17529163,11619890,5909272,3448595,2460678,2736607,2350510
2009,19506889,8456505,11050383,0,3949471,2908545,1040927,15557417,500,4375140,0,0,3321181,-3841790,519284,50,218757,0,9.80,22.12,10.74,4.71,97.93,290.75,25.39,1.86,25.01,0.99,12.00,11.58,10.01,9.65,390,3556,6.89,0.76,0.67,5.65,14.61,6.64,5.49,17438181,13076223,4361958,2590811,1771146,1907891,1708432
