구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,96592674,45768438,50824237,0,37393757,26655846,10737911,59198917,500,15772574,0,0,89210745,76091772,13118974,14138308,-1019335,-4196239,-3939166,-4429687,7317952,-7026463,0,0,0,-1.14,-4.42,-20.56,적지,적지,0,171.70,63.17,0,14.71,0.87,-1.71,-6.60,-0.99,-3.83,-250,4015,0,0.31,0.22,0,-2.21,0,8.49
2010,100083941,45589726,54494214,0,38722370,25681154,13041216,61361570,500,15772574,0,0,132233114,118509864,13723251,15571284,-1848034,-3098800,-3098800,-10085625,7248627,1859296,0,0,0,-1.40,-2.34,0,0,0,0,177.52,63.11,0,10.38,0,0,0,0,0,-196,4152,0,0.27,0.13,0,0,0,32.17
2011,89498303,40497948,49000355,0,34102672,21645540,12457133,55395631,500,15772574,0,0,149916342,136595874,13320468,15201892,-1881424,-4865549,-4865549,2559004,224324,-2081064,0,0,0,-1.25,-3.25,13.37,적지,적지,0,187.10,61.56,0,8.89,1.58,-3.22,-8.33,-1.98,-5.13,-308,3774,0,0.35,0.14,0,-5.65,0,48.17
2012,94254680,50607340,43647340,0,35177404,22120912,13056492,59077276,500,15772574,0,0,144051403,130543062,13508341,16042136,-2533796,1293826,1217279,-4199655,8876243,-2721548,0,0,0,-1.76,0.85,-3.91,적지,흑전,0,228.78,59.54,0,9.38,1.57,-4.43,2.13,-2.76,1.32,77,4008,12.24,0.24,0.10,5.48,-7.39,0,0
2013,100918539,58062566,42855972,0,36568672,24133334,12435337,64349867,500,15772574,0,0,166115838,143951448,22164390,17493730,4670659,4468635,4468635,5079136,-2367723,3085716,50,737717,16.51,2.81,2.69,15.32,흑전,267.10,16.64,240.59,56.83,3.22,13.34,1.70,7.57,7.24,4.79,4.58,283,4342,5.49,0.36,0.15,4.17,13.41,5.25,4.03
2014,101772733,59485697,42287036,0,34919053,21398158,13520895,66853680,500,15772574,0,0,127199464,103336755,23862710,20578234,3284476,2959376,2959376,9238790,-10834063,-537667,50,749217,25.32,2.58,2.33,-23.43,-29.68,-33.77,14.66,277.99,52.23,1.55,18.76,1.26,5.01,4.51,3.24,2.92,188,4441,17.21,0.73,0.40,11.55,10.17,15.51,10.76
2015,109937433,67215869,42721564,0,42512546,29273209,13239338,67424886,500,15772574,0,0,136867367,114583283,22284084,21253997,1030088,1582586,1582586,3863868,2998985,-739217,55,824139,52.08,0.75,1.16,7.60,-68.64,-46.52,5.36,229.62,63.05,1.67,16.28,1.29,1.53,2.36,0.97,1.50,100,4478,32.84,0.74,0.38,16.95,3.33,50.45,20.68
2016,114884572,72916806,41967766,0,44148286,27371932,16776354,70736287,500,15772574,0,0,159805659,131598335,28207324,23661979,4545345,4129964,3957647,1549393,3145011,1823681,65,973983,24.19,2.84,2.48,16.76,341.26,150.07,15.53,266.39,62.41,1.59,17.65,1.42,6.58,5.73,4.04,3.52,255,4676,15.98,0.87,0.40,11.49,12.57,14.20,10.55
2017,130894359,88937745,41956614,0,55558287,40506656,15051631,75336072,500,15772574,0,0,167068035,133135979,33932056,25368621,8563435,5809654,5610444,2891602,-3791954,126617,75,1123826,19.90,5.13,3.36,4.54,88.40,41.76,25.06,219.56,73.75,2.60,20.31,1.36,11.72,7.68,6.97,4.57,358,4973,8.07,0.58,0.27,6.21,19.67,5.33,4.45
2018,147328068,104652813,42675254,0,35572683,20920271,14652412,111755385,500,15772574,0,0,160165349,122108884,38056465,25686087,12370378,10292736,10908077,14787629,-19182248,14324154,100,1477792,13.49,7.72,6.81,-4.13,44.46,94.42,32.09,500.25,31.83,2.16,23.76,1.15,13.22,11.66,8.89,7.84,694,5999,6.68,0.77,0.46,5.78,30.67,7.64,6.71
