구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,266245868,88731786,177514082,0,82799985,61058409,21741576,183445883,500,20856819,0,0,208807277,92225131,116582147,117754048,-1171901,-2448803,-57648858,-14868648,-96596907,54968870,0,0,0,-27.61,-69.93,적전,적전,0,145.32,45.14,0,55.83,0.51,-0.57,-27.96,-0.29,-14.06,-2764,8795,0,0.34,0.30,0,-4.03,0,4.45
2017,553782951,397819815,155963136,0,324916260,293848522,31067738,228866691,500,20856819,0,0,694474511,229465724,465008787,444632551,20376236,18101976,993367,51226996,-33560284,1184849,0,0,0,0.14,-3.85,64.39,273.28,13.04,135.38,141.97,0,66.96,1.25,8.53,0.42,3.66,0.18,-48,7082,0,1.11,0.24,5.06,0.48,12.03,4.56
2016,560936541,393429096,167507445,0,311987401,154975677,157011724,248949141,500,20856819,0,0,722249786,243024512,479225274,466829870,12395403,14170989,266116,28008188,-5024659,-10852167,0,0,0,0.04,9.49,흑전,흑전,6.08,253.87,125.32,0,66.35,1.26,4.83,0.10,2.16,0.05,-139,9942,0,0.88,0.25,4.61,0.09,19.11,4.33
2015,587302248,401399588,185902660,0,323305469,157230047,166075423,263996779,500,20856819,0,0,659666416,218256028,441410388,446718378,-5307990,-2124513,-9770098,-20246942,-46201661,62336438,0,0,0,-1.48,19.97,적전,적전,0,255.29,122.47,0,66.91,1.19,-1.98,-3.65,-0.96,-1.76,-606,10737,0,1.03,0.35,8.67,-9.80,0,8.05
2014,523803644,343810454,179993189,0,252002078,124645024,127357054,271801565,500,20856819,0,0,549843829,194886805,354957025,326950969,28006056,32314572,24229860,8442818,-60038782,29296334,0,0,0,4.41,-0.97,-46.51,-39.95,16.53,275.83,92.72,0,64.56,1.13,11.00,9.52,5.78,5.00,990,11967,14.80,1.22,0.56,6.78,9.00,11.70,6.25
2013,445654797,300128199,145526598,0,208259618,105853478,102406140,237395179,500,20856819,0,0,555207099,200731085,354476014,302116663,52359351,53127325,40349590,62882562,-13442753,-28171280,50,1042841,0,7.27,6.55,87.04,145.80,19.81,283.53,87.73,0.21,63.85,1.27,23.97,18.47,11.96,9.22,1759,10511,13.39,2.24,0.88,7.87,17.56,9.73,6.52
2012,429555750,280584396,148971354,0,230025400,135502447,94522953,199530350,500,20856819,0,0,521060092,209828352,311231740,283237850,27993890,20595888,16415869,46706306,-19854287,-7307531,0,0,0,3.15,10.48,-10.45,-12.11,2.99,207.07,115.28,0,59.73,1.20,14.23,8.35,6.46,3.79,693,8876,21.15,1.65,0.59,7.01,8.28,12.67,6.20
2011,437098306,277474685,159623622,0,243277203,207706997,35570206,193821104,500,20856819,0,0,471634836,192722780,278912056,247651027,31261030,27161020,18678741,-12562512,-30259303,51216991,0,0,0,3.96,21.12,15.18,163.51,4.11,133.59,125.52,0,59.14,1.21,17.26,10.31,8.04,4.80,847,9046,20.13,1.88,0.75,8.82,7.69,15.57,9.03
2010,340743877,191596832,149147045,0,172342084,135681041,36661044,168401793,500,20856819,0,0,389393601,161998705,227394896,200253614,27141282,23777019,7088320,26098784,-19549094,-7839467,50,1038736,0,1.82,0,0,0,4.70,141.21,102.34,0.27,58.40,0,0,0,0,0,302,7937,60.65,2.31,0.98,18.12,0,17.25,11.17
2009,311499633,145502480,165997152,0,152873203,130405792,22467411,158626429,500,20856819,0,0,302303358,144707199,157596158,125711111,31885048,22649204,9675149,47952963,-25826063,-25356719,0,0,0,3.20,2.64,흑전,흑전,5.55,111.58,96.37,0,52.13,0.93,20.51,6.22,9.80,2.97,464,7657,15.45,0.94,0.49,5.55,5.47,7.40,4.80
