구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,115874672,54080647,61794025,0,63900364,50097050,13803314,51974308,500,27630383,0,0,118011097,106616169,11394928,13434253,-2039325,-2864608,-3026564,-6021059,3124392,-1783259,0,0,0,-1.73,-2.56,26.87,적지,적지,0,107.95,122.95,0,9.66,1.02,-4.06,-6.02,-1.76,-2.62,-110,2009,0,0.56,0.26,38.09,-2.73,0,37.20
2010,112118645,53495640,58623005,0,66869699,57178519,9691180,45248946,500,31129547,0,0,107034291,96285556,10748735,13675583,-2926848,-9824198,-10774386,-4278087,-1507850,5723539,0,0,0,-2.73,-10.07,0,0,0,0,93.56,147.78,0,10.04,0,0,0,0,0,-360,1567,0,0.63,0.28,0,0,0,0
2011,108431492,45814854,62616639,0,70000302,57286213,12714090,38431190,500,31129547,0,0,120190563,108004027,12186535,14282151,-2095616,-6720771,-6410504,-260092,-4797726,3141245,0,0,0,-1.74,-5.33,12.29,적지,적지,0,79.98,182.14,0,10.14,1.09,-5.01,-15.32,-1.90,-5.81,-206,1348,0,0.59,0.21,0,-2.49,0,290.77
2012,109600307,50812870,58787437,0,73981122,62506564,11474558,35619185,500,31129547,0,0,120545969,106486157,14059812,13147122,912690,-5140749,-4980989,-5059654,-819777,5757268,0,0,0,0.76,-4.13,0.30,흑전,적지,0.23,81.29,207.70,0,11.66,1.11,2.47,-13.45,0.84,-4.57,-160,1258,0,0.77,0.25,0,1.10,84.24,18.52
2013,109226542,53926471,55300071,0,73233962,61219239,12014723,35992580,500,32176667,0,0,108178448,90872645,17305803,12081745,5224058,-786104,-1311053,-2503704,495192,1336267,0,0,0,4.83,-1.21,-10.26,472.38,적지,1.52,88.09,203.47,0,16.00,0.99,14.59,-3.66,4.77,-1.20,-42,1228,0,1.29,0.46,25.65,10.77,18.67,11.51
2014,117653986,65226803,52427182,0,72457235,64955455,7501780,45196750,500,36126688,0,0,131565869,104731348,26834521,12770843,14063678,7280608,5825496,2903483,-3487293,296178,0,0,0,10.69,4.43,21.62,169.21,흑전,4.91,100.42,160.32,0,20.40,1.16,34.64,14.35,12.40,5.14,172,1349,12.74,1.63,0.56,8.11,13.41,8.61,6.96
2015,126841403,75115701,51725702,0,62656874,48668482,13988392,64184528,500,41249152,0,0,144638525,111230788,33407736,14977288,18430448,13018396,11480286,6325023,-2637374,346138,0,0,0,12.74,7.94,9.94,31.05,97.07,10.20,154.34,97.62,0,23.10,1.18,33.70,20.99,15.08,9.39,284,1563,10.57,1.92,0.84,8.15,17.93,8.40,7.09
2016,134921898,84044922,50876976,0,63790154,53427549,10362606,71131744,500,41249152,0,0,124361109,95566304,28794805,16357265,12437540,9358133,7227117,8911003,195217,-826920,0,0,0,10.00,5.81,-14.02,-32.52,-37.05,9.85,157.31,89.68,0,23.15,0.95,18.38,10.68,9.50,5.52,175,1732,14.84,1.50,0.86,10.51,10.09,10.65,8.59
2017,123462620,74097760,49364860,0,51066006,43681902,7384104,72396614,500,41249152,0,0,118378910,91423387,26955523,16934667,10020855,4176683,1585812,4832601,-2074220,-5270763,0,0,0,8.47,1.34,-4.81,-19.43,-78.06,8.22,169.63,70.54,0,22.77,0.92,13.96,2.21,7.76,1.23,38,1762,66.98,1.46,0.90,26.75,4.03,12.68,10.24
2018,126403607,76355550,50048057,0,51560543,44513571,7046972,74843064,500,41249152,0,0,114627062,94465377,20161685,14968108,5193577,3437253,2663701,6869127,-3032755,-528543,0,0,0,4.53,2.32,-3.17,-48.17,67.97,4.56,171.53,68.89,0,17.59,0.92,7.05,3.62,4.16,2.13,65,1822,28.10,1.00,0.65,15.14,4.36,17.72,12.32
